sintoma,falla
siento un chillido agudo al frenar,Pastillas de freno desgastadas
sabes que siento un chillido agudo al frenar en carabayllo,Pastillas de freno desgastadas
hola maestro siento un chillido agudo al frenar al andar,Pastillas de freno desgastadas
tengo un problema siento un chillido agudo al frenar ultimamente,Pastillas de freno desgastadas
el carro chilla bastante cuando piso el freno,Pastillas de freno desgastadas
buenas tardes maestro el carro chilla bastante cuando piso el freno ultimamente,Pastillas de freno desgastadas
sabes que el carro chilla bastante cuando piso el freno en carabayllo,Pastillas de freno desgastadas
sabes que el carro chilla bastante cuando piso el freno al andar,Pastillas de freno desgastadas
suena como metal chocando en la llanta cuando freno,Pastillas de freno desgastadas
mi carro presenta suena como metal chocando en la llanta cuando freno en carabayllo,Pastillas de freno desgastadas
mi carro presenta suena como metal chocando en la llanta cuando freno cuando salgo a trabajar,Pastillas de freno desgastadas
hola maestro suena como metal chocando en la llanta cuando freno en carabayllo,Pastillas de freno desgastadas
se escucha un chirrido feo al frenar en la esquina,Pastillas de freno desgastadas
hola maestro se escucha un chirrido feo al frenar en la esquina ultimamente,Pastillas de freno desgastadas
buenas tardes maestro se escucha un chirrido feo al frenar en la esquina en la pista,Pastillas de freno desgastadas
mi carro presenta se escucha un chirrido feo al frenar en la esquina en carabayllo,Pastillas de freno desgastadas
el freno chilla feo a baja velocidad,Pastillas de freno desgastadas
mi carro presenta el freno chilla feo a baja velocidad ultimamente,Pastillas de freno desgastadas
sabes que el freno chilla feo a baja velocidad al andar,Pastillas de freno desgastadas
sabes que el freno chilla feo a baja velocidad en la pista,Pastillas de freno desgastadas
el pedal de freno se va hasta el fondo y esta esponjoso,Fuga de liquido de frenos o aire en el sistema
amigo una consulta el pedal de freno se va hasta el fondo y esta esponjoso ultimamente,Fuga de liquido de frenos o aire en el sistema
amigo una consulta el pedal de freno se va hasta el fondo y esta esponjoso en la pista,Fuga de liquido de frenos o aire en el sistema
tengo un problema el pedal de freno se va hasta el fondo y esta esponjoso en carabayllo,Fuga de liquido de frenos o aire en el sistema
el freno esta muy largo y no frena casi nada,Fuga de liquido de frenos o aire en el sistema
