id,sintoma,falla,codigo_falla,sistema,subcomponente,requiere_escaner,prueba_sugerida,codigo_dtc,origen_dato,grupo_origen,estado_revision,validado_mecanico
1,"Maestro, el carro empieza a temblar feo y pierde pique al subir una cuesta con pasajeros. Pasa que y el motor vibra mucho en ralentí.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-00-00-02,solo_experimento,NO
2,"Al probar el auto: acelerando en tercera a bajas vueltas, parece que anduviera en 3 pistones; el cliente indica que y parpadea el check engine en el tablero.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-01-01-00,solo_experimento,NO
3,"Al subir una cuesta con pasajeros, el motor cabecea y pierde fuerza, y parpadea el check engine en el tablero.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-00-03-00,solo_experimento,NO
4,"Al probar el auto: al subir una cuesta con pasajeros, parece que anduviera en 3 pistones; el cliente indica que con olor a gasolina sin quemar en el tubo de escape.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-00-01-01,solo_experimento,NO
5,"Maestro, parece que anduviera en 3 pistones al subir una cuesta con pasajeros. Pasa que pero en neutro se siente parejo.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-00-01-03,solo_experimento,NO
6,"Maestro, jalonea bruscamente al acelerar al pisar el acelerador saliendo. Pasa que y parpadea el check engine en el tablero.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-03-02-00,solo_experimento,NO
7,"Maestro, jalonea bruscamente al acelerar al pisar el acelerador saliendo. Pasa que y el motor vibra mucho en ralentí.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-03-02-02,solo_experimento,NO
8,"Acelerando en tercera a bajas vueltas, jalonea bruscamente al acelerar, y parpadea el check engine en el tablero.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-01-02-00,solo_experimento,NO
9,"Mire: El carro empieza a temblar feo y pierde pique al pisar el acelerador saliendo, sobre todo y el motor vibra mucho en ralentí.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-03-00-02,solo_experimento,NO
10,"Al probar el auto: al exigir torque en carretera, el carro empieza a temblar feo y pierde pique; el cliente indica que pero en neutro se siente parejo.",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,Bujías y bobinas,SI,"Lectura de conteo de misfire en escáner, prueba de chispómetro e inspección de electrodos",P0301,sintetico_aumentado,AUG-001-02-00-03,solo_experimento,NO
