case_id,environment,vehicle_type,fuel,input_style,ml_top1,ml_top1_confidence,ml_top3,macro_system,dtc,rag_top1,rag_relevance,llm_grounded,fuel_compatible,question_repetition,memory_consistent,evidence_used,prediction_updated,final_hypothesis,ground_truth,correct,latency_ms,finding_severity,notes
CASO_01,PILOT,Nissan Sentra 2017,Gasolina,coloquial_real,Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet),0.4275,Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet) | Falla en bujias o bobinas de encendido (misfire) | Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),MOTOR,P0335,PROCEDIMIENTO: DIAGNÓSTICO DE SENSORES DE POSICIÓN DE CIGÜEÑAL CKP INDUCTIVOS VS EFECTO HALL (DTC P0335 / P0339),1.0,True,True,NO_REPETITION,True,True,True,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),1,40.04,INFO,Origen: RESCATE_DTC | Top3 match: True
CASO_02,PILOT,Toyota Corolla 2019,Gasolina,coloquial_real,Discos de freno alabeados o desgastados,0.9961,Discos de freno alabeados o desgastados | Falla en servofreno (booster) o linea de vacio | Falla en sensor de velocidad de rueda ABS,FRENOS,NONE,PROCEDIMIENTO: DIAGNÓSTICO METROLÓGICO DEL ALABEO DE DISCOS DE FRENO Y VARIACIÓN DE ESPESOR DTV (VIBRACIÓN EN PEDAL / VOLANTE AL FRENAR),0.8854,True,True,NO_REPETITION,True,False,False,Discos de freno alabeados o desgastados,Discos de freno alabeados o desgastados,1,38.86,INFO,Origen: ML_TOP1 | Top3 match: True
CASO_03,PILOT,Hyundai Elantra 2018,Gasolina,tecnico_taller,Falla en bujias o bobinas de encendido (misfire),0.5035,Falla en bujias o bobinas de encendido (misfire) | Perdida de compresion en cilindro por valvulas pisadas o anillos desgastados | Falla en circuito o solenoide de inyector individual (DTC P0201 - P0208),MOTOR,P0303,PROCEDIMIENTO: DIAGNÓSTICO DE FALLA DE COMBUSTIÓN EN CILINDRO 3 (DTC P0303),0.4783,True,True,NO_REPETITION,True,True,False,Falla en bujias o bobinas de encendido (misfire),Falla en bujias o bobinas de encendido (misfire),1,39.3,INFO,Origen: ML_TOP1 | Top3 match: True
CASO_04,PILOT,Toyota Hilux 2016 3.0 D4D,Diesel,coloquial_real,Falla en sensor de oxigeno o mezcla rica,0.5064,Falla en sensor de oxigeno o mezcla rica | Fuga en mangueras de intercooler o turbocompresor danado | Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),MOTOR,NONE,PROCEDIMIENTO: DIAGNÓSTICO DE SENSOR DE RELACIÓN AIRE/COMBUSTIBLE (A/F BANDA ANCHA) Y SONDA LAMBDA (DTC P0135 / P2195),0.3611,True,True,NO_REPETITION,True,False,False,Falla en sensor de oxigeno o mezcla rica,Fuga en mangueras de intercooler o turbocompresor danado,0,39.19,INFO,Origen: ML_TOP1 | Top3 match: True
CASO_05,PILOT,Kia Rio 2019,Gasolina,coloquial_real,Alternador defectuoso o placa de diodos quemada,0.9893,Alternador defectuoso o placa de diodos quemada | Fallo en inversor de corriente IGBT o motor electrico (EV) | Bateria descargada o bornes sulfatados,ELECTRICO,NONE,"PROCEDIMIENTO: DIAGNÓSTICO Y REPARACIÓN DE ALTERNADOR, REGULADOR DE VOLTAJE Y BATERÍA (DTC P0562 / P0620 / EL ALTERNADOR NO CARGA Y BATERÍA DESCARGADA)",0.9,True,True,NO_REPETITION,True,False,False,Alternador defectuoso o placa de diodos quemada,Alternador defectuoso o placa de diodos quemada,1,42.84,INFO,Origen: ML_TOP1 | Top3 match: True
CASO_06,PILOT,Chevrolet Cruze 2018,Gasolina,coloquial_real,Fuga parasita de corriente en reposo (consumo nocturno de bateria),0.861,Fuga parasita de corriente en reposo (consumo nocturno de bateria) | Alternador defectuoso o placa de diodos quemada | Falla en motor de arranque o solenoide defectuoso (clac seco o carbones gastados),ELECTRICO,NONE,PROCEDIMIENTO: MEDICIÓN DE CONSUMO PARÁSITO EN REPOSO MEDIANTE CAÍDA DE MILIVOLTIOS EN FUSIBLES Y AISLAMIENTO DE CIRCUITOS (DTC P0562),0.3981,True,True,NO_REPETITION,True,False,False,Fuga parasita de corriente en reposo (consumo nocturno de bateria),Fuga parasita de corriente en reposo (consumo nocturno de bateria),1,66.08,INFO,Origen: ML_TOP1 | Top3 match: True
CASO_07,PILOT,Volkswagen Gol 2015,Gasolina,tecnico_taller,Empaque de culata soplado o danado,0.6522,Empaque de culata soplado o danado | Perdida de compresion en cilindro por valvulas pisadas o anillos desgastados | Fuga en mangueras de refrigerante o radiador picado,MOTOR,NONE,PROCEDIMIENTO: DIAGNÓSTICO Y REEMPLAZO DE EMPAQUE DE CULATA (HUMO BLANCO / SOBRECALENTAMIENTO / DTC P0217),0.4745,True,True,NO_REPETITION,True,False,False,Empaque de culata soplado o danado,Empaque de culata soplado o danado,1,61.49,INFO,Origen: ML_TOP1 | Top3 match: True
CASO_08,PILOT,Suzuki Swift 2017,Gasolina,tecnico_taller,Disco de embrague desgastado o patinando,0.968,Disco de embrague desgastado o patinando | Faja o cadena de distribucion destensada o con salto de punto | Inyectores sucios o filtro de combustible obstruido,TRANSMISION,NONE,PROCEDIMIENTO: DIAGNÓSTICO DE PATINAMIENTO DE DISCO DE EMBRAGUE Y PRUEBA DE CALADO EN 4TA MARCHA,0.8713,True,True,NO_REPETITION,True,True,False,Disco de embrague desgastado o patinando,Disco de embrague desgastado o patinando,1,40.78,INFO,Origen: ML_TOP1 | Top3 match: True
CASO_09,PILOT,Nissan Versa 2019,Gasolina,tecnico_taller,Falla en sensor de oxigeno o mezcla rica,0.5536,Falla en sensor de oxigeno o mezcla rica | Convertidor catalitico ineficiente u obstruido (DTC P0420 / P0430) | Falla en compresor de aire acondicionado o fuga de gas R134a,MOTOR,P0420,PROCEDIMIENTO: DIAGNÓSTICO DE CONTRAPRESIÓN DE ESCAPE Y CATALIZADOR TAPONADO (DTC P0420 / P0430 / AUTO AMARRADO EN PISTA),1.0,True,True,NO_REPETITION,True,True,True,Convertidor catalitico ineficiente u obstruido (DTC P0420 / P0430),Convertidor catalitico ineficiente u obstruido (DTC P0420 / P0430),1,40.66,INFO,Origen: RESCATE_DTC | Top3 match: True
CASO_10,PILOT,Hyundai Tucson 2014,Gasolina,tecnico_taller,Baja presion de aceite o bomba de aceite defectuosa,0.8486,Baja presion de aceite o bomba de aceite defectuosa | Falla en bujias o bobinas de encendido (misfire) | Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),MOTOR,NONE,PROCEDIMIENTO: INSPECCIÓN DE CORREA DE DISTRIBUCIÓN BAÑADA EN ACEITE Y LIMPIEZA DE COLADOR DE BOMBA (FORD 1.0 DRAGON / GM ECOTEC),0.4248,True,True,NO_REPETITION,True,True,True,Baja presion de aceite o bomba de aceite defectuosa,Baja presion de aceite o bomba de aceite defectuosa,1,41.78,INFO,Origen: RESCATE_EVIDENCIA_FISICA | Top3 match: True
