﻿id,tipo_caso,texto_ingresado,ground_truth,macro_sistema_esperado,top1_predicho,confianza_top1,top2_predicho,confianza_top2,top3_predicho,confianza_top3,macro_sistema_predicho,top1_correcto,top3_correcto,macro_correcto,dtc_codigo,resultado_rag,documento_recuperado,similitud_rag,hit_at_1_rag,hit_at_3_rag,hit_at_5_rag,mrr_rag,tiempo_ml_ms,tiempo_rag_ms,tiempo_total_ms,respuesta_final_chatbot
STRESS_01,TECNICO,Bajo aceleración a 2500 RPM en carretera se presenta tironeo intermitente y pérdida de potencia. Pulso de inyección en cilindro 3 es correcto pero la resistencia del devanado secundario de la bobina de encendido está abierta.,Falla en bujias o bobinas de encendido (misfire),MOTOR,Falla en bujias o bobinas de encendido (misfire),0.7092,Falla en circuito o solenoide de inyector individual (DTC P0201 - P0208),0.189,Cuerpo de aceleracion o valvula IAC sucia,0.102,MOTOR,1,1,1,N/A,PROCEDIMIENTO: CAMBIO DE BUJÍAS DE ENCENDIDO Y DIAGNÓSTICO DE MISFIRE (DTC P0300 / P0301),RAG_PROC_010,0.306,1,1,1,1.0,31,4,4706,🛠️ **1. Posible Falla Vehicular y Diagnóstico Diferencial**  * **Hipótesis Principal:** Falla en bujías o bobinas de encendido (misfire) (70%). Esta hipótesis se alinea directamente con el síntoma reportado por el mecánico de taller (tironeo intermitente y pérdida de potencia a 2500 rpm) y con el ha...
STRESS_02,TECNICO,Manómetro conectado al riel de inyección registra caída de presión a 15 psi al acelerar a fondo en banco de pruebas. Caudal volumétrico de combustible insuficiente y relé de bomba conmuta correctamente.,Bomba de gasolina quemada o con baja presion,MOTOR,Bomba de gasolina quemada o con baja presion,0.8376,Inyectores sucios o filtro de combustible obstruido,0.106,Falla en regulador de presion de combustible o diafragma roto,0.057,MOTOR,1,1,1,N/A,PROCEDIMIENTO: DIAGNÓSTICO DE PRESIÓN DE COMBUSTIBLE Y CAÍDA DE CAUDAL BAJO CARGA (DTC P0087 / TIRONEO AL EXIGIR ACELERACIÓN),RAG_PROC_088,0.8607,1,1,1,1.0,29,3,2903,🛠️ **1. Posible Falla Vehicular y Diagnóstico Diferencial** - **Hipótesis Principal:** Bomba de gasolina quemada o con baja presión (83%). El síntoma de caída severa a 15 PSI al acelerar a fondo indica una incapacidad de la bomba para mantener el caudal y la presión requeridos bajo alta demanda de c...
STRESS_03,TECNICO,El escáner OBD-II indica temperatura de refrigerante estancada en 62°C tras 35 minutos de marcha continua en autopista. La manguera superior e inferior del radiador calientan al mismo tiempo desde el arranque por termostato abierto.,Falla en termostato o motoventilador de radiador,MOTOR,Falla en termostato o motoventilador de radiador,0.6058,Fuga en mangueras de refrigerante o radiador picado,0.256,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),0.138,MOTOR,1,1,1,N/A,PROCEDIMIENTO: DIAGNÓSTICO DE TERMOSTATO Y PURGA ASISTIDA DEL SISTEMA DE REFRIGERACIÓN (DTC P0128 / RECALENTAMIENTO EN SUBIDA),RAG_PROC_068,0.4833,1,1,1,1.0,31,3,4399,🛠️ **1. Posible Falla Vehicular y Diagnóstico Diferencial**  * **Hipótesis Principal:** Falla en termostato o motoventilador de radiador (60%). Los síntomas reportados (temperatura estancada en 62°C en autopista y mangueras superior e inferior que calientan al mismo tiempo desde el arranque) indican...
STRESS_04,TECNICO,Voltaje en bornes de batería mide 12.1V con el motor encendido a 2000 RPM y consumidores eléctricos activados. El osciloscopio muestra rizado anormal con caída de una fase en el puente rectificador de diodos.,Alternador defectuoso o placa de diodos quemada,ELECTRICO,Alternador defectuoso o placa de diodos quemada,0.9763,Fallo en inversor de corriente IGBT o motor electrico (EV),0.033,Bateria descargada o bornes sulfatados,0.017,ELECTRICO,1,1,1,N/A,"PROCEDIMIENTO: DIAGNÓSTICO Y REPARACIÓN DE ALTERNADOR, REGULADOR DE VOLTAJE Y BATERÍA (DTC P0562 / P0620 / EL ALTERNADOR NO CARGA Y BATERÍA DESCARGADA)",RAG_PROC_040,0.8409,1,1,1,1.0,31,3,4576,🛠️ **1. Posible Falla Vehicular y Diagnóstico Diferencial**  * **Hipótesis Principal:** Alternador defectuoso o placa de diodos quemada (97%). Coincide con la evidencia del taller (voltaje de 12.1V a 2000 RPM con consumidores activados y rizado anormal con caída de fase en el osciloscopio). * **Diag...
STRESS_05,TECNICO,Inspección metrológica revela espesor de material de fricción en pastillas delanteras de 1.2 mm con desgaste en cuña. Se aprecia contacto metálico del avisador acústico contra el disco al aplicar presión hidráulica.,Desgaste de pastillas y zapatas de freno,FRENOS,Desgaste de pastillas y zapatas de freno,0.973,Caliper de freno trabado o mordaza pegada (piston agarrotado),0.033,Discos de freno alabeados o desgastados,0.017,FRENOS,1,1,1,N/A,PROCEDIMIENTO: INSPECCIÓN DE ESPESOR Y SUSTITUCIÓN DE PASTILLAS Y ZAPATAS DE FRENO (CHILLIDO / C0035),RAG_PROC_231,0.8712,1,1,1,1.0,29,2,3981,🛠️ **1. Posible Falla Vehicular y Diagnóstico Diferencial**  * **Hipótesis Principal:** Desgaste crítico de pastillas y zapatas de freno (97% de probabilidad estadística). La inspección metrológica confirma un espesor de 1.2 mm (por debajo del límite de servicio) con desgaste en cuña y contacto físi...
STRESS_06,TECNICO,Fuga severa de fluido hidráulico observada en el retén del vástago del amortiguador delantero derecho. En prueba de rebote la carrocería efectúa más de tres oscilaciones libres antes de estabilizarse.,Amortiguadores reventados o bujes de suspension gastados,SUSPENSION_CHASIS,Amortiguadores reventados o bujes de suspension gastados,0.9763,Falla en caja robotizada Dualogic / I-Motion / Easytronic (Fiat / VW),0.033,Caliper de freno trabado o mordaza pegada (piston agarrotado),0.017,SUSPENSION_CHASIS,1,1,1,N/A,"PROCEDIMIENTO: DIAGNÓSTICO DE DESGASTE DE BUJES DE TRAPECIO, BARRAS ESTABILIZADORAS Y AMORTIGUADORES (GOLPETEO EN TROCHA / REBOTE)",RAG_PROC_204,0.602,1,1,1,1.0,29,3,3962,🛠️ **1. Posible Falla Vehicular y Diagnóstico Diferencial** - **Hipótesis Principal:** Amortiguadores reventados o bujes de suspensión gastados (97%). La presencia de una fuga severa de fluido hidráulico en el retén del vástago y el comportamiento oscilatorio superior a tres ciclos en la prueba de r...
STRESS_07,TECNICO,"Al someter a carga el tren motriz en pendiente ascendente en cuarta marcha, las RPM del motor se incrementan súbitamente de 2000 a 4200 RPM sin incremento proporcional en la velocidad lineal del vehículo.",Disco de embrague desgastado o patinando,TRANSMISION,Falla en motor de arranque o solenoide defectuoso (clac seco o carbones gastados),0.7799,Fallo en inversor de corriente IGBT o motor electrico (EV),0.143,Falla en filtro de particulas DPF / FAP y sistema AdBlue DEF (Diesel Euro 5/6),0.077,ELECTRICO,0,0,0,N/A,"PROCEDIMIENTO: COMPROBACIÓN DE CAÍDA DE TENSIÓN EN TERMINALES 30/50, CONTACTOS DE SOLENOIDE Y LONGITUD DE CARBONES EN MOTOR DE ARRANQUE",RAG_PROC_216,0.3764,0,0,0,0.0,30,3,4542,🛠️ **1. Posible Falla Vehicular y Diagnóstico Diferencial**  * **Hipótesis Principal:** Falla en motor de arranque o solenoide defectuoso (clac seco o carbones gastados) (77%). *(Nota de precisión técnica: Existe una contradicción evidente entre la consulta del usuario —donde se describe un embrague...
STRESS_08,TECNICO,El motor presenta fluctuación cíclica de ralentí entre 550 y 1150 RPM en vacío. Inspección con boroscopio muestra acumulación excesiva de carbonilla aceitosa en el cuerpo de mariposa y conducto de aire de derivación.,Cuerpo de aceleracion o valvula IAC sucia,MOTOR,Falla de descarbonizacion e inyeccion directa GDI (acumulacion de carbon en valvulas),0.6939,Cuerpo de aceleracion o valvula IAC sucia,0.199,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),0.107,MOTOR,0,1,1,N/A,PROCEDIMIENTO: DESCARBONIZACIÓN QUÍMICA Y MECÁNICA DE VÁLVULAS DE ADMISIÓN EN MOTORES DE INYECCIÓN DIRECTA GDI / TSI,RAG_PROC_224,0.4297,0,1,1,0.5,28,3,4327,🛠️ **1. Posible Falla Vehicular y Diagnóstico Diferencial**  * **Hipótesis Principal:** Falla de descarbonización e inyección directa GDI (acumulación de carbón en válvulas) (69%). Las características del ralentí fluctuante (550 a 1150 rpm) sumado a la evidencia visual en el boroscopio de acumulació...
STRESS_09,TECNICO,Pérdida súbita de señal de pulsos de onda inductiva en sensor de posición de cigüeñal al alcanzar 92°C de temperatura de bloque. El motor se detiene inmediatamente por ausencia de sincronización de encendido.,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),MOTOR,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),0.9402,Falla en bujias o bobinas de encendido (misfire),0.039,Falla en termostato o motoventilador de radiador,0.021,MOTOR,1,1,1,N/A,PROCEDIMIENTO: DIAGNÓSTICO Y REEMPLAZO DE SENSOR DE POSICIÓN DE CIGÜEÑAL CKP Y LEVAS CMP (DTC P0335 / P0340),RAG_PROC_014,0.7097,1,1,1,1.0,31,3,4354,🛠️ **1. Posible Falla Vehicular y Diagnóstico Diferencial**  * **Hipótesis Principal:** Falla en sensor de posición de cigüeñal (CKP) o árbol de levas (CMP) (94%). El síntoma de pérdida súbita de señal de pulsos de onda inductiva al alcanzar una temperatura específica de bloque (92°C) es un comporta...
STRESS_10,TECNICO,Pirómetro infrarrojo mide 210°C en el disco de freno delantero izquierdo tras rodar en plano sin accionar pedal. El émbolo hidráulico de la pinza se encuentra trabado por corrosión en el guardapolvo.,Caliper de freno trabado o mordaza pegada (piston agarrotado),FRENOS,Caliper de freno trabado o mordaza pegada (piston agarrotado),0.9266,Discos de freno alabeados o desgastados,0.048,Fuga hidraulica o aire en el sistema de frenos,0.026,FRENOS,1,1,1,N/A,"PROCEDIMIENTO: REVISIÓN DE GUÍAS DESLIZANTES, PISTÓN AGARROTADO Y RETRACCIÓN HIDRÁULICA DE CÁLIPER DE FRENO",RAG_PROC_212,0.651,1,1,1,1.0,29,3,4389,PERFIL DEL VEHÍCULO DECLARADO: Vehículo: Genérico | Placa: N/A  🛠️ **1. Posible Falla Vehicular y Diagnóstico Diferencial** - **Hipótesis Principal:** Caliper de freno trabado o mordaza pegada (pistón agarrotado) (92%). La evidencia física confirma una temperatura anómala de 210°C en el disco delant...
