id,clase_objetivo,macro_sistema,nivel_informacion,estado_auditoria,motivos,sim_intra_max,sim_inter_max,inter_ref_origen,dtc,es_contrastivo,clase_contrastiva
F10L01_0001,Falla en bujias o bobinas de encendido (misfire),MOTOR,L1,APROBADO,CONFORME,0.3496,0.4879,TRAIN,,NO,
F10L01_0002,Falla en bujias o bobinas de encendido (misfire),MOTOR,L1,APROBADO,CONFORME,0.3236,0.3849,TRAIN,,NO,
F10L01_0003,Falla en bujias o bobinas de encendido (misfire),MOTOR,L1,APROBADO,CONFORME,0.523,0.1879,TRAIN,,NO,
F10L01_0004,Falla en bujias o bobinas de encendido (misfire),MOTOR,L1,APROBADO,CONFORME,0.1675,0.203,TRAIN,,NO,
F10L01_0005,Falla en bujias o bobinas de encendido (misfire),MOTOR,L1,APROBADO,CONFORME,0.3352,0.4593,TRAIN,,NO,
F10L01_0006,Falla en bujias o bobinas de encendido (misfire),MOTOR,L1,APROBADO,CONFORME,0.2225,0.4034,TRAIN,,NO,
F10L01_0007,Falla en bujias o bobinas de encendido (misfire),MOTOR,L1,APROBADO,CONFORME,0.4493,0.2085,DEV_60,,NO,
F10L01_0008,Falla en bujias o bobinas de encendido (misfire),MOTOR,L1,APROBADO,CONFORME,0.1916,0.1738,TRAIN,,NO,
F10L01_0009,Falla en bujias o bobinas de encendido (misfire),MOTOR,L1,APROBADO,CONFORME,0.2907,0.4372,TRAIN,,NO,
F10L01_0010,Falla en bujias o bobinas de encendido (misfire),MOTOR,L1,APROBADO,CONFORME,0.1989,0.1558,TRAIN,,NO,
F10L01_0011,Falla en bujias o bobinas de encendido (misfire),MOTOR,L2,APROBADO,CONFORME,0.2688,0.4767,TRAIN,,NO,
F10L01_0012,Falla en bujias o bobinas de encendido (misfire),MOTOR,L2,APROBADO,CONFORME,0.2591,0.3271,TRAIN,,NO,
F10L01_0013,Falla en bujias o bobinas de encendido (misfire),MOTOR,L2,APROBADO,CONFORME,0.2901,0.2901,TRAIN,,SI,Cuerpo de aceleracion o valvula IAC sucia
F10L01_0014,Falla en bujias o bobinas de encendido (misfire),MOTOR,L2,APROBADO,CONFORME,0.2853,0.4647,TRAIN,P0300,NO,
F10L01_0015,Falla en bujias o bobinas de encendido (misfire),MOTOR,L2,APROBADO,CONFORME,0.3186,0.3919,TRAIN,,SI,Bomba de gasolina quemada o con baja presion
F10L01_0016,Falla en bujias o bobinas de encendido (misfire),MOTOR,L2,APROBADO,CONFORME,0.2971,0.2932,TRAIN,,NO,
F10L01_0017,Falla en bujias o bobinas de encendido (misfire),MOTOR,L2,APROBADO,CONFORME,0.3236,0.4562,TRAIN,,NO,
F10L01_0018,Falla en bujias o bobinas de encendido (misfire),MOTOR,L2,APROBADO,CONFORME,0.2321,0.2409,TRAIN,,NO,
F10L01_0019,Falla en bujias o bobinas de encendido (misfire),MOTOR,L2,APROBADO,CONFORME,0.1522,0.3372,TRAIN,,NO,
F10L01_0020,Falla en bujias o bobinas de encendido (misfire),MOTOR,L2,APROBADO,CONFORME,0.3187,0.1582,TRAIN,,NO,
F10L01_0021,Falla en bujias o bobinas de encendido (misfire),MOTOR,L2,APROBADO,CONFORME,0.2669,0.2592,TRAIN,,SI,Cuerpo de aceleracion o valvula IAC sucia
F10L01_0022,Falla en bujias o bobinas de encendido (misfire),MOTOR,L2,APROBADO,CONFORME,0.2458,0.2085,TRAIN,P0301,NO,
F10L01_0023,Falla en bujias o bobinas de encendido (misfire),MOTOR,L2,APROBADO,CONFORME,0.1372,0.2477,TRAIN,,SI,Inyectores sucios o filtro de combustible obstruido
F10L01_0024,Falla en bujias o bobinas de encendido (misfire),MOTOR,L2,APROBADO,CONFORME,0.1736,0.1808,TRAIN,,NO,
F10L01_0025,Falla en bujias o bobinas de encendido (misfire),MOTOR,L2,APROBADO,CONFORME,0.2,0.2167,TRAIN,,NO,
F10L01_0026,Falla en bujias o bobinas de encendido (misfire),MOTOR,L3,APROBADO,CONFORME,0.1868,0.3951,TRAIN,P0300,NO,
F10L01_0027,Falla en bujias o bobinas de encendido (misfire),MOTOR,L3,APROBADO,CONFORME,0.2591,0.3429,TRAIN,,SI,Bomba de gasolina quemada o con baja presion
F10L01_0028,Falla en bujias o bobinas de encendido (misfire),MOTOR,L3,APROBADO,CONFORME,0.2458,0.2003,TRAIN,P0302,NO,
F10L01_0029,Falla en bujias o bobinas de encendido (misfire),MOTOR,L3,APROBADO,CONFORME,0.1857,0.1623,TRAIN,,SI,Discos de freno alabeados o desgastados
F10L01_0030,Falla en bujias o bobinas de encendido (misfire),MOTOR,L3,APROBADO,CONFORME,0.3187,0.1963,TRAIN,,NO,
F10L01_0031,Falla en bujias o bobinas de encendido (misfire),MOTOR,L3,APROBADO,CONFORME,0.2103,0.1661,TRAIN,P0301,NO,
F10L01_0032,Falla en bujias o bobinas de encendido (misfire),MOTOR,L3,APROBADO,CONFORME,0.1422,0.2372,TRAIN,,SI,Bomba de gasolina quemada o con baja presion
F10L01_0033,Falla en bujias o bobinas de encendido (misfire),MOTOR,L3,APROBADO,CONFORME,0.1637,0.206,TRAIN,P0303,NO,
F10L01_0034,Falla en bujias o bobinas de encendido (misfire),MOTOR,L3,APROBADO,CONFORME,0.2241,0.2623,TRAIN,,NO,
F10L01_0035,Falla en bujias o bobinas de encendido (misfire),MOTOR,L3,APROBADO,CONFORME,0.1528,0.1976,TRAIN,,NO,
F10L01_0036,Falla en bujias o bobinas de encendido (misfire),MOTOR,L3,APROBADO,CONFORME,0.1136,0.1709,TRAIN,,NO,
F10L01_0037,Falla en bujias o bobinas de encendido (misfire),MOTOR,L3,APROBADO,CONFORME,0.244,0.1662,TRAIN,P0304,NO,
F10L01_0038,Falla en bujias o bobinas de encendido (misfire),MOTOR,L3,APROBADO,CONFORME,0.1818,0.1675,TRAIN,,SI,Llantas desbalanceadas o desalineadas
F10L01_0039,Falla en bujias o bobinas de encendido (misfire),MOTOR,L3,APROBADO,CONFORME,0.2272,0.1687,TRAIN,,SI,Empaque de culata soplado o danado
F10L01_0040,Falla en bujias o bobinas de encendido (misfire),MOTOR,L3,APROBADO,CONFORME,0.1079,0.143,TRAIN,P0300,NO,
F10L01_0041,Bomba de gasolina quemada o con baja presion,MOTOR,L1,APROBADO,CONFORME,0.4865,0.3632,TRAIN,,NO,
F10L01_0042,Bomba de gasolina quemada o con baja presion,MOTOR,L1,APROBADO,CONFORME,0.2875,0.7316,TRAIN,,NO,
F10L01_0043,Bomba de gasolina quemada o con baja presion,MOTOR,L1,APROBADO,CONFORME,0.3934,0.27,TRAIN,,NO,
F10L01_0044,Bomba de gasolina quemada o con baja presion,MOTOR,L1,APROBADO,CONFORME,0.3864,0.4237,TRAIN,,NO,
F10L01_0045,Bomba de gasolina quemada o con baja presion,MOTOR,L1,APROBADO,CONFORME,0.2502,0.4235,TRAIN,,NO,
F10L01_0046,Bomba de gasolina quemada o con baja presion,MOTOR,L1,APROBADO,CONFORME,0.166,0.2758,TRAIN,,NO,
F10L01_0047,Bomba de gasolina quemada o con baja presion,MOTOR,L1,APROBADO,CONFORME,0.5329,0.2803,TEST_100,,NO,
F10L01_0048,Bomba de gasolina quemada o con baja presion,MOTOR,L1,APROBADO,CONFORME,0.2557,0.2906,TRAIN,,NO,
F10L01_0049,Bomba de gasolina quemada o con baja presion,MOTOR,L1,APROBADO,CONFORME,0.3305,0.3917,TRAIN,,NO,
F10L01_0050,Bomba de gasolina quemada o con baja presion,MOTOR,L1,APROBADO,CONFORME,0.1886,0.2585,TEST_100,,NO,
F10L01_0051,Bomba de gasolina quemada o con baja presion,MOTOR,L2,APROBADO,CONFORME,0.4328,0.4694,TRAIN,,NO,
F10L01_0052,Bomba de gasolina quemada o con baja presion,MOTOR,L2,APROBADO,CONFORME,0.2842,0.6184,TRAIN,,NO,
F10L01_0053,Bomba de gasolina quemada o con baja presion,MOTOR,L2,APROBADO,CONFORME,0.2971,0.3874,TRAIN,,SI,Falla en bujias o bobinas de encendido (misfire)
F10L01_0054,Bomba de gasolina quemada o con baja presion,MOTOR,L2,APROBADO,CONFORME,0.2355,0.3557,TRAIN,,NO,
F10L01_0055,Bomba de gasolina quemada o con baja presion,MOTOR,L2,APROBADO,CONFORME,0.4626,0.25,TRAIN,,NO,
F10L01_0056,Bomba de gasolina quemada o con baja presion,MOTOR,L2,APROBADO,CONFORME,0.1997,0.2566,TRAIN,,NO,
F10L01_0057,Bomba de gasolina quemada o con baja presion,MOTOR,L2,APROBADO,CONFORME,0.25,0.2456,TRAIN,,NO,
F10L01_0058,Bomba de gasolina quemada o con baja presion,MOTOR,L2,APROBADO,CONFORME,0.1983,0.2196,TRAIN,,NO,
F10L01_0059,Bomba de gasolina quemada o con baja presion,MOTOR,L2,APROBADO,CONFORME,0.2607,0.2539,TRAIN,,NO,
F10L01_0060,Bomba de gasolina quemada o con baja presion,MOTOR,L2,APROBADO,CONFORME,0.1946,0.4234,TRAIN,,NO,
F10L01_0061,Bomba de gasolina quemada o con baja presion,MOTOR,L2,APROBADO,CONFORME,0.2037,0.1472,TRAIN,,NO,
F10L01_0062,Bomba de gasolina quemada o con baja presion,MOTOR,L2,APROBADO,CONFORME,0.449,0.27,TRAIN,,SI,Falla en bujias o bobinas de encendido (misfire)
F10L01_0063,Bomba de gasolina quemada o con baja presion,MOTOR,L2,APROBADO,CONFORME,0.2262,0.2265,TRAIN,,SI,Falla en bujias o bobinas de encendido (misfire)
F10L01_0064,Bomba de gasolina quemada o con baja presion,MOTOR,L2,APROBADO,CONFORME,0.2576,0.4453,TRAIN,,NO,
F10L01_0065,Bomba de gasolina quemada o con baja presion,MOTOR,L2,APROBADO,CONFORME,0.2535,0.2409,TRAIN,,NO,
F10L01_0066,Bomba de gasolina quemada o con baja presion,MOTOR,L3,APROBADO,CONFORME,0.4328,0.5621,TRAIN,,SI,Falla en bujias o bobinas de encendido (misfire)
F10L01_0067,Bomba de gasolina quemada o con baja presion,MOTOR,L3,APROBADO,CONFORME,0.217,0.1594,TRAIN,,SI,Inyectores sucios o filtro de combustible obstruido
F10L01_0068,Bomba de gasolina quemada o con baja presion,MOTOR,L3,APROBADO,CONFORME,0.1531,0.1658,TRAIN,,NO,
F10L01_0069,Bomba de gasolina quemada o con baja presion,MOTOR,L3,APROBADO,CONFORME,0.2364,0.2219,TRAIN,,SI,Falla en bujias o bobinas de encendido (misfire)
F10L01_0070,Bomba de gasolina quemada o con baja presion,MOTOR,L3,APROBADO,CONFORME,0.2777,0.1907,TRAIN,,NO,
F10L01_0071,Bomba de gasolina quemada o con baja presion,MOTOR,L3,APROBADO,CONFORME,0.1368,0.1764,TRAIN,,NO,
F10L01_0072,Bomba de gasolina quemada o con baja presion,MOTOR,L3,APROBADO,CONFORME,0.2535,0.2251,TRAIN,,SI,Falla en bujias o bobinas de encendido (misfire)
F10L01_0073,Bomba de gasolina quemada o con baja presion,MOTOR,L3,APROBADO,CONFORME,0.1883,0.239,TRAIN,,NO,
F10L01_0074,Bomba de gasolina quemada o con baja presion,MOTOR,L3,APROBADO,CONFORME,0.2382,0.1729,TRAIN,,NO,
F10L01_0075,Bomba de gasolina quemada o con baja presion,MOTOR,L3,APROBADO,CONFORME,0.1662,0.1578,TRAIN,,NO,
F10L01_0076,Bomba de gasolina quemada o con baja presion,MOTOR,L3,APROBADO,CONFORME,0.2317,0.176,TRAIN,,SI,Falla en bujias o bobinas de encendido (misfire)
F10L01_0077,Bomba de gasolina quemada o con baja presion,MOTOR,L3,APROBADO,CONFORME,0.1775,0.3896,TRAIN,,SI,Inyectores sucios o filtro de combustible obstruido
F10L01_0078,Bomba de gasolina quemada o con baja presion,MOTOR,L3,APROBADO,CONFORME,0.221,0.2829,TRAIN,,NO,
F10L01_0079,Bomba de gasolina quemada o con baja presion,MOTOR,L3,APROBADO,CONFORME,0.2102,0.199,TRAIN,,NO,
F10L01_0080,Bomba de gasolina quemada o con baja presion,MOTOR,L3,APROBADO,CONFORME,0.1857,0.1985,TRAIN,,SI,Inyectores sucios o filtro de combustible obstruido
F10L01_0081,Inyectores sucios o filtro de combustible obstruido,MOTOR,L1,APROBADO,CONFORME,0.4626,0.1742,TRAIN,,NO,
F10L01_0082,Inyectores sucios o filtro de combustible obstruido,MOTOR,L1,APROBADO,CONFORME,0.225,0.1759,TRAIN,,NO,
F10L01_0083,Inyectores sucios o filtro de combustible obstruido,MOTOR,L1,APROBADO,CONFORME,0.3056,0.5096,TRAIN,,NO,
F10L01_0084,Inyectores sucios o filtro de combustible obstruido,MOTOR,L1,APROBADO,CONFORME,0.275,0.3861,TRAIN,,NO,
F10L01_0085,Inyectores sucios o filtro de combustible obstruido,MOTOR,L1,APROBADO,CONFORME,0.449,0.2986,TRAIN,,NO,
F10L01_0086,Inyectores sucios o filtro de combustible obstruido,MOTOR,L1,APROBADO,CONFORME,0.4493,0.277,TRAIN,,NO,
F10L01_0087,Inyectores sucios o filtro de combustible obstruido,MOTOR,L1,APROBADO,CONFORME,0.4865,0.3039,TRAIN,,NO,
F10L01_0088,Inyectores sucios o filtro de combustible obstruido,MOTOR,L1,APROBADO,CONFORME,0.3423,0.1946,TRAIN,,NO,
F10L01_0089,Inyectores sucios o filtro de combustible obstruido,MOTOR,L1,APROBADO,CONFORME,0.2181,0.2041,TRAIN,,NO,
F10L01_0090,Inyectores sucios o filtro de combustible obstruido,MOTOR,L1,APROBADO,CONFORME,0.2101,0.2565,TRAIN,,NO,
F10L01_0091,Inyectores sucios o filtro de combustible obstruido,MOTOR,L2,APROBADO,CONFORME,0.2354,0.2615,TRAIN,,SI,Bomba de gasolina quemada o con baja presion
F10L01_0092,Inyectores sucios o filtro de combustible obstruido,MOTOR,L2,APROBADO,CONFORME,0.1489,0.1891,TRAIN,,NO,
F10L01_0093,Inyectores sucios o filtro de combustible obstruido,MOTOR,L2,APROBADO,CONFORME,0.1906,0.2277,TRAIN,,SI,Bomba de gasolina quemada o con baja presion
F10L01_0094,Inyectores sucios o filtro de combustible obstruido,MOTOR,L2,APROBADO,CONFORME,0.2637,0.1477,TRAIN,,SI,Falla en bujias o bobinas de encendido (misfire)
F10L01_0095,Inyectores sucios o filtro de combustible obstruido,MOTOR,L2,APROBADO,CONFORME,0.2815,0.2295,TRAIN,,NO,
F10L01_0096,Inyectores sucios o filtro de combustible obstruido,MOTOR,L2,APROBADO,CONFORME,0.2382,0.2092,TRAIN,,NO,
F10L01_0097,Inyectores sucios o filtro de combustible obstruido,MOTOR,L2,APROBADO,CONFORME,0.2873,0.31,TRAIN,,NO,
F10L01_0098,Inyectores sucios o filtro de combustible obstruido,MOTOR,L2,APROBADO,CONFORME,0.2793,0.1773,TRAIN,,NO,
F10L01_0099,Inyectores sucios o filtro de combustible obstruido,MOTOR,L2,APROBADO,CONFORME,0.1576,0.1614,TRAIN,,NO,
F10L01_0100,Inyectores sucios o filtro de combustible obstruido,MOTOR,L2,APROBADO,CONFORME,0.2475,0.3566,TRAIN,,SI,Bomba de gasolina quemada o con baja presion
F10L01_0101,Inyectores sucios o filtro de combustible obstruido,MOTOR,L2,APROBADO,CONFORME,0.2585,0.0858,FIELD_60,,SI,Falla en sensor de oxigeno o mezcla rica
F10L01_0102,Inyectores sucios o filtro de combustible obstruido,MOTOR,L2,APROBADO,CONFORME,0.1816,0.1641,TRAIN,,SI,Bomba de gasolina quemada o con baja presion
F10L01_0103,Inyectores sucios o filtro de combustible obstruido,MOTOR,L2,APROBADO,CONFORME,0.2443,0.2154,TRAIN,,SI,Falla en bujias o bobinas de encendido (misfire)
F10L01_0104,Inyectores sucios o filtro de combustible obstruido,MOTOR,L2,APROBADO,CONFORME,0.2343,0.4004,TRAIN,,NO,
F10L01_0105,Inyectores sucios o filtro de combustible obstruido,MOTOR,L2,APROBADO,CONFORME,0.1323,0.1374,TRAIN,,NO,
F10L01_0106,Inyectores sucios o filtro de combustible obstruido,MOTOR,L3,APROBADO,CONFORME,0.2428,0.2396,TRAIN,,SI,Bomba de gasolina quemada o con baja presion
F10L01_0107,Inyectores sucios o filtro de combustible obstruido,MOTOR,L3,APROBADO,CONFORME,0.2364,0.1633,TRAIN,,SI,Falla en bujias o bobinas de encendido (misfire)
F10L01_0108,Inyectores sucios o filtro de combustible obstruido,MOTOR,L3,APROBADO,CONFORME,0.1763,0.1525,TRAIN,,SI,Bomba de gasolina quemada o con baja presion
F10L01_0109,Inyectores sucios o filtro de combustible obstruido,MOTOR,L3,APROBADO,CONFORME,0.2873,0.1585,TRAIN,,SI,Falla en sensor de oxigeno o mezcla rica
F10L01_0110,Inyectores sucios o filtro de combustible obstruido,MOTOR,L3,APROBADO,CONFORME,0.2793,0.1328,TRAIN,,NO,
