sintoma,falla,codigo_falla,sistema,severidad,origen,doi,licencia,estado_validacion
"La luz de ABS permanece encendida; además, El velocímetro marca de forma errática",Falla en sensor de velocidad de rueda ABS,FRENO_005,Frenos,media,ZENODO_ACADEMICO,10.5281/zenodo.15626055,CC BY 4.0,AUDITADO_TAXONOMIA_NO_CASO_TALLER
"Hay fuga de líquido de frenos; además, El pedal de freno está demasiado suave",Fuga hidraulica o aire en el sistema de frenos,FRENO_002,Frenos,alta,ZENODO_ACADEMICO,10.5281/zenodo.15626055,CC BY 4.0,AUDITADO_TAXONOMIA_NO_CASO_TALLER
"El pedal de freno se siente esponjoso; además, Hay fugas de líquido de frenos",Fuga hidraulica o aire en el sistema de frenos,FRENO_002,Frenos,alta,ZENODO_ACADEMICO,10.5281/zenodo.15626055,CC BY 4.0,AUDITADO_TAXONOMIA_NO_CASO_TALLER
"El pedal de freno pulsa al frenar; además, El timón vibra",Discos de freno alabeados o desgastados,FRENO_003,Frenos,media,ZENODO_ACADEMICO,10.5281/zenodo.15626055,CC BY 4.0,AUDITADO_TAXONOMIA_NO_CASO_TALLER
"No sale aire frío por las rejillas; además, El aire acondicionado hace un ruido fuerte al encenderlo",Falla en compresor de aire acondicionado o fuga de gas R134a,CLIMA_001,Climatización y Confort,baja,ZENODO_ACADEMICO,10.5281/zenodo.15626055,CC BY 4.0,AUDITADO_TAXONOMIA_NO_CASO_TALLER
"El motor se recalienta; además, Hay fuga de refrigerante debajo del vehículo",Fuga en mangueras de refrigerante o radiador picado,REFRIGERACION_002,Refrigeración,alta,ZENODO_ACADEMICO,10.5281/zenodo.15626055,CC BY 4.0,AUDITADO_TAXONOMIA_NO_CASO_TALLER
"Se forma un charco de refrigerante debajo del vehículo; además, Se siente olor a refrigerante dentro de la cabina",Fuga en mangueras de refrigerante o radiador picado,REFRIGERACION_002,Refrigeración,alta,ZENODO_ACADEMICO,10.5281/zenodo.15626055,CC BY 4.0,AUDITADO_TAXONOMIA_NO_CASO_TALLER
"El motor se recalienta; además, La aguja de temperatura llega a la zona roja",Falla en termostato o motoventilador de radiador,REFRIGERACION_001,Refrigeración,alta,ZENODO_ACADEMICO,10.5281/zenodo.15626055,CC BY 4.0,AUDITADO_TAXONOMIA_NO_CASO_TALLER
"El motor se recalienta; además, El aire acondicionado no enfría cuando el motor está en mínimo",Falla en termostato o motoventilador de radiador,REFRIGERACION_001,Refrigeración,alta,ZENODO_ACADEMICO,10.5281/zenodo.15626055,CC BY 4.0,AUDITADO_TAXONOMIA_NO_CASO_TALLER
"Hay fuga de refrigerante debajo del vehículo; además, Las mangueras están cuarteadas o rajadas",Fuga en mangueras de refrigerante o radiador picado,REFRIGERACION_002,Refrigeración,alta,ZENODO_ACADEMICO,10.5281/zenodo.15626055,CC BY 4.0,AUDITADO_TAXONOMIA_NO_CASO_TALLER
"El motor se recalienta; además, Hay fuga de refrigerante en la parte delantera del motor",Falla en termostato o motoventilador de radiador,REFRIGERACION_001,Refrigeración,alta,ZENODO_ACADEMICO,10.5281/zenodo.15626055,CC BY 4.0,AUDITADO_TAXONOMIA_NO_CASO_TALLER
"El pedal de embrague se siente flojo; además, Cuesta engranar los cambios",Falla en bombin o bomba hidraulica de embrague,EMBRAGUE_002,Transmisión y Embrague,alta,ZENODO_ACADEMICO,10.5281/zenodo.15626055,CC BY 4.0,AUDITADO_TAXONOMIA_NO_CASO_TALLER
"El pedal de embrague se siente esponjoso; además, Hay fuga de líquido cerca del pedal de embrague",Falla en bombin o bomba hidraulica de embrague,EMBRAGUE_002,Transmisión y Embrague,alta,ZENODO_ACADEMICO,10.5281/zenodo.15626055,CC BY 4.0,AUDITADO_TAXONOMIA_NO_CASO_TALLER
"La caja automática patina; además, La caja demora en acoplar el cambio",Sobrecalentamiento o solenoides en caja automatica CVT / DSG,TRANSMISION_001,Transmisión y Embrague,alta,ZENODO_ACADEMICO,10.5281/zenodo.15626055,CC BY 4.0,AUDITADO_TAXONOMIA_NO_CASO_TALLER
"La luz de batería permanece encendida; además, Las luces delanteras alumbran con poca intensidad",Alternador defectuoso o placa de diodos quemada,ELECTRICO_001,Sistema Eléctrico y Carga,alta,ZENODO_ACADEMICO,10.5281/zenodo.15626055,CC BY 4.0,AUDITADO_TAXONOMIA_NO_CASO_TALLER
"El vidrio eléctrico no sube ni baja; además, El vidrio eléctrico funciona por momentos",Elevalunas electrico o guaya de alzacristales rota o trabada,CARROCERIA_003,Carrocería y Confort,baja,ZENODO_ACADEMICO,10.5281/zenodo.15626055,CC BY 4.0,AUDITADO_TAXONOMIA_NO_CASO_TALLER
"El vidrio de la puerta se salió de la guía; además, El vidrio de la puerta quedó trabado",Elevalunas electrico o guaya de alzacristales rota o trabada,CARROCERIA_003,Carrocería y Confort,baja,ZENODO_ACADEMICO,10.5281/zenodo.15626055,CC BY 4.0,AUDITADO_TAXONOMIA_NO_CASO_TALLER
"El motor falla y trabaja disparejo; además, Al motor le cuesta arrancar",Falla en bujias o bobinas de encendido (misfire),MOTOR_001,Motor,alta,ZENODO_ACADEMICO,10.5281/zenodo.15626055,CC BY 4.0,AUDITADO_TAXONOMIA_NO_CASO_TALLER
"El seguro eléctrico de la puerta no responde; además, Se escucha un clic dentro de la puerta",Falla electrica del cierre centralizado o actuador de puerta,CARROCERIA_001,Carrocería y Confort,baja,ZENODO_ACADEMICO,10.5281/zenodo.15626055,CC BY 4.0,AUDITADO_TAXONOMIA_NO_CASO_TALLER
"El motor de arranque no gira; además, Al girar la llave solo se escucha un clic",Bateria descargada o bornes sulfatados,ELECTRICO_002,Sistema Eléctrico y Carga,media,ZENODO_ACADEMICO,10.5281/zenodo.15626055,CC BY 4.0,AUDITADO_TAXONOMIA_NO_CASO_TALLER
"Los limpiaparabrisas no funcionan; además, Los limpiaparabrisas funcionan por momentos",Limpiaparabrisas o motor pluma quemado,CARROCERIA_004,Carrocería y Confort,media,ZENODO_ACADEMICO,10.5281/zenodo.15626055,CC BY 4.0,AUDITADO_TAXONOMIA_NO_CASO_TALLER
"El vehículo pierde fuerza; además, El turbo demora en cargar y responder",Fuga en mangueras de intercooler o turbocompresor danado,TURBO_001,Sobrealimentación y Turbo,alta,ZENODO_ACADEMICO,10.5281/zenodo.15626055,CC BY 4.0,AUDITADO_TAXONOMIA_NO_CASO_TALLER
"El motor falla y trabaja disparejo; además, El vehículo consume demasiado combustible",Inyectores sucios o filtro de combustible obstruido,COMBUSTIBLE_001,Inyección de Combustible,media,ZENODO_ACADEMICO,10.5281/zenodo.15626055,CC BY 4.0,AUDITADO_TAXONOMIA_NO_CASO_TALLER
