id,clase_objetivo,nivel_informacion,estado_auditoria,motivos,sim_intra_max,sim_inter_max,inter_ref_origen,dtc,es_contrastivo,clase_contrastiva
F10-L06-0001,Desgaste de pastillas y zapatas de freno,L1,APROBADO,CONFORME,0.539,0.6282,TRAIN,,NO,
F10-L06-0002,Desgaste de pastillas y zapatas de freno,L1,APROBADO,CONFORME,0.2501,0.3475,TRAIN,,NO,
F10-L06-0003,Desgaste de pastillas y zapatas de freno,L1,APROBADO,CONFORME,0.2092,0.2152,TRAIN,,NO,
F10-L06-0004,Desgaste de pastillas y zapatas de freno,L1,APROBADO,CONFORME,0.2806,0.3345,TRAIN,,NO,
F10-L06-0005,Desgaste de pastillas y zapatas de freno,L1,APROBADO,CONFORME,0.1214,0.1553,TRAIN,,NO,
F10-L06-0006,Desgaste de pastillas y zapatas de freno,L1,APROBADO,CONFORME,0.1192,0.2955,TRAIN,,NO,
F10-L06-0007,Desgaste de pastillas y zapatas de freno,L1,APROBADO,CONFORME,0.1335,0.3923,TRAIN,,NO,
F10-L06-0008,Desgaste de pastillas y zapatas de freno,L1,APROBADO,CONFORME,0.2806,0.2124,TRAIN,,NO,
F10-L06-0009,Desgaste de pastillas y zapatas de freno,L1,APROBADO,CONFORME,0.1344,0.3467,TRAIN,,NO,
F10-L06-0010,Desgaste de pastillas y zapatas de freno,L1,APROBADO,CONFORME,0.1215,0.1157,TRAIN,,NO,
F10-L06-0011,Desgaste de pastillas y zapatas de freno,L2,APROBADO,CONFORME,0.1983,0.1857,LOTE_04,,SI,Discos de freno alabeados o desgastados
F10-L06-0012,Desgaste de pastillas y zapatas de freno,L2,APROBADO,CONFORME,0.1803,0.4015,TRAIN,,SI,Caliper de freno trabado o mordaza pegada (piston agarrotado)
F10-L06-0013,Desgaste de pastillas y zapatas de freno,L2,APROBADO,CONFORME,0.1165,0.2197,TRAIN,,NO,
F10-L06-0014,Desgaste de pastillas y zapatas de freno,L2,APROBADO,CONFORME,0.1446,0.1739,TRAIN,,SI,Fuga hidraulica o aire en el sistema de frenos
F10-L06-0015,Desgaste de pastillas y zapatas de freno,L2,APROBADO,CONFORME,0.1214,0.1431,TRAIN,,NO,
F10-L06-0016,Desgaste de pastillas y zapatas de freno,L2,APROBADO,CONFORME,0.1581,0.2271,TRAIN,,SI,Caliper de freno trabado o mordaza pegada (piston agarrotado)
F10-L06-0017,Desgaste de pastillas y zapatas de freno,L2,APROBADO,CONFORME,0.094,0.1823,TRAIN,,SI,Falla en servofreno (booster) o linea de vacio
