item,fase,codigo_caso,placa,marca_modelo,falla_real,prediccion_chatbot,prediccion_correcta,campos_completos,cantidad_campos,tiempo_minutos,lote,origen,es_oficial
1788224539302650115,Pre-test,PILOTO-PRE-001,PIL-001,Toyota Yaris,Cuerpo de aceleracion o valvula IAC sucia,Cuerpo de aceleracion o valvula IAC sucia,1,1,8,42,PILOTO_TEMPORAL_20260919,PILOTO_PROVISIONAL_CLASE,False
1788224539302650116,Pre-test,PILOTO-PRE-002,PIL-002,Hyundai Accent,Desgaste de pastillas y zapatas de freno,Discos de freno alabeados o desgastados,0,1,8,35,PILOTO_TEMPORAL_20260919,PILOTO_PROVISIONAL_CLASE,False
1788224539302650117,Pre-test,PILOTO-PRE-003,PIL-003,Nissan Versa,Bateria descargada o bornes sulfatados,Bateria descargada o bornes sulfatados,1,0,7,48,PILOTO_TEMPORAL_20260919,PILOTO_PROVISIONAL_CLASE,False
1788224539302650118,Pre-test,PILOTO-PRE-004,PIL-004,Kia Rio,Falla en bombin o bomba hidraulica de embrague,Disco de embrague desgastado o patinando,0,1,8,31,PILOTO_TEMPORAL_20260919,PILOTO_PROVISIONAL_CLASE,False
1788224539302650119,Pre-test,PILOTO-PRE-005,PIL-005,Chevrolet Sail,Falla en termostato o motoventilador de radiador,Falla en termostato o motoventilador de radiador,1,0,7,39,PILOTO_TEMPORAL_20260919,PILOTO_PROVISIONAL_CLASE,False
1788224539302650120,Pre-test,PILOTO-PRE-006,PIL-006,Toyota Corolla,Falla en bujias o bobinas de encendido (misfire),Falla en bujias o bobinas de encendido (misfire),1,1,8,44,PILOTO_TEMPORAL_20260919,PILOTO_PROVISIONAL_CLASE,False
1788224539302650121,Pre-test,PILOTO-PRE-007,PIL-007,Suzuki Swift,Discos de freno alabeados o desgastados,Llantas desbalanceadas o desalineadas,0,1,8,36,PILOTO_TEMPORAL_20260919,PILOTO_PROVISIONAL_CLASE,False
1788224539302650122,Pre-test,PILOTO-PRE-008,PIL-008,Nissan Sentra,Alternador defectuoso o placa de diodos quemada,Alternador defectuoso o placa de diodos quemada,1,0,7,51,PILOTO_TEMPORAL_20260919,PILOTO_PROVISIONAL_CLASE,False
1788224539302650123,Pre-test,PILOTO-PRE-009,PIL-009,Hyundai i10,Inyectores sucios o filtro de combustible obstruido,Bomba de gasolina quemada o con baja presion,0,1,8,34,PILOTO_TEMPORAL_20260919,PILOTO_PROVISIONAL_CLASE,False
1788224539302650124,Pre-test,PILOTO-PRE-010,PIL-010,Kia Cerato,Bieletas de la barra estabilizadora desgastadas,Bieletas de la barra estabilizadora desgastadas,1,0,6,40,PILOTO_TEMPORAL_20260919,PILOTO_PROVISIONAL_CLASE,False
1788224539302650125,Post-test,PILOTO-POST-001,PIL-001,Toyota Yaris,Cuerpo de aceleracion o valvula IAC sucia,Cuerpo de aceleracion o valvula IAC sucia,1,1,8,19,PILOTO_TEMPORAL_20260919,PILOTO_PROVISIONAL_CLASE,False
1788224539302650126,Post-test,PILOTO-POST-002,PIL-002,Hyundai Accent,Desgaste de pastillas y zapatas de freno,Desgaste de pastillas y zapatas de freno,1,1,8,17,PILOTO_TEMPORAL_20260919,PILOTO_PROVISIONAL_CLASE,False
1788224539302650127,Post-test,PILOTO-POST-003,PIL-003,Nissan Versa,Bateria descargada o bornes sulfatados,Bateria descargada o bornes sulfatados,1,1,8,22,PILOTO_TEMPORAL_20260919,PILOTO_PROVISIONAL_CLASE,False
1788224539302650128,Post-test,PILOTO-POST-004,PIL-004,Kia Rio,Falla en bombin o bomba hidraulica de embrague,Disco de embrague desgastado o patinando,0,1,8,16,PILOTO_TEMPORAL_20260919,PILOTO_PROVISIONAL_CLASE,False
1788224539302650129,Post-test,PILOTO-POST-005,PIL-005,Chevrolet Sail,Falla en termostato o motoventilador de radiador,Falla en termostato o motoventilador de radiador,1,1,8,18,PILOTO_TEMPORAL_20260919,PILOTO_PROVISIONAL_CLASE,False
1788224539302650130,Post-test,PILOTO-POST-006,PIL-006,Toyota Corolla,Falla en bujias o bobinas de encendido (misfire),Falla en bujias o bobinas de encendido (misfire),1,1,8,20,PILOTO_TEMPORAL_20260919,PILOTO_PROVISIONAL_CLASE,False
1788224539302650131,Post-test,PILOTO-POST-007,PIL-007,Suzuki Swift,Discos de freno alabeados o desgastados,Discos de freno alabeados o desgastados,1,0,7,21,PILOTO_TEMPORAL_20260919,PILOTO_PROVISIONAL_CLASE,False
1788224539302650132,Post-test,PILOTO-POST-008,PIL-008,Nissan Sentra,Alternador defectuoso o placa de diodos quemada,Alternador defectuoso o placa de diodos quemada,1,1,8,15,PILOTO_TEMPORAL_20260919,PILOTO_PROVISIONAL_CLASE,False
1788224539302650133,Post-test,PILOTO-POST-009,PIL-009,Hyundai i10,Inyectores sucios o filtro de combustible obstruido,Bomba de gasolina quemada o con baja presion,0,1,8,23,PILOTO_TEMPORAL_20260919,PILOTO_PROVISIONAL_CLASE,False
1788224539302650134,Post-test,PILOTO-POST-010,PIL-010,Kia Cerato,Bieletas de la barra estabilizadora desgastadas,Bieletas de la barra estabilizadora desgastadas,1,1,8,19,PILOTO_TEMPORAL_20260919,PILOTO_PROVISIONAL_CLASE,False
