label,en_train_original,en_fase10,en_train10,en_dev10,en_f83,en_c1,en_codigo,macro,cantidad_train_original,cantidad_fase10,cantidad_train10,cantidad_dev10
Falla en bujias o bobinas de encendido (misfire),SI,SI,SI,SI,SI,SI,SI,MOTOR,301,40,273,68
Bomba de gasolina quemada o con baja presion,SI,SI,SI,SI,SI,SI,SI,MOTOR,175,40,172,43
Inyectores sucios o filtro de combustible obstruido,SI,SI,SI,SI,SI,SI,SI,MOTOR,149,40,151,38
Falla en sensor de oxigeno o mezcla rica,SI,SI,SI,SI,SI,SI,SI,MOTOR,221,40,208,53
Cuerpo de aceleracion o valvula IAC sucia,SI,SI,SI,SI,SI,SI,SI,MOTOR,184,40,179,45
Empaque de culata soplado o danado,SI,SI,SI,SI,SI,SI,SI,MOTOR,133,40,139,34
Falla en termostato o motoventilador de radiador,SI,SI,SI,SI,SI,SI,SI,MOTOR,122,40,130,32
Fuga en mangueras de refrigerante o radiador picado,SI,SI,SI,SI,SI,SI,SI,MOTOR,75,40,92,23
Consumo de aceite por desgaste de anillos o retenes,SI,SI,SI,SI,SI,SI,SI,MOTOR,122,40,130,32
Baja presion de aceite o bomba de aceite defectuosa,SI,SI,SI,SI,SI,SI,SI,MOTOR,102,40,114,28
Faja o cadena de distribucion destensada o con salto de punto,SI,SI,SI,SI,SI,SI,SI,MOTOR,109,40,119,30
Falla en sistema de sincronizacion variable de valvulas (VVT / VVT-i / Valvetronic),SI,SI,SI,SI,SI,SI,SI,MOTOR,53,40,74,19
Falla de descarbonizacion e inyeccion directa GDI (acumulacion de carbon en valvulas),SI,SI,SI,SI,SI,SI,SI,MOTOR,52,40,74,18
Falla en actuador de turbocompresor o VGT en motores alemanes TSI / TFSI,SI,SI,SI,SI,SI,SI,SI,MOTOR,50,40,72,18
Fuga en mangueras de intercooler o turbocompresor danado,SI,SI,SI,SI,SI,SI,SI,MOTOR,86,40,101,25
Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),SI,SI,SI,SI,SI,SI,SI,MOTOR,47,40,70,17
Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet),SI,SI,SI,SI,SI,SI,SI,MOTOR,45,40,68,17
Falla en filtro de particulas DPF / FAP y sistema AdBlue DEF (Diesel Euro 5/6),SI,SI,SI,SI,SI,SI,SI,MOTOR,47,40,69,18
Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),SI,SI,SI,SI,SI,SI,SI,MOTOR,57,40,78,19
