id_grupo,tamano,clase_objetivo,n_clases_distintas,split_asignado,ejemplo_texto
G-ORIG-0001,3,Desgaste de pastillas y zapatas de freno,1,TRAIN,siento un chillido agudo al frenar
G-ORIG-0002,1,Desgaste de pastillas y zapatas de freno,1,DEV,hola maestro siento un chillido agudo al frenar al andar
G-ORIG-0003,2,Desgaste de pastillas y zapatas de freno,1,TRAIN,el carro chilla bastante cuando piso el freno
G-ORIG-0004,1,Desgaste de pastillas y zapatas de freno,1,TRAIN,buenas tardes maestro el carro chilla bastante cuando piso el freno ultimamente
G-ORIG-0005,1,Desgaste de pastillas y zapatas de freno,1,TRAIN,sabes que el carro chilla bastante cuando piso el freno al andar
G-ORIG-0006,3,Desgaste de pastillas y zapatas de freno,1,TRAIN,suena como metal chocando en la llanta cuando freno
G-ORIG-0007,1,Desgaste de pastillas y zapatas de freno,1,TRAIN,hola maestro suena como metal chocando en la llanta cuando freno en carabayllo
G-ORIG-0008,2,Desgaste de pastillas y zapatas de freno,1,TRAIN,se escucha un chirrido feo al frenar en la esquina
G-ORIG-0009,1,Desgaste de pastillas y zapatas de freno,1,TRAIN,hola maestro se escucha un chirrido feo al frenar en la esquina ultimamente
G-ORIG-0010,1,Desgaste de pastillas y zapatas de freno,1,DEV,buenas tardes maestro se escucha un chirrido feo al frenar en la esquina en la pista
G-ORIG-0011,3,Desgaste de pastillas y zapatas de freno,1,DEV,el freno chilla feo a baja velocidad
G-ORIG-0012,1,Desgaste de pastillas y zapatas de freno,1,DEV,sabes que el freno chilla feo a baja velocidad al andar
G-ORIG-0013,4,Fuga hidraulica o aire en el sistema de frenos,1,DEV,el pedal de freno se va hasta el fondo y esta esponjoso
G-ORIG-0014,4,Fuga hidraulica o aire en el sistema de frenos,1,TRAIN,el freno esta muy largo y no frena casi nada
G-ORIG-0015,2,Fuga hidraulica o aire en el sistema de frenos,1,TRAIN,tengo que pisar hasta el fondo el pedal para que pare
