sintoma_fuente_ingles,categoria_fuente,subcategoria_fuente,codigo_canonico_propuesto,decision,traduccion_espanol_validada,validado_por_mecanico,observaciones_revision,doi_fuente,licencia
ABS warning light on,ABS System,ABS Control Module,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0
Brake pedal pulsation,ABS System,ABS Control Module,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0
ABS light stays on,ABS System,ABS Wheel Speed Sensor,FRENO_005,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0
Erratic speedometer,ABS System,ABS Wheel Speed Sensor,FRENO_005,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0
Spongy brake pedal,ABS System,Brake Booster,FRENO_004,REQUIERE_REVISION_AMBIGUEDAD,,NO,,10.5281/zenodo.15626055,CC BY 4.0
Hard brake pedal,ABS System,Brake Booster,FRENO_004,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0
Brake pulling to one side,ABS System,Brake Caliper,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0
Brake dragging,ABS System,Brake Caliper,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0
Brake fluid leak,ABS System,Brake Hose,FRENO_002,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0
Soft brake pedal,ABS System,Brake Hose,FRENO_002,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0
Spongy brake pedal,ABS System,Brake Master Cylinder,FRENO_002,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0
Brake fluid leaks,ABS System,Brake Master Cylinder,FRENO_002,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0
Squealing brakes,ABS System,Brake Pad,FRENO_001,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0
Brake pedal pulsation,ABS System,Brake Pad,FRENO_001,REQUIERE_REVISION_AMBIGUEDAD,,NO,,10.5281/zenodo.15626055,CC BY 4.0
Brake pedal pulsation,ABS System,Brake Rotor,FRENO_003,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0
Steering wheel vibration,ABS System,Brake Rotor,FRENO_003,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0
Spongy brake pedal,ABS System,Brake Shoe & Drum,FRENO_001,REQUIERE_REVISION_AMBIGUEDAD,,NO,,10.5281/zenodo.15626055,CC BY 4.0
Brake dragging,ABS System,Brake Shoe & Drum,FRENO_001,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0
No cold air from vents,Air Conditioning System,AC Compressor,CLIMA_001,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0
Loud noise when AC is on,Air Conditioning System,AC Compressor,CLIMA_001,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0
Warm air from AC vents,Air Conditioning System,AC Condenser,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0
AC system not cooling,Air Conditioning System,AC Condenser,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0
Musty odor from vents,Air Conditioning System,AC Evaporator,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0
Weak airflow from vents,Air Conditioning System,AC Evaporator,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0
Warm air from vents,Air Conditioning System,AC Recharge,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0
Low AC system pressure,Air Conditioning System,AC Recharge,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0
AC system not working,Air Conditioning System,Air Conditioning Diagnosis,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0
Unusual noise from AC system,Air Conditioning System,Air Conditioning Diagnosis,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0
Musty odor from vents,Air Conditioning System,Cabin Air Filter,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0
Reduced airflow from vents,Air Conditioning System,Cabin Air Filter,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0
No air from vents,Air Conditioning System,Heater Blower Motor,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0
Loud noise from HVAC system,Air Conditioning System,Heater Blower Motor,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0
HVAC fan speed erratic,Air Conditioning System,Heater Blower Motor Resistor,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0
HVAC fan only works on certain settings,Air Conditioning System,Heater Blower Motor Resistor,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0
Engine overheating,Cooling System,Coolant/Antifreeze,REFRIGERACION_002,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0
