grupo,total_registros_evaluados,registros_completos,prdc_porcentaje,configuracion
1,3,PENDIENTE_DE_VALIDACION,NO_CALCULABLE_SIN_DEFINICION_VALIDADA_DE_8_CAMPOS,CAMPOS_COMPLETITUD_PENDIENTES_DE_VALIDACION
2,3,PENDIENTE_DE_VALIDACION,NO_CALCULABLE_SIN_DEFINICION_VALIDADA_DE_8_CAMPOS,CAMPOS_COMPLETITUD_PENDIENTES_DE_VALIDACION
3,3,PENDIENTE_DE_VALIDACION,NO_CALCULABLE_SIN_DEFINICION_VALIDADA_DE_8_CAMPOS,CAMPOS_COMPLETITUD_PENDIENTES_DE_VALIDACION
4,3,PENDIENTE_DE_VALIDACION,NO_CALCULABLE_SIN_DEFINICION_VALIDADA_DE_8_CAMPOS,CAMPOS_COMPLETITUD_PENDIENTES_DE_VALIDACION
5,3,PENDIENTE_DE_VALIDACION,NO_CALCULABLE_SIN_DEFINICION_VALIDADA_DE_8_CAMPOS,CAMPOS_COMPLETITUD_PENDIENTES_DE_VALIDACION
6,3,PENDIENTE_DE_VALIDACION,NO_CALCULABLE_SIN_DEFINICION_VALIDADA_DE_8_CAMPOS,CAMPOS_COMPLETITUD_PENDIENTES_DE_VALIDACION
7,3,PENDIENTE_DE_VALIDACION,NO_CALCULABLE_SIN_DEFINICION_VALIDADA_DE_8_CAMPOS,CAMPOS_COMPLETITUD_PENDIENTES_DE_VALIDACION
8,3,PENDIENTE_DE_VALIDACION,NO_CALCULABLE_SIN_DEFINICION_VALIDADA_DE_8_CAMPOS,CAMPOS_COMPLETITUD_PENDIENTES_DE_VALIDACION
9,3,PENDIENTE_DE_VALIDACION,NO_CALCULABLE_SIN_DEFINICION_VALIDADA_DE_8_CAMPOS,CAMPOS_COMPLETITUD_PENDIENTES_DE_VALIDACION
10,3,PENDIENTE_DE_VALIDACION,NO_CALCULABLE_SIN_DEFINICION_VALIDADA_DE_8_CAMPOS,CAMPOS_COMPLETITUD_PENDIENTES_DE_VALIDACION
