ID,exact_class,macro,baseline_chunks,candidate_chunks,description,symptoms,causes,questions,tests,tools,interpretation,next_action,DTC,safety,provenance,chain_status,remaining_gap
1,Alternador defectuoso o placa de diodos quemada,ELECTRICO,17,17,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,NO_APLICA,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
2,Amortiguadores reventados o bujes de suspension gastados,SUSPENSION_CHASIS,4,4,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,NO_APLICA,NO_APLICA,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
3,Baja presion de aceite o bomba de aceite defectuosa,MOTOR,2,2,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,VERIFICADO,PARCIAL,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
4,Bateria descargada o bornes sulfatados,ELECTRICO,11,11,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,NO_APLICA,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
5,Bomba de gasolina quemada o con baja presion,MOTOR,10,10,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,PARCIAL,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
6,Caliper de freno trabado o mordaza pegada (piston agarrotado),FRENOS,2,2,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,NO_APLICA,PARCIAL,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
7,"Cerradura, chapa o pestillo mecanico de puerta trabado o desalineado",CARROCERIA_NEUMATICA,1,1,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,NO_APLICA,NO_APLICA,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
8,Consumo de aceite por desgaste de anillos o retenes,MOTOR,1,1,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,NO_APLICA,PARCIAL,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
9,Convertidor catalitico ineficiente u obstruido (DTC P0420 / P0430),MOTOR,6,6,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,PARCIAL,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
10,Cremallera de direccion asistida con holgura o fuga,SUSPENSION_CHASIS,7,7,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,NO_APLICA,NO_APLICA,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
11,Cuerpo de aceleracion o valvula IAC sucia,MOTOR,8,8,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,PARCIAL,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
12,Degradacion o falla en paquete de bateria de alto voltaje (EV / Hibridos),ELECTRICO,1,1,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,VERIFICADO,VERIFICADO,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
13,Desgaste de pastillas y zapatas de freno,FRENOS,4,4,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,NO_APLICA,PARCIAL,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
14,Desgaste en collarin de empuje o crapodina de embrague,TRANSMISION,1,1,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,NO_APLICA,NO_APLICA,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
15,Disco de embrague desgastado o patinando,TRANSMISION,4,4,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,NO_APLICA,NO_APLICA,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
16,Discos de freno alabeados o desgastados,FRENOS,2,2,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,NO_APLICA,PARCIAL,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
17,Elevalunas electrico o guaya de alzacristales rota o trabada,CARROCERIA_NEUMATICA,2,2,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,NO_APLICA,NO_APLICA,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
18,Empaque de culata soplado o danado,MOTOR,3,3,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,NO_APLICA,PARCIAL,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
19,Faja o cadena de distribucion destensada o con salto de punto,MOTOR,4,4,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,NO_APLICA,PARCIAL,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
20,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),MOTOR,1,1,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,NO_APLICA,PARCIAL,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
21,Falla de descarbonizacion e inyeccion directa GDI (acumulacion de carbon en valvulas),MOTOR,1,1,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,VERIFICADO,PARCIAL,Metadatos auditados / Manuales F8.3 / dtc_codes.db,PARTIAL,Requiere expansión de especificaciones OEM de par de apriete / tolerancias
