case_id,session_id,turn,user_input,normalized_input,current_issue,stored_positive_symptoms,stored_negative_symptoms,unknown_information,DTC,synthesized_ml_query,macro_prediction,macro_confidence,fault_top1,fault_top2,fault_top3,fault_confidences,rag_query,rag_hits,final_response,latency_ms
CASE_001,f11_v2_case_001,1,Hola,Hola,NOT_AVAILABLE,,,,NO_DTC,Hola,MOTOR,1.0000,Consulta General / Saludo,N/A,N/A,Conf=1.000,NOT_AVAILABLE,NOT_AVAILABLE,👋 Hola. ¿Qué falla presenta el vehículo?,14
CASE_002,f11_v2_case_002,1,Buenas tardes maestro,Buenas tardes maestro,NOT_AVAILABLE,,,,NO_DTC,Buenas tardes maestro,MOTOR,1.0000,Consulta General / Saludo,N/A,N/A,Conf=1.000,NOT_AVAILABLE,NOT_AVAILABLE,👋 Hola. ¿Qué falla presenta el vehículo?,1
CASE_003,f11_v2_case_003,1,Qué tal CarBot,Qué tal CarBot,esperando_clarificacion,,,,NO_DTC,Qué tal CarBot,MOTOR,0.0000,Consulta Ambigua / Datos Faltantes,N/A,N/A,Conf=0.000,NOT_AVAILABLE,NOT_AVAILABLE,"⚠️ Especifique: ¿ocurre al arrancar, acelerar o frenar?",18
CASE_004,f11_v2_case_004,1,Necesito ayuda con mi carro,Necesito ayuda con mi carro,esperando_clarificacion,,,,NO_DTC,Necesito ayuda con mi carro,MOTOR,0.0000,Consulta Ambigua / Datos Faltantes,N/A,N/A,Conf=0.000,NOT_AVAILABLE,NOT_AVAILABLE,"⚠️ Especifique: ¿ocurre al arrancar, acelerar o frenar?",3
CASE_005,f11_v2_case_005,1,Hola amigo,Hola amigo,NOT_AVAILABLE,,,,NO_DTC,Hola amigo,MOTOR,1.0000,Consulta General / Saludo,N/A,N/A,Conf=1.000,NOT_AVAILABLE,NOT_AVAILABLE,👋 Hola. ¿Qué falla presenta el vehículo?,1
CASE_006,f11_v2_case_006,1,mi carro tiembla,mi carro tiembla,esperando_clarificacion,sintoma_vibración:vibración,,,NO_DTC,mi carro tiembla,MOTOR,0.0000,Consulta Ambigua / Datos Faltantes,N/A,N/A,Conf=0.000,NOT_AVAILABLE,NOT_AVAILABLE,"⚠️ Especifique: ¿ocurre al arrancar, acelerar o frenar?",1
CASE_007,f11_v2_case_007,1,hace un ruido,hace un ruido,esperando_autopregunta,,,,NO_DTC,hace un ruido,MOTOR,0.5539,Faja o cadena de distribucion destensada o con salto de punto,Bateria descargada o bornes sulfatados,Rodamiento de maza o rodaje de rueda picado (zumbido de rodadura),Top1=0.554 | Top2=0.355 | Top3=0.041,NOT_AVAILABLE,NOT_AVAILABLE,"🤖 🔍 Para confirmar el diagnóstico entre las principales hipótesis técnicas:  • 1️⃣ Sonido de cadena floja en la distribución, motor descalibrado o fuera de punto (Cadena / Correa de distribución) — 55% • 2️⃣ Las luces del tablero se apagan o parpadean al dar arranque y suena arrastrado (Batería desc",50
CASE_008,f11_v2_case_008,1,no prende,presenta motor no arranca.,esperando_autopregunta,motor_arranca:NO; sintoma_motor_no_arranca:motor no arranca,,,NO_DTC,presenta motor no arranca.,ELECTRICO,0.5702,Bateria descargada o bornes sulfatados,Inyectores sucios o filtro de combustible obstruido,Falla en bujias o bobinas de encendido (misfire),Top1=0.570 | Top2=0.157 | Top3=0.153,NOT_AVAILABLE,NOT_AVAILABLE,"🤖 🔍 Para precisar el origen del problema de arranque:  • 1️⃣ Las luces del tablero se apagan o parpadean al dar arranque y suena arrastrado (Batería descargada) — 57% • 2️⃣ El motor tose, tironea a cualquier velocidad o le cuesta responder al acelerador (Inyectores / Filtro) — 16% • 3️⃣ Jalonea o ca",40
CASE_009,f11_v2_case_009,1,se siente raro al manejar,se siente raro al manejar,esperando_autopregunta,,,,NO_DTC,se siente raro al manejar,MOTOR,0.6743,Falla en sensor de oxigeno o mezcla rica,Cuerpo de aceleracion o valvula IAC sucia,Falla en bujias o bobinas de encendido (misfire),Top1=0.674 | Top2=0.141 | Top3=0.088,NOT_AVAILABLE,NOT_AVAILABLE,"🤖 🔍 Para confirmar el diagnóstico entre las principales hipótesis técnicas:  • 1️⃣ Humo negro, olor excesivo a gasolina por el escape y alto consumo (Sensor de oxígeno / Mezcla) — 67% • 2️⃣ Las revoluciones (RPM) suben y bajan solas o se apaga al desacelerar o llegar a semáforos (Cuerpo de aceleraci",35
CASE_010,f11_v2_case_010,1,pierde fuerza,presenta pérdida de potencia.,esperando_autopregunta,sintoma_pérdida_de_potencia:pérdida de potencia,,,NO_DTC,presenta pérdida de potencia.,MOTOR,0.4402,Falla en bujias o bobinas de encendido (misfire),Consumo de aceite por desgaste de anillos o retenes,Inyectores sucios o filtro de combustible obstruido,Top1=0.440 | Top2=0.319 | Top3=0.123,NOT_AVAILABLE,NOT_AVAILABLE,🤖 🔍 Para confirmar el diagnóstico entre las principales hipótesis técnicas:  • 1️⃣ Jalonea o cabecea con pérdida de fuerza al acelerar en subida o carga (Bujías o bobinas de encendido) — 44% • 2️⃣ Bota humo azulado por el escape al acelerar y baja el nivel de aceite motor (Anillos / Retenes) — 32% •,46
