sintoma,tipo_vehiculo,codigo_obd,falla,metodo_confirmacion,mecanico_validador,fecha,codigo_falla
"El pedal de freno se hunde hasta el fondo y rechina al frenar en bajada","Sedan Toyota Yaris 2018","C1201","Fuga hidraulica o aire en el sistema de frenos","Inspeccion en elevador y purga hidraulica","Carlos Mendoza","2026-07-15","FRENO_002"
"Chirrido metálico agudo cada vez que piso el freno a baja velocidad","Sedan Nissan Sentra 2019","SIN_OBD","Desgaste de pastillas y zapatas de freno","Micrometro de espesor < 2mm","Jorge Huaman","2026-07-16","FRENO_001"
"El carro no arranca por las mañanas solo suena un clic en el motor de arranque","Hatchback Kia Rio 2017","P0562","Bateria descargada o bornes sulfatados","Comprobador de conductancia CCA","Luis Mamani","2026-07-17","ELECTRICO_002"
"El motor vibra y tiembla fuerte en ralentí como si trabajara en 3 cilindros","SUV Hyundai Tucson 2016","P0302","Falla en bujias o bobinas de encendido (misfire)","Osciloscopio en secundario de bobina","Carlos Mendoza","2026-07-18","MOTOR_001"
"Tironea al acelerar a fondo y pierde potencia en subida","Sedan Chevrolet Sail 2015","P0171","Inyectores sucios o filtro de combustible obstruido","Banco de pruebas de inyectores","Jorge Huaman","2026-07-19","COMBUSTIBLE_001"
"Humo negro por el tubo de escape y alto consumo de gasolina","Sedan Toyota Corolla 2014","P0130","Falla en sensor de oxigeno o mezcla rica","Analizador de 4 gases y escaner OBD","Luis Mamani","2026-07-20","COMBUSTIBLE_004"
"Se siente olor a quemado y el motor patina al soltar el embrague en primera","Sedan Suzuki Swift 2018","SIN_OBD","Disco de embrague desgastado o patinando","Prueba de calado en 3ra marcha","Carlos Mendoza","2026-07-21","EMBRAGUE_001"
"La temperatura sube al máximo en tráfico y hierve el refrigerante","SUV Nissan X-Trail 2016","P0117","Falla en termostato o motoventilador de radiador","Termometro infrarrojo en mangueras","Jorge Huaman","2026-07-22","REFRIGERACION_001"
"Golpeteo seco en la rueda delantera derecha al pasar baches o rompemuelles","Sedan Kia Cerato 2017","SIN_OBD","Amortiguadores reventados o bujes de suspension gastados","Palanca de fuerza en elevador","Luis Mamani","2026-07-23","SUSPENSION_001"
"El timón vibra intensamente a partir de los 80 km por hora en autopista","Hatchback Hyundai i10 2019","SIN_OBD","Llantas desbalanceadas o desalineadas","Balanceadora dinamica computarizada","Carlos Mendoza","2026-07-24","SUSPENSION_004"
"El testigo de batería se enciende en el tablero y las luces bajan de intensidad","Sedan Honda Civic 2015","P0560","Alternador defectuoso o placa de diodos quemada","Pinza amperimetrica en borne B+","Jorge Huaman","2026-07-25","ELECTRICO_001"
"Chirrido agudo y chillido constante de correa al encender el aire acondicionado","SUV Toyota RAV4 2017","SIN_OBD","Faja o cadena de distribucion destensada o con salto de punto","Tensimetro de correa trapezoidal","Luis Mamani","2026-07-26","MOTOR_005"
"El motor se apaga repentinamente al frenar en un semáforo y no sostiene el mínimo","Sedan Nissan Tiida 2013","P0505","Cuerpo de aceleracion o valvula IAC sucia","Inspeccion visual de mariposa","Carlos Mendoza","2026-07-27","COMBUSTIBLE_003"
"Pérdida de fuerza y silbido agudo en el turbo al acelerar en carretera","Pickup Toyota Hilux 2018","P0299","Fuga en mangueras de intercooler o turbocompresor danado","Maquina de humo para admision","Jorge Huaman","2026-07-28","TURBO_001"
"Dificultad severa para meter los cambios primera y retroceso con motor encendido","Sedan Mazda 3 2016","SIN_OBD","Falla en bombin o bomba hidraulica de embrague","Inspeccion de recorrido de horquilla","Luis Mamani","2026-07-29","EMBRAGUE_002"
"Crujido tipo chasquido al girar toda la dirección hacia la izquierda al estacionar","Sedan Toyota Yaris 2015","SIN_OBD","Juntas homocineticas o palieres danados","Inspeccion de guardapolvo roto","Carlos Mendoza","2026-07-30","SUSPENSION_002"
"Vibración excesiva en el pedal de freno al frenar a alta velocidad","SUV Hyundai Santa Fe 2016","SIN_OBD","Discos de freno alabeados o desgastados","Comparador de caratula centesimal","Jorge Huaman","2026-07-31","FRENO_003"
"El motor cabecea y se escucha una explosión leve por el escape","Sedan Chevrolet Cruze 2014","P0300","Falla en bujias o bobinas de encendido (misfire)","Lectura de contador de misfires OBD","Luis Mamani","2026-08-01","MOTOR_001"
"Luz de Check Engine encendida con código de catalizador de baja eficiencia","Sedan Toyota Corolla 2016","P0420","Falla en sensor de oxigeno o mezcla rica","Medicion de forma de onda sensor 2","Carlos Mendoza","2026-08-02","COMBUSTIBLE_004"
"Humo blanco azulado constante por el escape y consumo excesivo de aceite","Sedan Subaru Impreza 2013","SIN_OBD","Consumo de aceite por desgaste de anillos o retenes","Prueba de fugas de cilindro","Jorge Huaman","2026-08-03","MOTOR_002"
"La dirección hidráulica está muy dura y hace zumbido al girar el volante","SUV Toyota Fortuner 2015","SIN_OBD","Cremallera de direccion asistida con holgura o fuga","Manometro de presion hidraulica","Luis Mamani","2026-08-04","SUSPENSION_003"
"El carro demora mucho en encender tras dejarlo estacionado varias horas","Sedan Nissan Versa 2018","P0087","Bomba de gasolina quemada o con baja presion","Manometro de presion en riel","Carlos Mendoza","2026-08-05","COMBUSTIBLE_002"
"Fuerte olor a gasolina cruda en el habitáculo y cerca de los inyectores","Sedan Kia Rio 2016","SIN_OBD","Inyectores sucios o filtro de combustible obstruido","Inspeccion con luz UV trazadora","Jorge Huaman","2026-08-06","COMBUSTIBLE_001"
"Fuga de líquido verde brillante debajo del radiador del motor","Sedan Chevrolet Sail 2017","SIN_OBD","Fuga en mangueras de refrigerante o radiador picado","Presurizador manual de radiador","Luis Mamani","2026-08-07","REFRIGERACION_002"
"Rechinido seco en la parte trasera al pasar por resaltos con carga","Pickup Mitsubishi L200 2017","SIN_OBD","Amortiguadores reventados o bujes de suspension gastados","Inspeccion de gemelas y bujes","Carlos Mendoza","2026-08-07","SUSPENSION_001"
"El motor suena como matraca al acelerar en caliente por falta de presión","Sedan Nissan Sentra 2012","P0524","Baja presion de aceite o bomba de aceite defectuosa","Manometro mecanico de presion de aceite","Jorge Huaman","2026-08-07","MOTOR_004"
"El velocímetro no marca y la caja automática hace cambios bruscos","Sedan Honda Accord 2014","P0700","Sobrecalentamiento o solenoides en caja automatica CVT / DSG","Escaner de transmision TCU","Luis Mamani","2026-08-07","TRANSMISION_001"
"Consumo excesivo de refrigerante sin fuga visible y humo blanco espeso","Hatchback VW Gol 2016","P0118","Empaque de culata soplado o danado","Detector quimico de CO2 en refrigerante","Carlos Mendoza","2026-08-07","MOTOR_003"
"El aire acondicionado no enfría y solo bota aire tibio","Sedan Hyundai Elantra 2017","SIN_OBD","Falla en compresor de aire acondicionado o fuga de gas R134a","Manometros manifold alta y baja","Jorge Huaman","2026-08-07","CLIMA_001"
"El pedal de freno está sumamente duro y cuesta mucho detener el vehículo","SUV Kia Sportage 2015","SIN_OBD","Falla en servofreno (booster) o linea de vacio","Vacuometro en toma de admision","Luis Mamani","2026-08-07","FRENO_004"
"La luz del ABS se queda fija y los frenos bloquean en mojado","Sedan Toyota Yaris 2019","C0200","Falla en sensor de velocidad de rueda ABS","Lectura de velocidad de ruedas en vivo","Carlos Mendoza","2026-08-07","FRENO_005"
"El motor no pasa de 2500 RPM y entra en modo de protección de emergencia","Sedan Ford Focus 2015","P2135","Cuerpo de aceleracion o valvula IAC sucia","Osciloscopio en pistas TPS 1 y 2","Jorge Huaman","2026-08-07","COMBUSTIBLE_003"
"Ruidos metalicos de golpeteo dentro del carter en subida","Sedan Toyota Corolla 2013","P0011","Baja presion de aceite o bomba de aceite defectuosa","Desmontaje y medicion con plastigage","Luis Mamani","2026-08-07","MOTOR_004"
"El pedal de freno vibra en el pie al frenar en bajadas pronunciadas","SUV Mazda CX-5 2018","SIN_OBD","Discos de freno alabeados o desgastados","Medicion de variacion de espesor DTV","Carlos Mendoza","2026-08-07","FRENO_003"
"Dificultad de arranque y testigo EPC encendido en el cuadro","Hatchback VW Polo 2017","P0340","Faja o cadena de distribucion destensada o con salto de punto","Sincronizacion con util de calado","Jorge Huaman","2026-08-07","MOTOR_005"
"Zumbido constante al acelerar que desaparece al pisar el pedal de embrague","Sedan Nissan Versa 2016","SIN_OBD","Disco de embrague desgastado o patinando","Inspeccion de rodaje de empuje o collarin","Luis Mamani","2026-08-07","EMBRAGUE_001"
"Chorro de refrigerante hirviendo por el tapon del vaso de expansion","Sedan Chevrolet Aveo 2014","P0217","Empaque de culata soplado o danado","Prueba de presion de compresion","Carlos Mendoza","2026-08-07","MOTOR_003"
"El compresor del aire hace chispas y bota humo de la correa","SUV Kia Sorento 2016","SIN_OBD","Falla en compresor de aire acondicionado o fuga de gas R134a","Inspeccion de rodaje de polea de A/C","Jorge Huaman","2026-08-07","CLIMA_001"
"Silbido fuerte de aire al acelerar con perdida instantanea de potencia","Pickup Ford Ranger 2017","P0299","Fuga en mangueras de intercooler o turbocompresor danado","Inspeccion de manguera de goma rajada","Luis Mamani","2026-08-07","TURBO_001"
"La direccion no retorna al centro y cruje al girar hacia la derecha","Sedan Toyota Yaris 2017","SIN_OBD","Cremallera de direccion asistida con holgura o fuga","Inspeccion de rotulas axiales","Carlos Mendoza","2026-08-07","SUSPENSION_003"
