lote,id,tipo,texto,ground_truth,macro_esperado,top1_predicho,confianza_top1,top2_predicho,confianza_top2,top3_predicho,confianza_top3,macro_predicho,top1_correcto,top3_correcto,macro_correcto
FASE_11_6_50_CASOS,STRESS_01,TECNICO,Bajo aceleración a 2500 RPM en carretera se presenta tironeo intermitente y pérdida de potencia. Pulso de inyección en cilindro 3 es correcto pero la resistencia del devanado secundario de la bobina de encendido está abierta.,Falla en bujias o bobinas de encendido (misfire),MOTOR,Falla en bujias o bobinas de encendido (misfire),0.7092,Falla en circuito o solenoide de inyector individual (DTC P0201 - P0208),0.189,Cuerpo de aceleracion o valvula IAC sucia,0.102,MOTOR,1,1,1
FASE_11_6_50_CASOS,STRESS_02,TECNICO,Manómetro conectado al riel de inyección registra caída de presión a 15 psi al acelerar a fondo en banco de pruebas. Caudal volumétrico de combustible insuficiente y relé de bomba conmuta correctamente.,Bomba de gasolina quemada o con baja presion,MOTOR,Bomba de gasolina quemada o con baja presion,0.8376,Inyectores sucios o filtro de combustible obstruido,0.106,Falla en regulador de presion de combustible o diafragma roto,0.057,MOTOR,1,1,1
FASE_11_6_50_CASOS,STRESS_03,TECNICO,El escáner OBD-II indica temperatura de refrigerante estancada en 62°C tras 35 minutos de marcha continua en autopista. La manguera superior e inferior del radiador calientan al mismo tiempo desde el arranque por termostato abierto.,Falla en termostato o motoventilador de radiador,MOTOR,Falla en termostato o motoventilador de radiador,0.6304,Fuga en mangueras de refrigerante o radiador picado,0.24,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),0.129,MOTOR,1,1,1
FASE_11_6_50_CASOS,STRESS_04,TECNICO,Voltaje en bornes de batería mide 12.1V con el motor encendido a 2000 RPM y consumidores eléctricos activados. El osciloscopio muestra rizado anormal con caída de una fase en el puente rectificador de diodos.,Alternador defectuoso o placa de diodos quemada,ELECTRICO,Alternador defectuoso o placa de diodos quemada,0.9763,Fallo en inversor de corriente IGBT o motor electrico (EV),0.033,Bateria descargada o bornes sulfatados,0.017,ELECTRICO,1,1,1
FASE_11_6_50_CASOS,STRESS_05,TECNICO,Inspección metrológica revela espesor de material de fricción en pastillas delanteras de 1.2 mm con desgaste en cuña. Se aprecia contacto metálico del avisador acústico contra el disco al aplicar presión hidráulica.,Desgaste de pastillas y zapatas de freno,FRENOS,Desgaste de pastillas y zapatas de freno,0.973,Caliper de freno trabado o mordaza pegada (piston agarrotado),0.033,Discos de freno alabeados o desgastados,0.017,FRENOS,1,1,1
FASE_11_6_50_CASOS,STRESS_06,TECNICO,Fuga severa de fluido hidráulico observada en el retén del vástago del amortiguador delantero derecho. En prueba de rebote la carrocería efectúa más de tres oscilaciones libres antes de estabilizarse.,Amortiguadores reventados o bujes de suspension gastados,SUSPENSION_CHASIS,Amortiguadores reventados o bujes de suspension gastados,0.9763,Falla en caja robotizada Dualogic / I-Motion / Easytronic (Fiat / VW),0.033,Caliper de freno trabado o mordaza pegada (piston agarrotado),0.017,SUSPENSION_CHASIS,1,1,1
FASE_11_6_50_CASOS,STRESS_07,TECNICO,"Al someter a carga el tren motriz en pendiente ascendente en cuarta marcha, las RPM del motor se incrementan súbitamente de 2000 a 4200 RPM sin incremento proporcional en la velocidad lineal del vehículo.",Disco de embrague desgastado o patinando,TRANSMISION,Disco de embrague desgastado o patinando,0.3779,Fallo en inversor de corriente IGBT o motor electrico (EV),0.404,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),0.218,TRANSMISION,1,1,1
FASE_11_6_50_CASOS,STRESS_08,TECNICO,El motor presenta fluctuación cíclica de ralentí entre 550 y 1150 RPM en vacío. Inspección con boroscopio muestra acumulación excesiva de carbonilla aceitosa en el cuerpo de mariposa y conducto de aire de derivación.,Cuerpo de aceleracion o valvula IAC sucia,MOTOR,Falla de descarbonizacion e inyeccion directa GDI (acumulacion de carbon en valvulas),0.6939,Cuerpo de aceleracion o valvula IAC sucia,0.199,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),0.107,MOTOR,0,1,1
FASE_11_6_50_CASOS,STRESS_09,TECNICO,Pérdida súbita de señal de pulsos de onda inductiva en sensor de posición de cigüeñal al alcanzar 92°C de temperatura de bloque. El motor se detiene inmediatamente por ausencia de sincronización de encendido.,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),MOTOR,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),0.9402,Falla en bujias o bobinas de encendido (misfire),0.039,Falla en termostato o motoventilador de radiador,0.021,MOTOR,1,1,1
FASE_11_6_50_CASOS,STRESS_10,TECNICO,Pirómetro infrarrojo mide 210°C en el disco de freno delantero izquierdo tras rodar en plano sin accionar pedal. El émbolo hidráulico de la pinza se encuentra trabado por corrosión en el guardapolvo.,Caliper de freno trabado o mordaza pegada (piston agarrotado),FRENOS,Caliper de freno trabado o mordaza pegada (piston agarrotado),0.9266,Discos de freno alabeados o desgastados,0.048,Fuga hidraulica o aire en el sistema de frenos,0.026,FRENOS,1,1,1
FASE_11_6_50_CASOS,STRESS_11,COLOQUIAL,"cada vez que piso el acelerador para adelantar a un camión el motor pierde fuerza, se atraca y empieza a cabecear bien feo",Falla en bujias o bobinas de encendido (misfire),MOTOR,Falla en bujias o bobinas de encendido (misfire),0.8123,Bomba de gasolina quemada o con baja presion,0.122,Inyectores sucios o filtro de combustible obstruido,0.066,MOTOR,1,1,1
FASE_11_6_50_CASOS,STRESS_12,COLOQUIAL,"por las mañanas el carro no quiere prender a la primera, tengo que darle arranque tres o cuatro veces bombeando para que recién tosa y encienda",Bomba de gasolina quemada o con baja presion,MOTOR,Bomba de gasolina quemada o con baja presion,0.6938,Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet),0.199,Falla en sistema Flex / Bi-combustible (Alcohol/Etanol),0.107,MOTOR,1,1,1
FASE_11_6_50_CASOS,STRESS_13,COLOQUIAL,cuando me quedo atrapado en el tráfico de la avenida la aguja de la temperatura se sube hasta arriba y hierve el depósito pero en pista libre se normaliza,Falla en termostato o motoventilador de radiador,MOTOR,Falla en termostato o motoventilador de radiador,0.9475,Fuga en mangueras de refrigerante o radiador picado,0.034,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),0.018,MOTOR,1,1,1
