id,id_grupo,clase_objetivo,macro_sistema,nivel_informacion,texto_usuario,tipo_lenguaje,condicion_operacion,sintomas_presentes,sintomas_negados,dtc,requiere_pregunta,es_contrastivo,clase_contrastiva,fuente,observaciones
F10-L11-0001,G-11-59-01,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),CARROCERIA_NEUMATICA,L1,El camion pierde aire de los tanques muy rapido al frenar.,COLOQUIAL,FRENADO_CAMION,perdida_aire_rapida,NO_REPORTA,,SI,NO,,SINTETICO_IA,L1 perdida de aire rapida camion
F10-L11-0002,G-11-59-02,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),CARROCERIA_NEUMATICA,L1,Se escucha un siseo fuerte de aire por debajo del chasis del tracto.,COLOQUIAL,DETENIDO_RALENTI,siseo_chasis_aire,NO_REPORTA,,SI,NO,,SINTETICO_IA,L1 siseo audible en chasis
F10-L11-0003,G-11-59-03,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),CARROCERIA_NEUMATICA,L1,La aguja de presion del freno de aire se va a cero cuando se apaga el motor.,COLOQUIAL,MOTOR_APAGADO,presion_cae_a_cero,NO_REPORTA,,SI,NO,,SINTETICO_IA,L1 presion de aire cae a cero
F10-L11-0004,G-11-59-04,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),CARROCERIA_NEUMATICA,L1,Suena una chicharra de advertencia de aire bajo en el tablero de mi camion.,COLOQUIAL,CABINA_ALERTA,chicharra_aire_bajo,NO_REPORTA,,SI,NO,,SINTETICO_IA,L1 chicharra alarma baja presion
F10-L11-0005,G-11-59-05,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),CARROCERIA_NEUMATICA,L1,El camion tarda como media hora en cargar las botellas de aire para poder rodar.,COLOQUIAL,CARGA_INICIAL,carga_lenta_botellas,NO_REPORTA,,SI,NO,,SINTETICO_IA,L1 carga excesivamente lenta de tanques
F10-L11-0006,G-11-59-06,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),CARROCERIA_NEUMATICA,L1,Se escapa aire por las conexiones que van al semirremolque.,COLOQUIAL,ACOPLE_TRAILER,fuga_acople_trailer,NO_REPORTA,,SI,NO,,SINTETICO_IA,L1 escape en acoples de trailer
F10-L11-0007,G-11-59-07,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),CARROCERIA_NEUMATICA,L1,Piso el pedal de freno de aire y sopla continuo sin frenar parejo.,COLOQUIAL,PISADA_PEDAL,soplo_continuo_pedal,NO_REPORTA,,SI,NO,,SINTETICO_IA,L1 escape continuo al pisar pedal
F10-L11-0008,G-11-59-08,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),CARROCERIA_NEUMATICA,L1,Una manguera flexible de aire de la rueda trasera se revento.,COLOQUIAL,INSPECCION_RUEDA,manguera_aire_reventada,NO_REPORTA,,SI,NO,,SINTETICO_IA,L1 manguera de aire reventada
F10-L11-0009,G-11-59-09,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),CARROCERIA_NEUMATICA,L1,El manometro del circuito primario de frenos no levanta mas de 60 libras.,COLOQUIAL,TABLERO_MANOMETRO,circuito_primario_60psi,NO_REPORTA,,SI,NO,,SINTETICO_IA,L1 manometro primario no pasa 60 psi
F10-L11-0010,G-11-59-10,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),CARROCERIA_NEUMATICA,L1,Siento que el camion se queda sin aire si freno dos o tres veces seguidas en bajada.,COLOQUIAL,DESCENSO_PENDIENTE,descarga_por_frenadas_sucesivas,NO_REPORTA,,SI,NO,,SINTETICO_IA,L1 descarga rapida por frenadas
F10-L11-0011,G-11-59-11,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),CARROCERIA_NEUMATICA,L2,"En tractocamion con frenos de aire puro, al pisar el pedal de freno se escucha escape masivo por el escape de la valvula de pedal (treadle valve), perdiendo 25 psi en 5 segundos sin fuga de liquido hidraulico.",TECNICO,PRUEBA_PEDAL_AIRE,"escape_masivo_valvula_pedal, perdida_25psi_5s",fuga_liquido_frenos,,NO,SI,Fuga hidraulica o aire en el sistema de frenos,SINTETICO_IA,L2 escape en valvula de pedal vs fuga hidraulica liviana
F10-L11-0012,G-11-59-12,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),CARROCERIA_NEUMATICA,L2,Las mangueras espiraladas rojas y azules de conexion al semirremolque (manitas glad hands) presentan sellos de goma gastados que botan aire a presion continua con el camion enganchado.,TECNICO,ACOPLE_SEMITRAILER,"fuga_sellos_glad_hands, perdida_presion_linea_servicio",falla_maxi_brake,,NO,SI,Falla en actuador de resorte o camara Maxi-Brake trabada (frenos de aire),SINTETICO_IA,L2 fuga en acoples glad hands vs traba de maxi-brake
F10-L11-0013,G-11-59-13,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),CARROCERIA_NEUMATICA,L2,El compresor bicilindrico de aire de 360 cc tarda 12 minutos en subir de 50 a 100 psi en ralenti acelerado; la tuberia de descarga de cobre presenta fuga por fisura en tuerca racor.,TECNICO,RALENTI_CARGA_AIRE,"subida_lenta_12min_50_a_100psi, fisura_tubo_descarga",falla_secador_aps,,NO,SI,Válvula de freno de aire o secador APS obstruido (Camiones),SINTETICO_IA,L2 fisura en tubo descarga compresor vs secador APS
F10-L11-0014,G-11-59-14,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),CARROCERIA_NEUMATICA,L2,"Con el motor apagado y frenos aplicados a fondo, el manometro del tanque secundario cae a razon de 8 psi por minuto (norma maxima admisible 3 psi/min), con siseo audible en pulmon de freno delantero.",TECNICO,PRUEBA_ESTANQUEIDAD,"caida_8psi_min_brakes_applied, siseo_pulmon_delantero",fuga_circuito_secundario,,NO,NO,,SINTETICO_IA,L2 caida 8 psi/min con frenos aplicados
F10-L11-0015,G-11-59-15,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),CARROCERIA_NEUMATICA,L2,Tubería de aire de poliamida de 12 mm en el chasis rozo contra la cardan sufriendo un corte limpio; el sistema perdio toda la presion del circuito de servicio trasero activando el testigo STOP.,TECNICO,INSPECCION_CHASIS,"corte_linea_poliamida_12mm, perdida_total_aire_trasero",falla_caliper_pegado,,NO,SI,Caliper de freno trabado o mordaza pegada (piston agarrotado),SINTETICO_IA,L2 linea de nylon cortada por cardan vs caliper
F10-L11-0016,G-11-59-16,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),CARROCERIA_NEUMATICA,L2,"Al desacoplar la manguera de suministro de aire del semirremolque la valvula de proteccion de tractor no sella, permitiendo que el aire del camion se descargue por completo a la atmosfera.",TECNICO,DESENGANCHE_REMOLQUE,"valvula_proteccion_tractor_no_sella, descarga_completa",falla_valvula_secador,,NO,SI,Válvula de freno de aire o secador APS obstruido (Camiones),SINTETICO_IA,L2 valvula de proteccion de tractor no retiene
F10-L11-0017,G-11-59-17,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),CARROCERIA_NEUMATICA,L2,"El camion de carga pesada activa la alarma sonora de baja presion (Low Air Warning) a 60 psi tras descender una cuesta pronunciada, debido a camara de freno de servicio con diafragma perforado.",TECNICO,DESCENSO_CARGA,"alarma_low_air_60psi, diafragma_perforado_servicio",sobrecalentamiento_balatas,,NO,NO,,SINTETICO_IA,L2 diafragma roto activa alarma a 60 psi
F10-L11-0018,G-11-59-18,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),CARROCERIA_NEUMATICA,L2,Fuga de aire constante por la valvula rele trasera de frenos tipo R-12; al soltar el pedal de freno el aire no deja de escapar por el orificio de purga inferior.,TECNICO,INSPECCION_VALVULA_RELE,"escape_constante_valvula_rele_r12, orificio_purga",falla_maxi_brake,,NO,SI,Falla en actuador de resorte o camara Maxi-Brake trabada (frenos de aire),SINTETICO_IA,L2 valvula rele R-12 sopla continuo vs maxi-brake
F10-L11-0019,G-11-59-19,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),CARROCERIA_NEUMATICA,L2,El tanque humedo de aire presenta una fisura por corrosion en su base de soporte; al llegar a 90 psi el cordon de soldadura silba violentamente impidiendo alcanzar la presion de corte.,TECNICO,INSPECCION_TANQUE_AIRE,"tanque_humedo_fisurado_base, silbido_90psi_limite",falla_compresor,,NO,NO,,SINTETICO_IA,L2 tanque de aire con fisura en base
F10-L11-0020,G-11-59-20,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),CARROCERIA_NEUMATICA,L2,Al pisar el freno de servicio en camion de 3 ejes el aire escapa hacia la linea de emergencia del remolque por dano en los sellos internos de la valvula moduladora de remolque.,TECNICO,PRUEBA_FRENADO_TRACTO,"escape_hacia_linea_emergencia, sellos_moduladora_danados",falla_valvula_aps,,NO,SI,Válvula de freno de aire o secador APS obstruido (Camiones),SINTETICO_IA,L2 paso de aire interno en valvula de remolque
F10-L11-0021,G-11-59-21,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),CARROCERIA_NEUMATICA,L2,"El acople rapido de la suspension neumatica se solto y comparte linea con el deposito auxiliar de frenos, provocando desinflado del pulmon y perdida acelerada de presion neumática.",TECNICO,REVISION_CIRCUITO_AUXILIAR,"acople_rapido_solto, perdida_presion_deposito_auxiliar",fuga_liquido_frenos,,NO,SI,Fuga hidraulica o aire en el sistema de frenos,SINTETICO_IA,L2 desinflado por acople rapido vs frenos hidraulicos
F10-L11-0022,G-11-59-22,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),CARROCERIA_NEUMATICA,L2,Manometro de cabina marca 120 psi estables en marcha pero al frenar cae inmediatamente a 70 psi; la valvula de doble retencion (shuttle valve) de la cabina tiene el obturador partido.,TECNICO,PRUEBA_PRESION_CABINA,"caida_brusca_120_a_70psi, shuttle_valve_obturador_roto",falla_maxi_brake,,NO,SI,Falla en actuador de resorte o camara Maxi-Brake trabada (frenos de aire),SINTETICO_IA,L2 valvula de doble retencion rota vs maxi-brake
F10-L11-0023,G-11-59-23,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),CARROCERIA_NEUMATICA,L2,"La manguera de aire de alimentacion al compresor presenta estrangulamiento por deformacion termica, reduciendo el caudal de admision y duplicando el tiempo de llenado de los depositos.",TECNICO,INSPECCION_ADMISION_COMPRESOR,"estrangulamiento_manguera_admision, llenado_duplicado_tiempo",falla_secador_aire,,NO,SI,Válvula de freno de aire o secador APS obstruido (Camiones),SINTETICO_IA,L2 admision de compresor estrangulada
F10-L11-0024,G-11-59-24,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),CARROCERIA_NEUMATICA,L2,Diagnostico en modulo EBS de camion pesado referente a discrepancia de presion en circuito neumatico de eje motriz; prueba de burbujas localiza fuga en racor de entrada de valvula proporcional.,TECNICO,SCANNER_EBS_CAMION,"ebs_discrepancia_presion, fuga_racor_valvula_proporcional",falla_caliper_mordaza,,NO,SI,Caliper de freno trabado o mordaza pegada (piston agarrotado),SINTETICO_IA,L2 EBS camion fuga en racor proporcional
F10-L11-0025,G-11-59-25,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),CARROCERIA_NEUMATICA,L2,El camion amanece con los tanques en cero libras todas las mananas a pesar de apagarse la noche anterior con 125 psi completos; fuga nocturna en reten de sellado de valvula de estacionamiento.,COLOQUIAL,REPOSO_NOCTURNO,"tanques_amanece_cero_libras, fuga_reten_valvula_parking",fuga_bateria,,NO,NO,,SINTETICO_IA,L2 fuga nocturna de aire en valvula parking
