id_prueba,nombre_test,requerimiento,modulo,tipo,resultado,observaciones
1,test_1_development_no_cuenta_como_oficial,Req 14.1: DEVELOPMENT no cuenta como oficial,backend/tests/test_remediacion_fase12_2.py,Unitario / Métricas,PASSED,Exclusión confirmada en resumen_por_fase y metricas_variable_independiente
2,test_2_pilot_no_cuenta_como_oficial,Req 14.2: PILOT no cuenta como oficial,backend/tests/test_remediacion_fase12_2.py,Unitario / Métricas,PASSED,Casos PILOT computan exclusivamente en casos_piloto; excluidos de pretest/posttest oficial
3,test_3_regression_no_cuenta_como_oficial,Req 14.3: REGRESSION no cuenta como oficial,backend/tests/test_remediacion_fase12_2.py,Unitario / Métricas,PASSED,Casos REGRESSION no alteran tamaño de muestra ni tasas oficiales
4,test_4_thesis_pretest_cuenta_unicamente_en_pre,Req 14.4: THESIS_PRETEST cuenta únicamente en PRE,backend/tests/test_remediacion_fase12_2.py,Unitario / Servicio,PASSED,Rechaza fase Post-test con ValueError; computa 100% en casos_pretest
5,test_5_thesis_posttest_cuenta_unicamente_en_post,Req 14.5: THESIS_POSTTEST cuenta únicamente en POST,backend/tests/test_remediacion_fase12_2.py,Unitario / Servicio,PASSED,Rechaza fase Pre-test con ValueError; computa 100% en casos_posttest
6,test_6_prueba_informal_nunca_se_convierte_automaticamente_a_thesis,Req 14.6: Prueba informal nunca se convierte automáticamente a THESIS_*,backend/tests/test_remediacion_fase12_2.py,Unitario / DTO-Servicio,PASSED,Sin intención explícita asigna estrictamente DEVELOPMENT como valor seguro
7,test_7_post_puede_vincular_diagnostico_id,Req 14.7: POST puede vincular diagnostico_id,backend/tests/test_remediacion_fase12_2.py,Unitario / Servicio,PASSED,Vincula diagnostico_id e indexa conversacion_id y tiempo_inferencia_ml_ms
8,test_8_pre_funciona_sin_diagnostico_id,Req 14.8: PRE funciona sin diagnostico_id,backend/tests/test_remediacion_fase12_2.py,Unitario / Negocio,PASSED,Diagnóstico tradicional sin CarBot opera sin exigir identificador de IA
9,test_9_prediccion_vinculada_no_puede_alterarse,Req 14.9: Predicción vinculada es inmutable,backend/tests/test_remediacion_fase12_2.py,Unitario / Seguridad,PASSED,Sobrescribe cualquier texto alterado por el usuario con la falla_predicha original del modelo
10,test_10_exportacion_oficial_excluye_pilot,Req 14.10: Exportación oficial excluye PILOT,backend/tests/test_remediacion_fase12_2.py,Integración / Exportador,PASSED,El CSV oficial Anexo 2 excluye categóricamente cualquier registro con tipo_registro PILOT
11,test_11_exportacion_oficial_excluye_development,Req 14.11: Exportación oficial excluye DEVELOPMENT,backend/tests/test_remediacion_fase12_2.py,Integración / Exportador,PASSED,El CSV oficial Anexo 2 excluye categóricamente cualquier registro con tipo_registro DEVELOPMENT
12,test_12_contador_oficial_inicia_0_de_60_tras_saneamiento,Req 14.12: Contador oficial inicia 0/60 tras saneamiento,backend/tests/test_remediacion_fase12_2.py,Metodología / Auditoría,PASSED,La muestra oficial inicia rigurosamente en 0/60 verificados
13,test_13_datos_precargados_coinciden_con_diagnosticos,Req 14.13: Datos precargados coinciden con diagnosticos,backend/tests/test_remediacion_fase12_2.py,Integración / Trazabilidad,PASSED,Los metadatos recuperados del diagnóstico corresponden con precisión matemática
14,test_14_no_se_generan_pares_pre_post_artificiales,Req 14.14: No se generan pares PRE/POST artificiales,backend/tests/test_remediacion_fase12_2.py,Arquitectura / Modelo,PASSED,Prohibición confirmada: no existe caso_pareja_id; formato LONG independiente preservado
