id,clase_objetivo,macro_sistema,nivel_informacion,criterios_evaluados,es_contrastivo,clase_contrastiva,dtc,texto_resumen,coherencia_tecnica,evaluacion_metrologica,evaluacion_negaciones,sesgo_marcas,dictamen
F10-L02-0001,Empaque de culata soplado o danado,MOTOR,L1,BASE_ESTRATIFICADA,NO,,,Se me está calentando el carro después de andar un rato.,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L02-0026,Empaque de culata soplado o danado,MOTOR,L3,CONTRASTIVO | DTC,SI,Fuga en mangueras de refrigerante o radiador picado,P0217,El motor recalienta al subir cuestas en autopista botando refrigerante por el tapón de alivio. Al aplicar detector quími...,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L02-0027,Empaque de culata soplado o danado,MOTOR,L3,CONTRASTIVO | DTC | METROLOGIA,SI,Falla en bujias o bobinas de encendido (misfire),P0303,Arranca con fuerte temblor matutino y humo blanco dulce por el escape. Cilindro 3 registró 75 psi de compresión y al pre...,CONFORME,VALIDA,N/A,AUSENTE,APROBADO
F10-L02-0029,Empaque de culata soplado o danado,MOTOR,L3,METROLOGIA | CLIMATIZACION,NO,,,Aceite con aspecto lechoso color capuchino en tapa y varilla. Consumo de un litro de refrigerante por semana sin charco ...,CONFORME,VALIDA,N/A,AUSENTE,APROBADO
F10-L02-0031,Empaque de culata soplado o danado,MOTOR,L3,CONTRASTIVO | METROLOGIA | CLIMATIZACION,SI,Falla en termostato o motoventilador de radiador,,Temperatura pasa los 105 grados en subida. Al colocar manómetro en el vaso de expansión la presión salta a 22 psi inmedi...,CONFORME,VALIDA,N/A,AUSENTE,APROBADO
F10-L02-0034,Empaque de culata soplado o danado,MOTOR,L3,CONTRASTIVO | DTC | CLIMATIZACION,SI,Falla en termostato o motoventilador de radiador,P0217,Mi carro recalento en subida y ahora al acelerar gorgorea el tacho de agua y bota vapor blanco por el escape. Ya le camb...,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L02-0037,Empaque de culata soplado o danado,MOTOR,L3,CONTRASTIVO | METROLOGIA,SI,Fuga en mangueras de refrigerante o radiador picado,,"Sobrecalentamiento bajo carga en cuestas. La prueba de presión de refrigerante en frío sostiene 15 psi, pero al encender...",CONFORME,VALIDA,N/A,AUSENTE,APROBADO
F10-L02-0040,Empaque de culata soplado o danado,MOTOR,L3,CONTRASTIVO | DTC | METROLOGIA | CLIMATIZACION,SI,Falla en termostato o motoventilador de radiador,P0217,Prueba hidrostática de culata arrojó deformación de 0.08 mm en plano de apoyo entre bancadas 2 y 3. El auto recalentaba ...,CONFORME,VALIDA,N/A,AUSENTE,APROBADO
F10-L02-0041,Falla en termostato o motoventilador de radiador,MOTOR,L1,BASE_ESTRATIFICADA,NO,,,En los semáforos la aguja de temperatura empieza a trepar.,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L02-0066,Falla en termostato o motoventilador de radiador,MOTOR,L3,CONTRASTIVO | DTC | METROLOGIA,SI,Empaque de culata soplado o danado,P0480,Temperatura alcanza 108 grados únicamente en ralentí tras 10 minutos de detención. Al escanear con equipo en vivo el sen...,CONFORME,VALIDA,N/A,AUSENTE,APROBADO
F10-L02-0067,Falla en termostato o motoventilador de radiador,MOTOR,L3,CONTRASTIVO | METROLOGIA,SI,Empaque de culata soplado o danado,,El motor recalienta a los 5 kilómetros de recorrido tanto en ciudad como en carretera. Termómetro infrarrojo registra 10...,CONFORME,VALIDA,N/A,AUSENTE,APROBADO
F10-L02-0068,Falla en termostato o motoventilador de radiador,MOTOR,L3,DTC | METROLOGIA | CLIMATIZACION,NO,,P0128,Escáner registra código P0128 permanente. El vehículo circula en carretera a 100 km/h y la temperatura del refrigerante ...,CONFORME,VALIDA,N/A,AUSENTE,APROBADO
F10-L02-0071,Falla en termostato o motoventilador de radiador,MOTOR,L3,CONTRASTIVO | DTC | METROLOGIA | NEGACION | CLIMATIZACION,SI,Empaque de culata soplado o danado,P0217,Sobrecalentamiento súbito a 112°C. El radiador está frío al tacto en la mitad inferior. Al desmontar la toma de agua se ...,CONFORME,VALIDA,VALIDA,AUSENTE,APROBADO
F10-L02-0081,Fuga en mangueras de refrigerante o radiador picado,MOTOR,L1,CLIMATIZACION,NO,,,Encontré un charco verdoso debajo del parachoques delantero.,CONFORME,N/A,N/A,AUSENTE,APROBADO
F10-L02-0106,Fuga en mangueras de refrigerante o radiador picado,MOTOR,L3,CONTRASTIVO | METROLOGIA | CLIMATIZACION,SI,Empaque de culata soplado o danado,,Pérdida de un litro de refrigerante cada 200 km. Al aplicar la bomba de presurización al radiador a 15 psi con el motor ...,CONFORME,VALIDA,N/A,AUSENTE,APROBADO
