"sintoma","tipo_vehiculo","codigo_obd","falla","codigo_falla","origen","estado_validacion"
"Chillido agudo de pastillas de freno desgastadas al detenerse en semaforo","Hatchback Kia Rio 2017","SIN_OBD","Desgaste de pastillas y zapatas de freno","FRENO_001","SINTETICO","NO_VALIDADO"
"Zapatas y pastillas de freno con friccion excesiva y rechinido constante","Sedan Nissan Versa 2019","SIN_OBD","Desgaste de pastillas y zapatas de freno","FRENO_001","SINTETICO","NO_VALIDADO"
"Fuerte chillido de pastillas de freno desgastadas en las cuatro ruedas","Sedan Hyundai Accent 2018","SIN_OBD","Desgaste de pastillas y zapatas de freno","FRENO_001","SINTETICO","NO_VALIDADO"
"Pastillas de freno desgastadas rozando con el disco al frenar en bajada","SUV Hyundai Tucson 2016","SIN_OBD","Desgaste de pastillas y zapatas de freno","FRENO_001","SINTETICO","NO_VALIDADO"
"Pastillas de freno totalmente desgastadas y zapatas traseras cristalizadas","Sedan Chevrolet Sail 2016","SIN_OBD","Desgaste de pastillas y zapatas de freno","FRENO_001","SINTETICO","NO_VALIDADO"
"Rechinido metalico de pastillas gastadas al frenar suavemente en autopista","Sedan Toyota Corolla 2015","SIN_OBD","Desgaste de pastillas y zapatas de freno","FRENO_001","SINTETICO","NO_VALIDADO"
"Chirrido en las ruedas delanteras por pastillas de freno que llegaron al testigo","Hatchback Suzuki Swift 2018","SIN_OBD","Desgaste de pastillas y zapatas de freno","FRENO_001","SINTETICO","NO_VALIDADO"
"Pastillas de freno cristalizadas que rechinan y alargan la distancia de frenado","Sedan Kia Cerato 2017","SIN_OBD","Desgaste de pastillas y zapatas de freno","FRENO_001","SINTETICO","NO_VALIDADO"
"Desgaste severo de zapatas y pastillas produciendo friccion metal con metal","Sedan Nissan Sentra 2018","SIN_OBD","Desgaste de pastillas y zapatas de freno","FRENO_001","SINTETICO","NO_VALIDADO"
"Chillido seco al pisar el pedal de freno por pastillas desgastadas al limite","SUV Changan CS35 2020","SIN_OBD","Desgaste de pastillas y zapatas de freno","FRENO_001","SINTETICO","NO_VALIDADO"
"Fuga de liquido de frenos por bombin de rueda y pedal esponjoso que se hunde","Hatchback VW Gol 2015","SIN_OBD","Fuga hidraulica o aire en el sistema de frenos","FRENO_002","SINTETICO","NO_VALIDADO"
"Aire en cañerias de frenos con fuga de liquido y pedal excesivamente blando","Pickup Toyota Hilux 2018","SIN_OBD","Fuga hidraulica o aire en el sistema de frenos","FRENO_002","SINTETICO","NO_VALIDADO"
"Perdida de presion hidraulica y fuga de liquido de frenos por cañerias picadas","Camion Isuzu Forward 2019","SIN_OBD","Fuga hidraulica o aire en el sistema de frenos","FRENO_002","SINTETICO","NO_VALIDADO"
"El pedal de freno se hunde al fondo por fuga de liquido en racor de conexion","Camion Volvo FH 2018","SIN_OBD","Fuga hidraulica o aire en el sistema de frenos","FRENO_002","SINTETICO","NO_VALIDADO"
"Fuga de liquido de frenos y aire en el sistema perdiendo eficacia al detenerse","Sedan Honda Civic 2016","SIN_OBD","Fuga hidraulica o aire en el sistema de frenos","FRENO_002","SINTETICO","NO_VALIDADO"
"Pedal de freno blando que requiere varios bombeos por entrada de aire hidraulico","SUV Nissan X-Trail 2017","SIN_OBD","Fuga hidraulica o aire en el sistema de frenos","FRENO_002","SINTETICO","NO_VALIDADO"
"Perdida de liquido de freno en bombines traseros mojando el tambor de rueda","Sedan Mazda 3 2018","SIN_OBD","Fuga hidraulica o aire en el sistema de frenos","FRENO_002","SINTETICO","NO_VALIDADO"
"Fuga de liquido DOT 4 por el cilindro maestro de freno con pedal esponjoso","Sedan Toyota Yaris 2018","SIN_OBD","Fuga hidraulica o aire en el sistema de frenos","FRENO_002","SINTETICO","NO_VALIDADO"
"Gotera de liquido de freno en manguera flexible delantera con perdida de presion","Hatchback Kia Rio 2017","SIN_OBD","Fuga hidraulica o aire en el sistema de frenos","FRENO_002","SINTETICO","NO_VALIDADO"
"Pedal de freno gomoso que se va al piso por burbujas de aire en cañeria","Sedan Nissan Versa 2019","SIN_OBD","Fuga hidraulica o aire en el sistema de frenos","FRENO_002","SINTETICO","NO_VALIDADO"
"Vibracion y temblor fuerte en el pedal de freno al frenar en autopista","Sedan Hyundai Accent 2018","SIN_OBD","Discos de freno alabeados o desgastados","FRENO_003","SINTETICO","NO_VALIDADO"
"Discos de freno alabeados y deformados que hacen vibrar el volante al frenar","SUV Hyundai Tucson 2016","SIN_OBD","Discos de freno alabeados o desgastados","FRENO_003","SINTETICO","NO_VALIDADO"
"Alabeo en discos de freno delanteros produciendo pulsaciones en el pedal","Sedan Chevrolet Sail 2016","SIN_OBD","Discos de freno alabeados o desgastados","FRENO_003","SINTETICO","NO_VALIDADO"
"Discos de freno con surcos profundos y deformacion termica al frenar fuerte","Sedan Toyota Corolla 2015","SIN_OBD","Discos de freno alabeados o desgastados","FRENO_003","SINTETICO","NO_VALIDADO"
