source,source_record_id,license,language,manufacturer,model,year,engine,fuel_type,vehicle_type,dtc,system,component,symptom,cause,diagnostic_procedure,repair_procedure,sensor,pid,unit,value,fault_state,carbot_class_candidate,mapping_confidence,recommended_use,provenance
zenodo_15626055,zenodo_fault_0001,CC BY 4.0,en,,,,,NO_ESPECIFICADO,passenger_car,,ABS System,ABS Control Module,ABS warning light on | Brake pedal pulsation,ABS Control Module,"Check ABS fuse -> [Blown, Intact] || Inspect wiring to ABS module -> [Faulty wiring, Good wiring]",,,,,,faulty,Falla en sensor de temperatura del refrigerante (ECT),0.85,RAG,zenodo_15626055.json
zenodo_15626055,zenodo_fault_0002,CC BY 4.0,en,,,,,NO_ESPECIFICADO,passenger_car,,ABS System,ABS Wheel Speed Sensor,ABS light stays on | Erratic speedometer,ABS Wheel Speed Sensor,"Inspect wheel speed sensor connections -> [Loose connections, Secure connections] || Check wheel speed sensor for debris or damage -> [Dirty/damaged, Clean/intact]",,,,,,faulty,Falla en sensor de temperatura del refrigerante (ECT),0.85,RAG,zenodo_15626055.json
zenodo_15626055,zenodo_fault_0003,CC BY 4.0,en,,,,,NO_ESPECIFICADO,passenger_car,,ABS System,Brake Booster,Spongy brake pedal | Hard brake pedal,Brake Booster,"Check brake booster vacuum hose -> [Leaking, Intact] || Test brake booster vacuum pressure -> [Low vacuum pressure, Normal vacuum pressure]",,,,,,faulty,Bomba principal de freno defectuosa,0.85,RAG,zenodo_15626055.json
zenodo_15626055,zenodo_fault_0004,CC BY 4.0,en,,,,,NO_ESPECIFICADO,passenger_car,,ABS System,Brake Caliper,Brake pulling to one side | Brake dragging,Brake Caliper,"Inspect brake caliper for leaks -> [Leaking fluid, No leaks] || Check brake caliper piston operation -> [Stuck piston, Free-moving piston]",,,,,,faulty,Falla en sensor de temperatura del refrigerante (ECT),0.85,RAG,zenodo_15626055.json
zenodo_15626055,zenodo_fault_0005,CC BY 4.0,en,,,,,NO_ESPECIFICADO,passenger_car,,ABS System,Brake Hose,Brake fluid leak | Soft brake pedal,Brake Hose,"Inspect brake hose for cracks or leaks -> [Cracked/leaking hose, Intact hose] || Pressure test brake hose -> [Failed pressure test, Passes pressure test]",,,,,,faulty,Falla en sensor de temperatura del refrigerante (ECT),0.85,RAG,zenodo_15626055.json
zenodo_15626055,zenodo_fault_0006,CC BY 4.0,en,,,,,NO_ESPECIFICADO,passenger_car,,ABS System,Brake Master Cylinder,Spongy brake pedal | Brake fluid leaks,Brake Master Cylinder,"Check brake fluid level in master cylinder -> [Low fluid level, Normal fluid level] || Inspect master cylinder for leaks or damage -> [Leaking/damaged, Intact]",,,,,,faulty,Falla en sensor de temperatura del refrigerante (ECT),0.85,RAG,zenodo_15626055.json
zenodo_15626055,zenodo_fault_0007,CC BY 4.0,en,,,,,NO_ESPECIFICADO,passenger_car,,ABS System,Brake Pad,Squealing brakes | Brake pedal pulsation,Brake Pad,"Check brake pad thickness -> [Worn pads, Sufficient thickness pads] || Inspect brake pad condition -> [Worn/damaged pads, Good condition pads]",,,,,,faulty,Falla en sensor de temperatura del refrigerante (ECT),0.85,RAG,zenodo_15626055.json
zenodo_15626055,zenodo_fault_0008,CC BY 4.0,en,,,,,NO_ESPECIFICADO,passenger_car,,ABS System,Brake Rotor,Brake pedal pulsation | Steering wheel vibration,Brake Rotor,"Measure brake rotor thickness -> [Thin rotor, Sufficient thickness rotor] || Inspect brake rotor for scoring or warping -> [Scored/warped rotor, Smooth rotor]",,,,,,faulty,Falla en sensor de temperatura del refrigerante (ECT),0.85,RAG,zenodo_15626055.json
zenodo_15626055,zenodo_fault_0009,CC BY 4.0,en,,,,,NO_ESPECIFICADO,passenger_car,,ABS System,Brake Shoe & Drum,Spongy brake pedal | Brake dragging,Brake Shoe & Drum,"Inspect brake shoes for wear -> [Worn shoes, Good condition shoes] || Check brake drum for scoring or cracks -> [Scored/cracked drum, Smooth drum]",,,,,,faulty,Falla en sensor de temperatura del refrigerante (ECT),0.85,RAG,zenodo_15626055.json
zenodo_15626055,zenodo_fault_0010,CC BY 4.0,en,,,,,NO_ESPECIFICADO,passenger_car,,Air Conditioning System,AC Compressor,No cold air from vents | Loud noise when AC is on,AC Compressor,"Check AC compressor clutch operation -> [Clutch not engaging, Clutch engages properly] || Inspect AC compressor for leaks or damage -> [Leaking/damaged compressor, Intact compressor]",,,,,,faulty,Falla en sensor de temperatura del refrigerante (ECT),0.85,RAG,zenodo_15626055.json
zenodo_15626055,zenodo_fault_0011,CC BY 4.0,en,,,,,NO_ESPECIFICADO,passenger_car,,Air Conditioning System,AC Condenser,Warm air from AC vents | AC system not cooling,AC Condenser,"Inspect AC condenser for debris or blockage -> [Debris/blockage present, Clean/clear condenser] || Check for leaks in AC condenser -> [Leaking condenser, No leaks]",,,,,,faulty,Falla en sensor de temperatura del refrigerante (ECT),0.85,RAG,zenodo_15626055.json
zenodo_15626055,zenodo_fault_0012,CC BY 4.0,en,,,,,GASOLINA,passenger_car,,Air Conditioning System,AC Evaporator,Musty odor from vents | Weak airflow from vents,AC Evaporator,"Inspect AC evaporator for mold or mildew buildup -> [Mold/mildew present, Clean evaporator] || Check AC evaporator temperature sensor -> [Faulty sensor, Good sensor]",,,,,,faulty,Falla en sensor de temperatura del refrigerante (ECT),0.85,RAG,zenodo_15626055.json
zenodo_15626055,zenodo_fault_0013,CC BY 4.0,en,,,,,NO_ESPECIFICADO,passenger_car,,Air Conditioning System,AC Recharge,Warm air from vents | Low AC system pressure,AC Recharge,"Check AC system pressure with gauge -> [Low pressure, Normal pressure] || Inspect for leaks in AC system -> [Leaking system, No leaks]",,,,,,faulty,Falla en sensor de temperatura del refrigerante (ECT),0.85,RAG,zenodo_15626055.json
zenodo_15626055,zenodo_fault_0014,CC BY 4.0,en,,,,,NO_ESPECIFICADO,passenger_car,,Air Conditioning System,Air Conditioning Diagnosis,AC system not working | Unusual noise from AC system,Air Conditioning Diagnosis,"Perform AC system diagnostic scan -> [Error codes present, No error codes] || Check AC system components for proper operation -> [Component failure, Components working properly]",,,,,,faulty,,0.0,RAG,zenodo_15626055.json
zenodo_15626055,zenodo_fault_0015,CC BY 4.0,en,,,,,NO_ESPECIFICADO,passenger_car,,Air Conditioning System,Cabin Air Filter,Musty odor from vents | Reduced airflow from vents,Cabin Air Filter,"Inspect and replace cabin air filter -> [Dirty/clogged filter, Clean/new filter] || Check for debris in cabin air intake -> [Debris in intake, Clear intake]",,,,,,faulty,Falla en sensor de temperatura del refrigerante (ECT),0.85,RAG,zenodo_15626055.json
zenodo_15626055,zenodo_fault_0016,CC BY 4.0,en,,,,,NO_ESPECIFICADO,passenger_car,,Air Conditioning System,Heater Blower Motor,No air from vents | Loud noise from HVAC system,Heater Blower Motor,"Test blower motor operation -> [Motor not running, Motor running properly] || Inspect blower motor for debris or damage -> [Debris/damage present, Clean/intact motor]",,,,,,faulty,Falla en sensor de temperatura del refrigerante (ECT),0.85,RAG,zenodo_15626055.json
zenodo_15626055,zenodo_fault_0017,CC BY 4.0,en,,,,,NO_ESPECIFICADO,passenger_car,,Air Conditioning System,Heater Blower Motor Resistor,HVAC fan speed erratic | HVAC fan only works on certain settings,Heater Blower Motor Resistor,"Test blower motor resistor continuity -> [Resistor failure, Resistor working properly] || Inspect resistor for overheating or burn marks -> [Overheated/burned resistor, Good condition resistor]",,,,,,faulty,Falla en sensor de temperatura del refrigerante (ECT),0.85,RAG,zenodo_15626055.json
zenodo_15626055,zenodo_fault_0018,CC BY 4.0,en,,,,,NO_ESPECIFICADO,passenger_car,,Cooling System,Coolant/Antifreeze,Engine overheating | Coolant leaks under the vehicle,Coolant/Antifreeze,"Check coolant level and condition -> [Low/dirty coolant, Sufficient/clean coolant] || Inspect radiator and hoses for leaks -> [Leaking radiator/hoses, No leaks]",,,,,,faulty,Falla en sensor de temperatura del refrigerante (ECT),0.85,RAG,zenodo_15626055.json
zenodo_15626055,zenodo_fault_0019,CC BY 4.0,en,,,,,NO_ESPECIFICADO,passenger_car,,Cooling System,Coolant Leak Diagnosis,Visible coolant puddle under vehicle | Coolant odor in cabin,Coolant Leak Diagnosis,"Pressure test cooling system -> [Leaking system, No leaks detected] || Inspect radiator, hoses, and water pump for leaks -> [Leaking component found, Components are intact]",,,,,,faulty,Falla en sensor de temperatura del refrigerante (ECT),0.85,RAG,zenodo_15626055.json
zenodo_15626055,zenodo_fault_0020,CC BY 4.0,en,,,,,NO_ESPECIFICADO,passenger_car,,Cooling System,Engine Cooling System,Engine overheating | Temperature gauge in red zone,Engine Cooling System,"Check radiator for blockage or damage -> [Blocked/damaged radiator, Clear/intact radiator] || Test thermostat operation -> [Faulty thermostat, Thermostat functioning properly]",,,,,,faulty,Falla en termostato o motoventilador de radiador,0.85,RAG,zenodo_15626055.json
zenodo_15626055,zenodo_fault_0021,CC BY 4.0,en,,,,,NO_ESPECIFICADO,passenger_car,,Cooling System,Heater Core,No heat from vents | Sweet smell in cabin,Heater Core,"Inspect heater core for leaks -> [Leaking heater core, No leaks detected] || Check coolant flow through heater core -> [Restricted flow, Good coolant flow]",,,,,,faulty,Falla en sensor de temperatura del refrigerante (ECT),0.85,RAG,zenodo_15626055.json
zenodo_15626055,zenodo_fault_0022,CC BY 4.0,en,,,,,NO_ESPECIFICADO,passenger_car,,Cooling System,Heater Hose,Coolant odor in cabin | Visible coolant leak under vehicle,Heater Hose,"Inspect heater hose connections -> [Loose/damaged connections, Secure/intact connections] || Pressure test heater hoses -> [Leaking hose detected, No leaks found]",,,,,,faulty,Falla en sensor de temperatura del refrigerante (ECT),0.85,RAG,zenodo_15626055.json
zenodo_15626055,zenodo_fault_0023,CC BY 4.0,en,,,,,NO_ESPECIFICADO,passenger_car,,Cooling System,Radiator/Cooling Fan,Engine overheating | AC not cooling at idle,Radiator/Cooling Fan,"Test radiator fan operation -> [Fan not spinning, Fan operates correctly] || Inspect radiator fan motor and relay -> [Faulty motor/relay, Motor/relay functioning properly]",,,,,,faulty,Falla en sensor de temperatura del refrigerante (ECT),0.85,RAG,zenodo_15626055.json
