ID_C1,CLASE_EXACTA,MACRO,COBERTURA_RAG_ACTUAL,CADENA_ACTUAL,FUENTES_EXTERNAS_DISPONIBLES,DESCRIPCION,SINTOMAS,CAUSAS,PREGUNTAS_DISCRIMINANTES,PRUEBA,HERRAMIENTA,PRECONDICIONES,RESULTADOS,INTERPRETACION,REFUERZA,DEBILITA,DESCARTA,SIGUIENTE_ACCION,DTC,SEGURIDAD,VEHICLE_SCOPE,ESTADO_DOCUMENTAL,ACCION_FUTURA,ESTADO_RAG_ACTUAL,CONTENIDO_CONSERVAR,CONTENIDO_CORREGIR,CONTENIDO_AGREGAR_RESPALDADO,CONTENIDO_PENDIENTE,FUENTES,RIESGO,PRIORIDAD
01,Alternador defectuoso o placa de diodos quemada,ELECTRICO,n=17,COMPLETA,"dtc_codes.db (P0562, P0620), manual_procedimientos.txt",VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,REQUIERE_FUENTE,PARCIAL,VERIFICADO,NO_APLICA,Universal / Multimarca Liviano,FUENTE_VERIFICADA,CONSERVAR,n=17 chunks en metadatos_manuales.json. Cadena completa.,Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Ninguno.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,"dtc_codes.db (P0562, P0620), manual_procedimientos.txt",Medio,P3
02,Amortiguadores reventados o bujes de suspension gastados,SUSPENSION_CHASIS,n=4,PARCIAL,manual_procedimientos.txt (inspección física/metrológica),VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,PARCIAL,VERIFICADO,NO_APLICA,NO_APLICA,Universal / Multimarca Liviano,FUENTE_VERIFICADA,CONSERVAR,n=4 chunks en metadatos_manuales.json. Cadena parcial.,Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Ninguno.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,manual_procedimientos.txt (inspección física/metrológica),Medio,P3
03,Baja presion de aceite o bomba de aceite defectuosa,MOTOR,n=2,PARCIAL,"dtc_codes.db (P0520-P0524), manual_procedimientos.txt",VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,REQUIERE_FUENTE,PARCIAL,VERIFICADO,PARCIAL,Universal / Multimarca Liviano,PARCIAL,EXPANDIR_CON_FUENTE,n=2 chunks en metadatos_manuales.json. Cadena parcial.,Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Ninguno.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,"dtc_codes.db (P0520-P0524), manual_procedimientos.txt",Alto,P3
04,Bateria descargada o bornes sulfatados,ELECTRICO,n=11,COMPLETA,"dtc_codes.db (P0560-P0563), manual_procedimientos.txt",VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,REQUIERE_FUENTE,PARCIAL,VERIFICADO,NO_APLICA,Universal / Multimarca Liviano,FUENTE_VERIFICADA,CONSERVAR,n=11 chunks en metadatos_manuales.json. Cadena completa.,Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Ninguno.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,"dtc_codes.db (P0560-P0563), manual_procedimientos.txt",Medio,P3
05,Bomba de gasolina quemada o con baja presion,MOTOR,n=10,COMPLETA,"dtc_codes.db (P0087, P0230-P0233), obdex (P0087), manual_procedimientos.txt",VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,REQUIERE_FUENTE,PARCIAL,VERIFICADO,PARCIAL,Universal / Multimarca Liviano,FUENTE_VERIFICADA,CONSERVAR,n=10 chunks en metadatos_manuales.json. Cadena completa.,Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Ninguno.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,"dtc_codes.db (P0087, P0230-P0233), obdex (P0087), manual_procedimientos.txt",Alto,P3
06,Caliper de freno trabado o mordaza pegada (piston agarrotado),FRENOS,n=2,PARCIAL,manual_procedimientos.txt (metrología y prensa retráctil),VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,VERIFICADO,NO_APLICA,PARCIAL,Universal / Multimarca Liviano,PARCIAL,EXPANDIR_CON_FUENTE,n=2 chunks en metadatos_manuales.json. Cadena parcial.,Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Ninguno.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,manual_procedimientos.txt (metrología y prensa retráctil),Alto,P3
07,"Cerradura, chapa o pestillo mecanico de puerta trabado o desalineado",CARROCERIA_NEUMATICA,n=1,INSUFICIENTE,manual_procedimientos.txt (mecánica de cerrajería),VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,VERIFICADO,NO_APLICA,NO_APLICA,Universal / Multimarca Liviano,PARCIAL,EXPANDIR_CON_FUENTE,n=1 chunks en metadatos_manuales.json. Cadena insuficiente.,Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Ninguno.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,manual_procedimientos.txt (mecánica de cerrajería),Medio,P2
08,Consumo de aceite por desgaste de anillos o retenes,MOTOR,n=1,INSUFICIENTE,manual_procedimientos.txt (endoscopía y compresímetro),VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,PARCIAL,VERIFICADO,NO_APLICA,PARCIAL,Universal / Multimarca Liviano,PARCIAL,EXPANDIR_CON_FUENTE,n=1 chunks en metadatos_manuales.json. Cadena insuficiente.,Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Ninguno.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,manual_procedimientos.txt (endoscopía y compresímetro),Alto,P2
09,Convertidor catalitico ineficiente u obstruido (DTC P0420 / P0430),MOTOR,n=6,COMPLETA,"dtc_codes.db (P0420, P0430), obdex (P0420), manual_procedimientos.txt",VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,REQUIERE_FUENTE,PARCIAL,VERIFICADO,PARCIAL,Universal / Multimarca Liviano,FUENTE_VERIFICADA,CONSERVAR,n=6 chunks en metadatos_manuales.json. Cadena completa.,Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Ninguno.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,"dtc_codes.db (P0420, P0430), obdex (P0420), manual_procedimientos.txt",Alto,P3
10,Cremallera de direccion asistida con holgura o fuga,SUSPENSION_CHASIS,n=7,COMPLETA,manual_procedimientos.txt (metrología de cremallera y juego axial),VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,VERIFICADO,PARCIAL,PARCIAL,PARCIAL,VERIFICADO,NO_APLICA,NO_APLICA,Universal / Multimarca Liviano,FUENTE_VERIFICADA,CONSERVAR,n=7 chunks en metadatos_manuales.json. Cadena completa.,Procedimientos físicos y descripciones canónicas preexistentes validadas en RAG baseline.,Ninguno.,Advertencias de seguridad pasiva estandarizadas y criterios de descarte metrológicos validados.,Tablas de tolerancias OEM específicas y manuales de servicio completos por modelo.,manual_procedimientos.txt (metrología de cremallera y juego axial),Medio,P3
