caso_id,fecha,tipo_registro,estado,origen,vehiculo,sintoma,descripcion_sintoma,sistema_afectado_probable,prediccion_carbot,confianza_carbot,diagnostico_confirmado,prediccion_correcta,cantidad_campos_completos,campos_completos,tiempo_diagnostico_minutos,conversacion_id,diagnostico_id,nivel_evidencia,observacion
DIAG-42bb4229,2026-08-07,DEVELOPMENT,generado,POSTGRESQL_DIAGNOSTICOS_REAL,NULL,El pedal de freno está muy esponjoso al frenar,el pedal de freno está muy esponjoso al frenar,FRENOS,Fuga de liquido de frenos o aire en el sistema,0.2867,NULL,NULL,3,0,NULL,cf3f278a-66b6-4459-9a42-125a69956c83,42bb4229-e4e5-4836-a418-8a240db0d756,NIVEL_B_PARCIAL,Consulta técnica en WhatsApp sin confirmación física de taller (SIN_GROUND_TRUTH)
DIAG-74a3c8b0,2026-08-07,DEVELOPMENT,generado,POSTGRESQL_DIAGNOSTICOS_REAL,NULL,El pedal de freno está muy esponjoso al frenar,el pedal de freno está muy esponjoso al frenar,MOTOR,Baja Confianza / Indeterminado,0.0432,NULL,NULL,3,0,NULL,b26bef7f-e72e-4fb1-aa77-8f4ddcc84162,74a3c8b0-7fda-4d58-9f98-b8722177fb6b,NIVEL_B_PARCIAL,Consulta técnica en WhatsApp sin confirmación física de taller (SIN_GROUND_TRUTH)
DIAG-ec29fb9c,2026-08-08,DEVELOPMENT,generado,POSTGRESQL_DIAGNOSTICOS_REAL,NULL,HOL,hol,MOTOR,Consulta Ambigua / Datos Faltantes,0.0,NULL,NULL,3,0,NULL,16db44d0-3942-497b-a869-a4a451df48f6,ec29fb9c-586b-4ea5-8e41-da72c7978eea,NIVEL_B_PARCIAL,Consulta técnica en WhatsApp sin confirmación física de taller (SIN_GROUND_TRUTH)
DIAG-30dd1569,2026-08-08,DEVELOPMENT,generado,POSTGRESQL_DIAGNOSTICOS_REAL,NULL,SI MIRA CUANDO ESTOY DE SUBIDA MI AUTO YA NO TIENE FUERZA Y SE APAGA,si mira cuando estoy de subida mi auto ya no tiene fuerza y se apaga,MOTOR,Cuerpo de aceleracion o valvula IAC sucia,0.6131,NULL,NULL,3,0,NULL,16db44d0-3942-497b-a869-a4a451df48f6,30dd1569-7813-4a9b-bcec-d8ba88af4a4c,NIVEL_B_PARCIAL,Consulta técnica en WhatsApp sin confirmación física de taller (SIN_GROUND_TRUTH)
DIAG-1d545c49,2026-08-08,DEVELOPMENT,generado,POSTGRESQL_DIAGNOSTICOS_REAL,NULL,"MIRA ACA OTRO PROBLEMA DONDE, TAMBIEN TENGO FALLA EN PUERTA DONDE EL CLIENTE ME INDICA QUE AL CERRAR LA PUERTA ESTE NO SE DESBLOQUEA CON EL CONTROL , CADA QUE APLASTA EL CONTROL ESTE NO PUEDE DESBLOQUEARLO","mira aca otro problema donde, tambien tengo falla en puerta donde el cliente me indica que al cerrar la puerta este no se desbloquea con el control , cada que aplasta el control este no puede desbloquearlo",MOTOR,Consulta Ambigua / Datos Faltantes,0.0,NULL,NULL,3,0,NULL,16db44d0-3942-497b-a869-a4a451df48f6,1d545c49-aba2-42ee-8133-8cca6d9fbd6f,NIVEL_B_PARCIAL,Consulta técnica en WhatsApp sin confirmación física de taller (SIN_GROUND_TRUTH)
DIAG-aa479fce,2026-08-09,DEVELOPMENT,generado,POSTGRESQL_DIAGNOSTICOS_REAL,NULL,HOLAA,holaa,MOTOR,Consulta General / Saludo,1.0,NULL,NULL,3,0,NULL,16db44d0-3942-497b-a869-a4a451df48f6,aa479fce-37c4-4f49-8269-dc86da81658f,NIVEL_B_PARCIAL,Consulta técnica en WhatsApp sin confirmación física de taller (SIN_GROUND_TRUTH)
DIAG-a0374966,2026-08-09,DEVELOPMENT,generado,POSTGRESQL_DIAGNOSTICOS_REAL,NULL,SI MIRA POR EL VEHICULO QUE VINO NO ´PUEDE SUBIR SUBIDAS ME COMENTA EL CLEINTE Y SE APAGA EL MORTO,si mira por el vehiculo que vino no ´puede subir subidas me comenta el cleinte y se apaga el morto,MOTOR,Cuerpo de aceleracion o valvula IAC sucia,0.2375,NULL,NULL,3,0,NULL,16db44d0-3942-497b-a869-a4a451df48f6,a0374966-7de6-4812-9e4c-1385b0f10ca8,NIVEL_B_PARCIAL,Consulta técnica en WhatsApp sin confirmación física de taller (SIN_GROUND_TRUTH)
DIAG-52170a63,2026-08-09,DEVELOPMENT,generado,POSTGRESQL_DIAGNOSTICOS_REAL,NULL,PERO EL AUTO ES A GNV,pero el auto es a gnv,TRANSMISION,Disco de embrague desgastado o patinando,0.7218,NULL,NULL,3,0,NULL,16db44d0-3942-497b-a869-a4a451df48f6,52170a63-f5d3-4788-939f-2275e274c394,NIVEL_B_PARCIAL,Consulta técnica en WhatsApp sin confirmación física de taller (SIN_GROUND_TRUTH)
DIAG-35b60ca0,2026-08-09,DEVELOPMENT,generado,POSTGRESQL_DIAGNOSTICOS_REAL,NULL,HOLAA,holaa,MOTOR,Consulta General / Saludo,1.0,NULL,NULL,3,0,NULL,16db44d0-3942-497b-a869-a4a451df48f6,35b60ca0-47c5-4eb3-9459-5d7dc6f0a904,NIVEL_B_PARCIAL,Consulta técnica en WhatsApp sin confirmación física de taller (SIN_GROUND_TRUTH)
DIAG-46bedeb3,2026-08-09,DEVELOPMENT,generado,POSTGRESQL_DIAGNOSTICOS_REAL,NULL,holi,holi,MOTOR,Consulta Ambigua / Datos Faltantes,0.0,NULL,NULL,3,0,NULL,16db44d0-3942-497b-a869-a4a451df48f6,46bedeb3-fcd3-4219-9918-d2c43b61cd9a,NIVEL_B_PARCIAL,Consulta técnica en WhatsApp sin confirmación física de taller (SIN_GROUND_TRUTH)
