categoria,prueba_o_componente,resultado_esperado,resultado_obtenido,estado,detalles_observaciones
HASH_CONGELADO,Linear SVM (linear_svm_diagnostico.joblib),e1b933c0612ce78cf6b4ea988fb68fa0db5832aeb41d7bc18991b1a77764835b,e1b933c0612ce78cf6b4ea988fb68fa0db5832aeb41d7bc18991b1a77764835b,PASSED,Hash SHA-256 coincide 100%
HASH_CONGELADO,TF-IDF Vectorizer (tfidf_diagnostico.joblib),a3b98c39e0787e35b0d0c3eb1451fdb657618992c638eec4a0c86ee46f7560da,a3b98c39e0787e35b0d0c3eb1451fdb657618992c638eec4a0c86ee46f7560da,PASSED,Hash SHA-256 coincide 100%
HASH_CONGELADO,Macro-Sistema (macro_sistema_dataset.joblib),4c09d57a2569c7667b257a0ec94cbda3cb5427181f0881079541a77e8efd8eb8,4c09d57a2569c7667b257a0ec94cbda3cb5427181f0881079541a77e8efd8eb8,PASSED,Hash SHA-256 coincide 100%
HASH_CONGELADO,FAISS Index (index.faiss),0f588c88682a550d53c3e8bcffad4ae61c6b240ffae9ce67098499ee84e031b9,0f588c88682a550d53c3e8bcffad4ae61c6b240ffae9ce67098499ee84e031b9,PASSED,Hash SHA-256 coincide 100%
HASH_CONGELADO,Metadatos RAG (metadata.json),0e281566373b185b3eb2b3394857b64ce8b9bbff8e1d24cf40c83a7cceb22c66,0e281566373b185b3eb2b3394857b64ce8b9bbff8e1d24cf40c83a7cceb22c66,PASSED,Hash SHA-256 coincide 100%
HASH_CONGELADO,RAG Manifest (manifest.json),4f3780d6bb6c4d7ec31ee5997bc204c3cf7b7ecb0dae9fb665d95d710f69a5a7,4f3780d6bb6c4d7ec31ee5997bc204c3cf7b7ecb0dae9fb665d95d710f69a5a7,PASSED,Hash SHA-256 coincide 100%
HASH_CONGELADO,ML Manifest (model_manifest.json),1da7e0766be336a5c2f82ba3ef9797bc2e2a07c57c42738ea5f0a068ca6ecbfd,1da7e0766be336a5c2f82ba3ef9797bc2e2a07c57c42738ea5f0a068ca6ecbfd,PASSED,Hash SHA-256 coincide 100%
HASH_CONGELADO,Clasificador ML (clasificador.py),e8cfcba5f5fe8fc32b2bf7871b6911c0f06a090e7fc97282cb08dbcb6fb7fec9,e8cfcba5f5fe8fc32b2bf7871b6911c0f06a090e7fc97282cb08dbcb6fb7fec9,PASSED,Hash SHA-256 coincide 100%
HASH_CONGELADO,Text Processor (text_processor.py),56e300ceab3756a163158c3dbcbce4ee6c4f2bb72b535d496a84eb70058e578c,56e300ceab3756a163158c3dbcbce4ee6c4f2bb72b535d496a84eb70058e578c,PASSED,Hash SHA-256 coincide 100%
HASH_CONGELADO,Traductor Jerga (traductor_jerga.py),d71206f6aa71f26f2f2e5192138c2323a635832a24ee59bb1b12d5e89caad8f9,d71206f6aa71f26f2f2e5192138c2323a635832a24ee59bb1b12d5e89caad8f9,PASSED,Hash SHA-256 coincide 100%
