id,source,nivel,texto,correct_top1,in_top3,pred_top1,conf,macro_real,macro_pred,macro_correct
ORIG-2279,ORIGINAL,ORIGINAL_NO_ESTRATIFICADO,suena chillido feo al prender el botón A/C,1,True,Falla en compresor de aire acondicionado o fuga de gas R134a,0.9988,CLIMATIZACION,CLIMATIZACION,1
ORIG-2282,ORIGINAL,ORIGINAL_NO_ESTRATIFICADO,resulta que suena chillido feo al prender el botón A/C,1,True,Falla en compresor de aire acondicionado o fuga de gas R134a,0.9995,CLIMATIZACION,CLIMATIZACION,1
ORIG-2283,ORIGINAL,ORIGINAL_NO_ESTRATIFICADO,al andar por carabayllo suena chillido feo al prender el botón A/C,1,True,Falla en compresor de aire acondicionado o fuga de gas R134a,0.9995,CLIMATIZACION,CLIMATIZACION,1
ORIG-2284,ORIGINAL,ORIGINAL_NO_ESTRATIFICADO,amigo una consulta suena chillido feo al prender el botón A/C,1,True,Falla en compresor de aire acondicionado o fuga de gas R134a,0.9996,CLIMATIZACION,CLIMATIZACION,1
ORIG-2290,ORIGINAL,ORIGINAL_NO_ESTRATIFICADO,al andar por carabayllo compresor de aire no engancha el embrague magnetico,1,True,Falla en compresor de aire acondicionado o fuga de gas R134a,0.9999,CLIMATIZACION,CLIMATIZACION,1
ORIG-2292,ORIGINAL,ORIGINAL_NO_ESTRATIFICADO,buenas tardes maestro compresor de aire no engancha el embrague magnetico,1,True,Falla en compresor de aire acondicionado o fuga de gas R134a,0.999,CLIMATIZACION,CLIMATIZACION,1
ORIG-3829,ORIGINAL,ORIGINAL_NO_ESTRATIFICADO,El aire acondicionado deja de enfriar después de un rato de uso. El compresor se escucha trabajando. no enfria,1,True,Falla en compresor de aire acondicionado o fuga de gas R134a,0.9999,CLIMATIZACION,CLIMATIZACION,1
ORIG-3865,ORIGINAL,ORIGINAL_NO_ESTRATIFICADO,Olor a moho o humedad fuerte cuando se enciende el A/C por primera vez. olor,1,True,Falla en compresor de aire acondicionado o fuga de gas R134a,0.9171,CLIMATIZACION,CLIMATIZACION,1
ORIG-3928,ORIGINAL,ORIGINAL_NO_ESTRATIFICADO,El A/C enfría bien al principio y después de 10-15 minutos deja de enfriar.,1,True,Falla en compresor de aire acondicionado o fuga de gas R134a,0.8715,CLIMATIZACION,CLIMATIZACION,1
ORIG-3965,ORIGINAL,ORIGINAL_NO_ESTRATIFICADO,"Olor fuerte a moho o humedad al encender el A/C, especialmente los primeros minutos. olor moho fuerte",1,True,Falla en compresor de aire acondicionado o fuga de gas R134a,0.9736,CLIMATIZACION,CLIMATIZACION,1
