case_id,turn,rag_query,titulo_manual,similitud_rag,relevante,observacion
CASE_014,1,presenta ruido anómalo. al frenar.,PROCEDIMIENTO: INSPECCIÓN DE ESPESOR Y SUSTITUCIÓN DE PASTILLAS Y ZAPATAS DE FRENO (CHILLIDO / C0035),0.4227,SI,Procedimiento indexado recuperado
CASE_016,3,presenta vibración. al acelerar bajo carga.,PROCEDIMIENTO: DIAGNÓSTICO DE PRESIÓN DE COMBUSTIBLE Y CAÍDA DE CAUDAL BAJO CARGA (DTC P0087 / TIRONEO AL EXIGIR ACELERACIÓN),0.4210,SI,Procedimiento indexado recuperado
CASE_017,2,hace un ruido adelante. Aclaración técnica del mecánico: como un zumbido al rodar,PROCEDIMIENTO: MEDICIÓN DE ALABEO CON RELOJ COMPARADOR Y REEMPLAZO DE RODAMIENTO DE MAZA DE RUEDA,0.4284,SI,Procedimiento indexado recuperado
CASE_018,2,presenta motor no arranca.,PROCEDIMIENTO: DIAGNÓSTICO DE BAJO VOLTAJE DEL SISTEMA ELÉCTRICO Y ALTERNADOR (DTC P0562),0.2257,SI,Procedimiento indexado recuperado
CASE_018,3,presenta motor no arranca. medición 12.6v.,PROCEDIMIENTO: DIAGNÓSTICO DE CONSUMO PARÁSITO DE CORRIENTE Y DRENAJE DE BATERÍA EN REPOSO (DESCARGA NOCTURNA / SIN ARRANQUE EN LAS MAÑANAS),0.2165,SI,Procedimiento indexado recuperado
CASE_019,2,pierde potencia en frío anda bien pero caliente se desinfla,PROCEDIMIENTO: DIAGNOSTICO DE SISTEMA COMMON RAIL DIESEL Y BOMBA DE ALTA PRESION (COMBUSTIBLE_005),0.5090,SI,Procedimiento indexado recuperado
CASE_019,3,pierde potencia en frío anda bien pero caliente se desinfla medí presión en rampa de combustible y cae a 20 psi,PROCEDIMIENTO: DIAGNÓSTICO DE PRESIÓN DE COMBUSTIBLE Y CAÍDA DE CAUDAL BAJO CARGA (DTC P0087 / TIRONEO AL EXIGIR ACELERACIÓN),0.7118,SI,Procedimiento indexado recuperado
CASE_020,2,bota humo por el escape. Confirmación técnica: 1️⃣ Bota humo azulado por el escape al acelerar y baja el nivel de aceite motor (Anillos / Retenes) — 4,"PROCEDIMIENTO: DIAGNÓSTICO METROLÓGICO DE CONSUMO DE ACEITE, ENDOSCOPÍA Y SUSTITUCIÓN DE RETENES DE VÁLVULA",0.4965,SI,Procedimiento indexado recuperado
CASE_020,3,bota humo por el escape. Confirmación técnica: 1️⃣ Bota humo azulado por el escape al acelerar y baja el nivel de aceite motor (Anillos / Retenes) — 4,"PROCEDIMIENTO: DIAGNÓSTICO METROLÓGICO DE CONSUMO DE ACEITE, ENDOSCOPÍA Y SUSTITUCIÓN DE RETENES DE VÁLVULA",0.5369,SI,Procedimiento indexado recuperado
CASE_021,2,se recalienta el motor. Confirmación técnica: 1️⃣ La temperatura sube rápidamente en tráfico o el ventilador no enciende (Termostato / Motoventilador),PROCEDIMIENTO: DIAGNÓSTICO DE TERMOSTATO Y PURGA ASISTIDA DEL SISTEMA DE REFRIGERACIÓN (DTC P0128 / RECALENTAMIENTO EN SUBIDA),0.4652,SI,Procedimiento indexado recuperado
CASE_021,3,se recalienta el motor. Confirmación técnica: 1️⃣ La temperatura sube rápidamente en tráfico o el ventilador no enciende (Termostato / Motoventilador),PROCEDIMIENTO: DIAGNÓSTICO DE TERMOSTATO Y PURGA ASISTIDA DEL SISTEMA DE REFRIGERACIÓN (DTC P0128 / RECALENTAMIENTO EN SUBIDA),0.5138,SI,Procedimiento indexado recuperado
CASE_022,2,el pedal de freno se siente raro. Confirmación técnica: 1️⃣ El pedal de freno se siente esponjoso o se va hasta el fondo al frenar (Líquido / Aire en ,PROCEDIMIENTO: PRUEBA DE RETENCIÓN DE PRESIÓN EN BOMBA PRINCIPAL Y SANGRADO A PRESIÓN DE LÍQUIDO DE FRENOS DOT 4 (DTC C0040),0.4524,SI,Procedimiento indexado recuperado
CASE_022,3,el pedal de freno se siente raro. Confirmación técnica: 1️⃣ El pedal de freno se siente esponjoso o se va hasta el fondo al frenar (Líquido / Aire en ,PROCEDIMIENTO: PRUEBA DE RETENCIÓN DE PRESIÓN EN BOMBA PRINCIPAL Y SANGRADO A PRESIÓN DE LÍQUIDO DE FRENOS DOT 4 (DTC C0040),0.5523,SI,Procedimiento indexado recuperado
CASE_023,1,no entra la motor de arranque,"PROCEDIMIENTO: COMPROBACIÓN DE CAÍDA DE TENSIÓN EN TERMINALES 30/50, CONTACTOS DE SOLENOIDE Y LONGITUD DE CARBONES EN MOTOR DE ARRANQUE",0.4984,SI,Procedimiento indexado recuperado
CASE_023,2,no entra la motor de arranque el pedal de embrague se fue hasta el fondo sin resistencia,"PROCEDIMIENTO: DIAGNÓSTICO DE EMBRAGUE HIDRÁULICO, BOMBA PRINCIPAL Y CILINDRO ESCLAVO (PEDAL ESPONJOSO / DIFICULTAD EN CAMBIOS)",0.2552,SI,Procedimiento indexado recuperado
CASE_023,3,no entra la motor de arranque el pedal de embrague se fue hasta el fondo sin resistencia veo líquido de frenos goteando debajo de la caja,"PROCEDIMIENTO: DIAGNÓSTICO DE EMBRAGUE HIDRÁULICO, BOMBA PRINCIPAL Y CILINDRO ESCLAVO (PEDAL ESPONJOSO / DIFICULTAD EN CAMBIOS)",0.3719,SI,Procedimiento indexado recuperado
CASE_024,1,presenta ruido anómalo.,PROCEDIMIENTO: DIAGNÓSTICO DE CORRELACIÓN CIGÜEÑAL Y ÁRBOL DE LEVAS (DTC P0016 / P0017),0.2999,SI,Procedimiento indexado recuperado
CASE_024,2,presenta ruido anómalo.,PROCEDIMIENTO: DIAGNÓSTICO DE CORRELACIÓN CIGÜEÑAL Y ÁRBOL DE LEVAS (DTC P0016 / P0017),0.2999,SI,Procedimiento indexado recuperado
CASE_024,3,presenta ruido anómalo.,PROCEDIMIENTO: DIAGNÓSTICO DE CORRELACIÓN CIGÜEÑAL Y ÁRBOL DE LEVAS (DTC P0016 / P0017),0.2999,SI,Procedimiento indexado recuperado
CASE_025,1,huele a gasolina y falla,PROCEDIMIENTO: DIAGNÓSTICO DE SENSOR DE RELACIÓN AIRE/COMBUSTIBLE (A/F BANDA ANCHA) Y SONDA LAMBDA (DTC P0135 / P2195),0.5018,SI,Procedimiento indexado recuperado
CASE_025,2,huele a gasolina y falla el escape tira humo negro por mezcla rica o combustion incompleta y humo pica los ojos,PROCEDIMIENTO: DIAGNÓSTICO DE SENSOR DE RELACIÓN AIRE/COMBUSTIBLE (A/F BANDA ANCHA) Y SONDA LAMBDA (DTC P0135 / P2195),0.4863,SI,Procedimiento indexado recuperado
CASE_025,3,huele a gasolina y falla el escape tira humo negro por mezcla rica o combustion incompleta y humo pica los ojos scanner marca sensor de oxigeno pegado,PROCEDIMIENTO: DIAGNÓSTICO DE SENSOR DE RELACIÓN AIRE/COMBUSTIBLE (A/F BANDA ANCHA) Y SONDA LAMBDA (DTC P0135 / P2195),0.5450,SI,Procedimiento indexado recuperado
CASE_026,1,presenta ruido anómalo. al frenar.,PROCEDIMIENTO: INSPECCIÓN DE ESPESOR Y SUSTITUCIÓN DE PASTILLAS Y ZAPATAS DE FRENO (CHILLIDO / C0035),0.4227,SI,Procedimiento indexado recuperado
CASE_027,1,"luz de batería encendida en el tablero, medí con multímetro con motor encendido y marca 11.7v.","PROCEDIMIENTO: DIAGNÓSTICO Y REPARACIÓN DE ALTERNADOR, REGULADOR DE VOLTAJE Y BATERÍA (DTC P0562 / P0620 / EL ALTERNADOR NO CARGA Y BATERÍA DESCARGADA)",0.9195,SI,Procedimiento indexado recuperado
CASE_028,1,al doblar cerrado hacia la izquierda se escucha un trac trac trac rítmico en la rueda delantera derecha con el fuelle de goma roto.,PROCEDIMIENTO: MEDICIÓN DE ALABEO CON RELOJ COMPARADOR Y REEMPLAZO DE RODAMIENTO DE MAZA DE RUEDA,0.2643,SI,Procedimiento indexado recuperado
CASE_030,1,presenta humo blanco / ebullición refrigerante.,PROCEDIMIENTO: DIAGNÓSTICO Y REEMPLAZO DE EMPAQUE DE CULATA (HUMO BLANCO / SOBRECALENTAMIENTO / DTC P0217),0.8311,SI,Procedimiento indexado recuperado
CASE_031,1,presenta aire acondicionado no enfría / sale aire caliente.,PROCEDIMIENTO: CARGA DE REFRIGERANTE R134a / R1234yf Y PRUEBA DE FUGAS CON MANÓMETROS (DTC B1000 / A/C TIBIO),0.4844,SI,Procedimiento indexado recuperado
CASE_032,1,presenta chasquido de arranque clac.,"PROCEDIMIENTO: COMPROBACIÓN DE CAÍDA DE TENSIÓN EN TERMINALES 30/50, CONTACTOS DE SOLENOIDE Y LONGITUD DE CARBONES EN MOTOR DE ARRANQUE",0.6182,SI,Procedimiento indexado recuperado
CASE_033,1,"presenta clic_unico, chasquido de arranque clac.","PROCEDIMIENTO: COMPROBACIÓN DE CAÍDA DE TENSIÓN EN TERMINALES 30/50, CONTACTOS DE SOLENOIDE Y LONGITUD DE CARBONES EN MOTOR DE ARRANQUE",0.6182,SI,Procedimiento indexado recuperado
CASE_034,1,"en frío el motor tose, scanner arroja código p0303 con bujía del cilindro 3 carbonizada y sin chispa.",PROCEDIMIENTO: DIAGNÓSTICO DE BOBINAS DE ENCENDIDO COP Y TIEMPO DE QUEMADO DE CHISPA (DTC P0300 A P0304 / TIRONEO BAJO CARGA),1.0000,SI,Procedimiento indexado recuperado
CASE_035,1,"el pedal de freno se va al fondo lentamente en los semáforos, el nivel del depósito baja y hay mancha de líquido en la rueda trasera.",PROCEDIMIENTO: PRUEBA DE RETENCIÓN DE PRESIÓN EN BOMBA PRINCIPAL Y SANGRADO A PRESIÓN DE LÍQUIDO DE FRENOS DOT 4 (DTC C0040),0.3355,SI,Procedimiento indexado recuperado
