id,taller_id,vehiculo_marca_modelo,diagnostico_id,fase_previa,tipo_registro_previo,estado_registro_previo,origen_clave,tipo_registro_nuevo,estado_registro_nuevo,motivo
918e6400-270f-47df-8e23-c4c939fece65,5313362a-c18d-456f-892d-a8980155c461,Toyota Yaris,,Pre-test,PILOT,borrador,PILOTO_TEMPORAL_20260919_PRE_001,PILOT,borrador,Reclasificacion de registros piloto temporales para blindaje oficial de muestra (0/60)
1c875ac8-1b5b-4bc9-9b42-b3124d6eb1f5,5313362a-c18d-456f-892d-a8980155c461,Hyundai Accent,,Pre-test,PILOT,borrador,PILOTO_TEMPORAL_20260919_PRE_002,PILOT,borrador,Reclasificacion de registros piloto temporales para blindaje oficial de muestra (0/60)
404ba7ec-e238-4c5a-937a-462a68a2e36d,5313362a-c18d-456f-892d-a8980155c461,Nissan Versa,,Pre-test,PILOT,borrador,PILOTO_TEMPORAL_20260919_PRE_003,PILOT,borrador,Reclasificacion de registros piloto temporales para blindaje oficial de muestra (0/60)
04c1d327-d8d0-4868-80f9-bbe87f7aa9cb,5313362a-c18d-456f-892d-a8980155c461,Kia Rio,,Pre-test,PILOT,borrador,PILOTO_TEMPORAL_20260919_PRE_004,PILOT,borrador,Reclasificacion de registros piloto temporales para blindaje oficial de muestra (0/60)
e0636246-5066-4b40-a0f0-45f2c59ea4ec,5313362a-c18d-456f-892d-a8980155c461,Chevrolet Sail,,Pre-test,PILOT,borrador,PILOTO_TEMPORAL_20260919_PRE_005,PILOT,borrador,Reclasificacion de registros piloto temporales para blindaje oficial de muestra (0/60)
94c31f8f-7a59-4e77-aafb-e937654ee780,5313362a-c18d-456f-892d-a8980155c461,Toyota Corolla,,Pre-test,PILOT,borrador,PILOTO_TEMPORAL_20260919_PRE_006,PILOT,borrador,Reclasificacion de registros piloto temporales para blindaje oficial de muestra (0/60)
815cf384-6c09-4053-8c44-ea7c384bda14,5313362a-c18d-456f-892d-a8980155c461,Suzuki Swift,,Pre-test,PILOT,borrador,PILOTO_TEMPORAL_20260919_PRE_007,PILOT,borrador,Reclasificacion de registros piloto temporales para blindaje oficial de muestra (0/60)
834f73f9-ad49-4af0-b18e-0a67348aa1f9,5313362a-c18d-456f-892d-a8980155c461,Nissan Sentra,,Pre-test,PILOT,borrador,PILOTO_TEMPORAL_20260919_PRE_008,PILOT,borrador,Reclasificacion de registros piloto temporales para blindaje oficial de muestra (0/60)
9988b063-593e-439d-b8e1-7244d907202a,5313362a-c18d-456f-892d-a8980155c461,Hyundai i10,,Pre-test,PILOT,borrador,PILOTO_TEMPORAL_20260919_PRE_009,PILOT,borrador,Reclasificacion de registros piloto temporales para blindaje oficial de muestra (0/60)
7d6c54c5-787a-4112-a616-f7fe67504db6,5313362a-c18d-456f-892d-a8980155c461,Kia Cerato,,Pre-test,PILOT,borrador,PILOTO_TEMPORAL_20260919_PRE_010,PILOT,borrador,Reclasificacion de registros piloto temporales para blindaje oficial de muestra (0/60)
