id,id_grupo,texto_usuario,clase_objetivo,pred_c1,correct_c1,in_top3_c1,conf_c1,macro_sistema,pred_macro_fix,macro_correct
F10L01_0002,C1_G02,El motor falla.,Falla en bujias o bobinas de encendido (misfire),Falla en bujias o bobinas de encendido (misfire),1,True,0.9895,MOTOR,MOTOR,1
F10L01_0009,C1_G09,Se pone rough el motor.,Falla en bujias o bobinas de encendido (misfire),Falla en bujias o bobinas de encendido (misfire),1,True,0.5345,MOTOR,MOTOR,1
F10L01_0042,C2_G02,Pierde fuerza en la subida.,Bomba de gasolina quemada o con baja presion,Falla en bujias o bobinas de encendido (misfire),0,True,0.9708,MOTOR,MOTOR,1
F10L01_0049,C2_G09,El carro no responde al acelerar fuerte.,Bomba de gasolina quemada o con baja presion,Inyectores sucios o filtro de combustible obstruido,0,False,0.9802,MOTOR,MOTOR,1
F10L01_0082,C3_G02,Se siente sucio el motor.,Inyectores sucios o filtro de combustible obstruido,Falla en bujias o bobinas de encendido (misfire),0,True,0.673,MOTOR,MOTOR,1
F10L01_0089,C3_G09,Anda pesado el carro.,Inyectores sucios o filtro de combustible obstruido,Inyectores sucios o filtro de combustible obstruido,1,True,0.3183,MOTOR,MOTOR,1
F10L01_0122,C4_G02,Gasta mucha gasolina.,Falla en sensor de oxigeno o mezcla rica,Falla en sensor de oxigeno o mezcla rica,1,True,0.7262,MOTOR,MOTOR,1
F10L01_0129,C4_G09,El escape huele feo.,Falla en sensor de oxigeno o mezcla rica,Falla en sensor de oxigeno o mezcla rica,1,True,0.9147,MOTOR,MOTOR,1
F10L01_0162,C5_G02,Se quiere apagar en el semaforo.,Cuerpo de aceleracion o valvula IAC sucia,Falla en servofreno (booster) o linea de vacio,0,False,0.7139,MOTOR,MOTOR,1
F10L01_0169,C5_G09,No mantiene el minimo.,Cuerpo de aceleracion o valvula IAC sucia,Cuerpo de aceleracion o valvula IAC sucia,1,True,0.9954,MOTOR,MOTOR,1
F10-L02-0002,G06-L1-02,"Hola maestro, el depósito del agua está botando líquido por la tapa.",Empaque de culata soplado o danado,Fuga en mangueras de refrigerante o radiador picado,0,False,0.4659,MOTOR,MOTOR,1
F10-L02-0009,G06-L1-09,Mi auto burbujea en el depósito plástico cuando acelero.,Empaque de culata soplado o danado,Fuga en mangueras de refrigerante o radiador picado,0,True,0.663,MOTOR,MOTOR,1
F10-L02-0042,G07-L1-02,El carro calienta cuando estoy parado pero en carretera se normaliza.,Falla en termostato o motoventilador de radiador,Falla en termostato o motoventilador de radiador,1,True,0.8656,MOTOR,MOTOR,1
F10-L02-0049,G07-L1-09,Ayer me marcó temperatura alta apenas prendí el aire acondicionado en cola.,Falla en termostato o motoventilador de radiador,Falla en termostato o motoventilador de radiador,1,True,0.8279,MOTOR,CLIMATIZACION,0
F10-L02-0082,G08-L1-02,Cada dos días tengo que rellenar el depósito del refrigerante.,Fuga en mangueras de refrigerante o radiador picado,Fuga en mangueras de refrigerante o radiador picado,1,True,0.5587,MOTOR,MOTOR,1
F10-L02-0089,G08-L1-09,Tengo una manguera del motor hinchada y con humedad en la abrasadera.,Fuga en mangueras de refrigerante o radiador picado,Fuga en mangueras de refrigerante o radiador picado,1,True,0.776,MOTOR,MOTOR,1
F10-L02-0122,G09-L1-02,Bota humo azulado por el escape al arrancar por las mañanas.,Consumo de aceite por desgaste de anillos o retenes,Consumo de aceite por desgaste de anillos o retenes,1,True,0.5687,MOTOR,MOTOR,1
F10-L02-0129,G09-L1-09,El motor consume aceite pero no gotea nada por abajo.,Consumo de aceite por desgaste de anillos o retenes,Consumo de aceite por desgaste de anillos o retenes,1,True,0.9909,MOTOR,MOTOR,1
F10-L02-0162,G10-L1-02,El motor suena como un cascabeleo de taqués metálico arriba.,Baja presion de aceite o bomba de aceite defectuosa,Baja presion de aceite o bomba de aceite defectuosa,1,True,0.7587,MOTOR,MOTOR,1
F10-L02-0169,G10-L1-09,"Acelerando se apaga la luz del aceite, pero al soltar el pedal vuelve a prender.",Baja presion de aceite o bomba de aceite defectuosa,Desgaste en collarin de empuje o crapodina de embrague,0,True,0.3837,MOTOR,MOTOR,1
F10-L03-0002,G11-L1-02,"Hola, el carro arranca pesado y no tiene nada de fuerza al salir.",Faja o cadena de distribucion destensada o con salto de punto,Bateria descargada o bornes sulfatados,0,False,0.3413,MOTOR,MOTOR,1
F10-L03-0009,G11-L1-09,Siento que el punto del motor se movió porque el escape suena disparejo.,Faja o cadena de distribucion destensada o con salto de punto,Falla en filtro de particulas DPF / FAP y sistema AdBlue DEF (Diesel Euro 5/6),0,True,0.3797,MOTOR,MOTOR,1
