pantalla,campo_frontend,variable,endpoint,backend,tabla,columna,se_guarda,se_recupera,se_muestra,pretest,posttest,estado,hallazgo
"Nuevo Diagnostico / Consulta Web","Input Sintoma","consulta.sintoma","POST /api/v1/diagnostico/analizar","diagnostico.py / GestorDiagnostico","Ninguna","Ninguna","NO","NO","SI","NO","SI","SE MUESTRA PERO NO SE GUARDA","El endpoint REST /analizar procesa en memoria y retorna ResultadoDiagnostico pero no persiste en tabla diagnosticos a menos que se use webhook WhatsApp o /analizar-asincrono."
"Chatbot WhatsApp (Interaccion)","Mensaje de texto WhatsApp","messages.text.body","POST /api/v1/webhook","webhook_service.py / diagnostic_persister.py","diagnosticos","sintoma_original","SI","SI","SI","NO","SI","OK","Persistencia integra de sintomas en WhatsApp con normalizacion automatica."
"Chatbot WhatsApp (Interaccion)","Identificador de Vehiculo / Placa","contexto_vehicular / placa","POST /api/v1/webhook","vehicle_context.py / diagnostic_persister.py","vehiculos","placa_hash, placa_ultimos4","SI","SI","SI","NO","SI","INCONSISTENTE","Si el vehiculo no fue pre-registrado en el taller, diagnosticos.vehiculo_id queda NULL y la placa no se persiste."
"Historial de Diagnosticos (GestionChatbotView)","Falla Predicha (Top 1)","d.falla_predicha","GET /api/v1/diagnostico/historial","diagnostico.py / DiagnosticoRepository","diagnosticos","falla_predicha","SI","SI","SI","NO","SI","OK","Prediccion Top 1 de Linear SVM se muestra correctamente en tabla e historial."
"Historial de Diagnosticos (GestionChatbotView)","Certeza / Confianza Top 1","d.confianza","GET /api/v1/diagnostico/historial","diagnostico.py / DiagnosticoRepository","diagnosticos","confianza","SI","SI","SI","NO","SI","OK","Confianza decimal (0..1) se transforma en porcentaje (0..100%) para la vista."
"Detalle de Diagnostico (DiagnosticoDetalleModal)","Top 2 y Top 3 (DiagnosticoMlSection)","d.predicciones_ml","GET /api/v1/diagnostico/historial","diagnostico.py / DiagnosticoRepository","diagnosticos / hipotesis_diagnostico","trazabilidad->predicciones_ml, hipotesis_diagnostico.*","SI","SI","SI","NO","SI","OK","Top 2 y Top 3 se guardan en JSON de trazabilidad y tabla hipotesis_diagnostico, mostrandose con barras de probabilidad."
"Detalle de Diagnostico (DiagnosticoDetalleModal)","Procedimiento RAG y Similitud (DiagnosticoRagSection)","d.procedimiento_rag, d.similitud_rag, d.fuente_manual","GET /api/v1/diagnostico/historial","diagnostico.py / DiagnosticoRepository","diagnosticos","similitud_rag, trazabilidad->etapas","SI","SI","SI","NO","SI","OK","Similitud RAG y procedimiento OEM recuperados desde FAISS se muestran integramente."
"Detalle de Diagnostico (DiagnosticoDetalleModal)","Confirmacion del Mecanico (DiagnosticoValidacionPanel)","d.estado, d.notas_mecanico","GET /api/v1/diagnostico/historial","diagnostico.py","diagnosticos","estado, conclusion_mecanico","SI","SI","SI","NO","SI","SE GUARDA PERO NO SE MUESTRA","El panel web es de solo lectura. No existe boton en frontend para invocar PATCH /{id}/confirmar; exige que la confirmacion se envie desde WhatsApp."
"Validacion en Taller (ValidacionNuevoCasoModal)","Fase del Estudio","nuevoCaso.fase","POST /api/v1/validaciones","validacion_taller.py / ServicioValidacionTaller","validaciones_taller","fase","SI","SI","SI","SI","SI","OK","Almacena 'Pre-test' o 'Post-test' validado por CheckConstraint SQL."
"Validacion en Taller (ValidacionNuevoCasoModal)","Tipo de Registro (Entorno)","No existe en formulario","POST /api/v1/validaciones","validacion_taller.py / ServicioValidacionTaller","validaciones_taller","tipo_registro","SI","SI","NO","SI","SI","SE TRANSFORMA","El frontend no expone tipo_registro. El backend lo autodeduce: 'Pre-test' -> 'THESIS_PRETEST', 'Post-test' -> 'THESIS_POSTTEST'. Si un evaluador prueba el modal, contamina la muestra oficial."
