case_id,category,total_turns,verdict,execution_time_ms,expected_behavior,observed_behavior,notes
CASE_001,GRUPO_A_SALUDO,1,PASS,14,Saludo cordial y orientación sin diagnóstico,Consulta General / Saludo,
CASE_002,GRUPO_A_SALUDO,1,PASS,0,Saludo cordial y bienvenida,Consulta General / Saludo,
CASE_003,GRUPO_A_SALUDO,1,PARTIAL,18,Saludo cordial reconociendo su identidad,Consulta Ambigua / Datos Faltantes,
CASE_004,GRUPO_A_SALUDO,1,PARTIAL,3,Respuesta orientadora pidiendo descripción del síntoma,Consulta Ambigua / Datos Faltantes,
CASE_005,GRUPO_A_SALUDO,1,PASS,0,Saludo cordial,Consulta General / Saludo,
CASE_006,GRUPO_B_L1_AMBIGUO,1,PASS,1,Pedir aclaración o auto-pregunta técnica de descarte,Consulta Ambigua / Datos Faltantes,
CASE_007,GRUPO_B_L1_AMBIGUO,1,PASS,50,"Preguntar cuándo suena, de dónde proviene o tipo de ruido",Auto-pregunta técnica de descarte enviada,
CASE_008,GRUPO_B_L1_AMBIGUO,1,PASS,40,Preguntar si da marcha el arrancador o si hay tablero apagado,Auto-pregunta técnica de descarte enviada,
CASE_009,GRUPO_B_L1_AMBIGUO,1,PASS,35,Pedir detalles sobre comportamiento del motor o suspensión,Auto-pregunta técnica de descarte enviada,
CASE_010,GRUPO_B_L1_AMBIGUO,1,PASS,46,"Preguntar si ocurre en subida, acelerando, o si prende check",Auto-pregunta técnica de descarte enviada,
CASE_011,GRUPO_B_L1_AMBIGUO,1,PASS,1,"Preguntar si hierve refrigerante, enciende ventilador o sube aguja",Consulta Ambigua / Datos Faltantes,
CASE_012,GRUPO_B_L1_AMBIGUO,1,PASS,0,"Preguntar por color del humo (blanco, negro, azul)",Consulta Ambigua / Datos Faltantes,
CASE_013,GRUPO_B_L1_AMBIGUO,1,PASS,45,Preguntar si es hidráulico/eléctrico o si suena al girar,Auto-pregunta técnica de descarte enviada,
CASE_014,GRUPO_B_L1_AMBIGUO,1,PARTIAL,4161,"Preguntar si es chirrido metálico, zumbido o vibración",Desgaste de pastillas y zapatas de freno,
CASE_015,GRUPO_B_L1_AMBIGUO,1,PASS,38,"Preguntar si se apaga en ralentí, frenando o en marcha rápida",Auto-pregunta técnica de descarte enviada,
CASE_016,GRUPO_C_PROGRESION,3,PASS,3962,Evolucionar de aclaración a diagnóstico de misfire/ignición,Bomba de gasolina quemada o con baja presion,
