id,id_grupo,clase_objetivo,macro_sistema,nivel_informacion,texto_usuario,tipo_lenguaje,condicion_operacion,sintomas_presentes,sintomas_negados,dtc,requiere_pregunta,es_contrastivo,clase_contrastiva,fuente,observaciones
F10-L07-0001,G34-L1-01,Disco de embrague desgastado o patinando,TRANSMISION,L1,Acelero y el motor ruge fuerte pero el carro casi no avanza.,COTIDIANO,aceleracion,motor_ruge_sin_avance,,,SI,NO,,SINTETICO_IA,L1 patinamiento clásico de embrague.
F10-L07-0011,G34-L2-01,Disco de embrague desgastado o patinando,TRANSMISION,L2,En cuarta velocidad a 60 km/h piso a fondo el acelerador; las RPM suben de 2000 a 4500 al instante pero la velocidad sube muy lentamente sin empuje.,COTIDIANO,aceleracion_cuarta_60kmh,rpm_suben_2000_a_4500|velocidad_no_aumenta,ruido_caja_cambios,,NO,SI,Rodajes de transmision manual o eje primario gastados,SINTETICO_IA,L2 patinamiento evidente en marcha larga descarta rodamientos.
F10-L07-0012,G34-L2-02,Disco de embrague desgastado o patinando,TRANSMISION,L2,Olor penetrante a asbesto o ferodo quemado tras intentar subir una rampa de cochera empinada; el motor aceleró a 3500 rpm y el auto no pudo trepar.,TALLER,rampa_cochera,olor_ferodo_quemado|motor_3500rpm_sin_trepar,falla_bombin_embrague,,NO,SI,Falla en bombin o bomba hidraulica de embrague,SINTETICO_IA,L2 ferodo quemado por patinamiento descarta bombín pegado.
F10-L07-0026,G34-L3-01,Disco de embrague desgastado o patinando,TRANSMISION,L3,"Toyota Yaris con 135,000 km presenta patinamiento evidente en tercera y cuarta marcha. Al circular a 50 km/h en 4ta marcha y presionar el acelerador al 100%, el régimen del motor trepa inmediatamente de 1800 rpm a 4200 rpm en 1.5 segundos mientras la velocidad vehicular solo incrementa de 50 a 54 km/h, despidiendo fuerte olor a material de fricción en la cabina. El pedal de embrague no tiene juego libre y corta en el 95% del recorrido superior. Se desmontó la transmisión encontrando el disco de embrague con espesor residual de 5.8 mm (mínimo OEM 6.6 mm) y remaches expuestos rayando la pista del volante bimasa.",TALLER,prueba_cuarta_fondo_desarme,rpm_suben_1800_a_4200_en_1_5s|velocidad_sube_solo_4kmh|espesor_5_8mm_bajo_6_6mm|remaches_expuestos,falla_bomba_embrague,,NO,SI,Falla en bombin o bomba hidraulica de embrague,SINTETICO_IA,L3 medición de espesor 5.8 mm bajo cota 6.6 mm y salto de 2400 rpm.
F10-L07-0034,G34-L3-09,Disco de embrague desgastado o patinando,TRANSMISION,L3,Análisis termográfico tras prueba de esfuerzo en dinamómetro: la carcasa de la campana de embrague alcanza 185°C en la zona perimetral del volante motor por fricción parasitaria continua sin accionar el pedal. La relación de transmisión calculada por la ECU genera código P0741 en vehículos con gestión electrónica de acoplamiento por patinamiento excesivo en cadena cinemática.,TECNICO,termografia_campana_185c_dtc_p0741,campana_185c_friccion_parasitaria|dtc_p0741|patinamiento_cadena_cinematica,falla_transmision_automatica,P0741,NO,SI,Sobrecalentamiento o solenoides en caja automatica CVT / DSG,SINTETICO_IA,L3 termografía a 185°C y código P0741 por patinamiento severo.
F10-L07-0041,G35-L1-01,Falla en bombin o bomba hidraulica de embrague,TRANSMISION,L1,El pedal de embrague se fue hasta el fondo y se quedó pegado al piso.,COTIDIANO,accionamiento,pedal_embrague_al_fondo_pegado,,,SI,NO,,SINTETICO_IA,L1 pedal sin retorno por pérdida de presión.
F10-L07-0051,G35-L2-01,Falla en bombin o bomba hidraulica de embrague,TRANSMISION,L2,Pedal de embrague se queda pegado en la alfombra al presionarlo; al levantarlo manualmente con el pie y bombear varias veces recupera presión suficiente para engranar primera marcha.,COTIDIANO,arranque_manana,pedal_pegado_alfombra|recupera_al_bombear,embrague_patinando,,NO,SI,Disco de embrague desgastado o patinando,SINTETICO_IA,L2 necesidad de bombear delata falla hidráulica vs disco patinando.
F10-L07-0052,G35-L2-02,Falla en bombin o bomba hidraulica de embrague,TRANSMISION,L2,Goteo constante de líquido de frenos DOT 4 sobre la alfombrilla del conductor proveniente del vástago de empuje de la bomba maestra de embrague bajo el tablero.,TALLER,inspeccion_habitaculo,goteo_dot4_alfombrilla|fuga_vastago_bomba_maestra,falla_frenos_bomba,,NO,SI,Fuga hidraulica o aire en el sistema de frenos,SINTETICO_IA,L2 fuga en cilindro emisor de embrague dentro de habitáculo.
F10-L07-0066,G35-L3-01,Falla en bombin o bomba hidraulica de embrague,TRANSMISION,L3,"En un Hyundai Accent mecánico el pedal de embrague se va al piso tras permanecer 20 segundos detenido en un semáforo con la primera marcha seleccionada. Se conectó manómetro de presión hidráulica en la línea de purga del bombín esclavo registrando pico inicial de 35 bar al pisar a fondo, pero la presión decae a razón de 2 bar por segundo hasta 4 bar sin fugas externas visibles en cañerías ni racores. Se desmontó el cilindro maestro de embrague bajo el pedalier comprobándose rayaduras en el cuerpo plástico y copela secundaria invertida permitiendo bypass al depósito.",TECNICO,diagnostico_manometro_embrague_35bar,presion_cae_35_a_4bar_en_20s|copela_secundaria_invertida|bypass_cilindro_maestro|sin_fuga_externa,falla_bomba_frenos,,NO,SI,Fuga hidraulica o aire en el sistema de frenos,SINTETICO_IA,L3 manómetro registra caída de 35 a 4 bar por bypass en bomba maestra.
F10-L07-0067,G35-L3-02,Falla en bombin o bomba hidraulica de embrague,TRANSMISION,L3,Vehículo no permite engranar marcha atrás ni primera velocidad con motor a temperatura de régimen de 90°C. Con motor apagado todos los cambios entran con dos dedos sin resistencia. Se midió el recorrido de empuje de la horquilla en el bombín receptor exterior arrojando solo 7.2 mm de avance (especificación mínima de desembrague 13.5 mm). Al retirar el guardapolvo de fuelle del bombín receptor se expulsaron 15 ml de líquido de frenos sucio acumulado tras haberse cuarteado el retén labial del émbolo.,TALLER,medicion_carrera_horquilla_7_2mm,recorrido_horquilla_7_2mm_vs_13_5mm|cambios_duros_motor_encendido|fuga_reten_bombin_15ml,falla_sincronizadores_caja,,NO,SI,Falta o degradacion de aceite de caja de cambios,SINTETICO_IA,L3 avance de horquilla en 7.2 mm vs 13.5 mm confirma falla de bombín.
