id,texto_sintomas,categoria_falla,componente,falla
1,"El motor tiembla fuerte en ralentí y pierde potencia al acelerar",Encendido,Bobina,Fallo de encendido
2,"El carro no arranca y las luces del tablero están muy débiles",Electrico,Bateria,Bateria descargada
3,"La temperatura sube mucho después de manejar varios minutos en tráfico",Refrigeracion,Termostato,Termostato defectuoso
4,"Se escucha un chillido agudo cada vez que freno",Frenos,Pastillas,Pastillas desgastadas
5,"Da tirones fuertes al momento de cambiar de marcha",Transmision,Embrague,Embrague patinando
6,"El auto vibra solo entre 90 y 110 km/h",Ruedas,Llantas,Llantas desbalanceadas
7,"Sale humo blanco constante y baja el nivel de refrigerante",Motor,Empaque de culata,Junta de culata quemada
8,"Al girar el volante se escucha un clic o chasquido",Suspension,Homocinetica,Junta homocinetica dañada
9,"El motor se apaga en los semáforos y luego arranca normal",Sensores,Valvula IAC,Valvula IAC sucia o fallando
10,"Al acelerar fuerte se ahoga un momento y luego pega un jalón",Combustible,Bomba de combustible,Bomba de combustible debil
11,"Olor fuerte a gasolina después de apagar el auto en caliente",Combustible,Inyectores,Inyectores con fuga
12,"Check Engine encendido y el motor vibra en un cilindro",Encendido,Bobina,Fallo de cilindro especifico
13,"Las luces se ponen tenues mientras manejo",Electrico,Alternador,Alternador no carga
14,"El pedal de freno se siente esponjoso y se hunde",Frenos,Cilindro maestro,Aire en el sistema de frenos
15,"Ruido de cadena al arrancar en frío que desaparece al calentar",Motor,Tensor de cadena,Tensor de cadena debil
16,"El aire acondicionado deja de enfriar después de un rato",Clima,Gas refrigerante,Bajo nivel de gas
17,"Dirección muy pesada a baja velocidad",Direccion,Bomba de direccion,Bomba de direccion debil
18,"Aullido que aumenta con la velocidad, más en curvas",Ruedas,Rodamiento,Rodamiento de rueda dañado
19,"Humo negro por el escape y consumo alto de gasolina",Emisiones,Sensor de oxigeno,Sensor de oxigeno fallando
20,"El auto se desvía hacia un lado al frenar",Frenos,Pinza de freno,Pinza de freno pegada
21,"Ralentí muy inestable, sube y baja constantemente",Sensores,Cuerpo de aceleracion,Cuerpo de aceleracion sucio
22,"No hace nada al girar la llave, ni click ni luces",Electrico,Bateria,Bateria totalmente descargada
23,"Vibración fuerte en el volante al frenar desde alta velocidad",Frenos,Discos,Discos de freno alabeados
24,"El motor tarda mucho en calentar y el calefactor casi no calienta",Refrigeracion,Termostato,Termostato abierto
25,"Zumbido fuerte proveniente del tanque de gasolina",Combustible,Bomba de combustible,Bomba de combustible ruidosa
26,"Falla solo cuando llueve o hay mucha humedad",Encendido,Bobinas,Bobinas con fuga de corriente
27,"Golpeteo en la parte delantera al pasar topes",Suspension,Bujes,Bujes de suspension gastados
28,"El embrague patina en tercera y cuarta al acelerar fuerte",Transmision,Disco de embrague,Disco de embrague gastado
29,"Olor a huevo podrido al acelerar",Emisiones,Catalizador,Catalizador dañado
30,"El ventilador del radiador no prende y se calienta en tráfico",Refrigeracion,Ventilador,Ventilador de radiador defectuoso
31,"Tironeo en carretera a velocidad constante",Sensores,Sensor MAF,Sensor MAF sucio
32,"Arranque lento y pesado aunque la batería está buena",Electrico,Motor de arranque,Motor de arranque desgastado
33,"Chillido de correa al arrancar en frío",Motor,Correa,Correa de accesorios floja
34,"El auto entra en modo de emergencia con poca potencia",Sensores,Sensor CKP,Sensor de cigueñal defectuoso
35,"Pedal de freno muy duro y poco frena",Frenos,Servofreno,Servofreno defectuoso
36,"Humo azul al acelerar y consume aceite",Motor,Anillos,Anillos de piston desgastados
37,"Ruido de ronroneo solo cuando piso el embrague",Transmision,Rodamiento de embrague,Rodamiento de embrague dañado
38,"Parpadeo de luces mientras manejo",Electrico,Masa,Mala conexion a tierra
39,"El motor se queda acelerado varios segundos al soltar el acelerador",Sensores,Cuerpo de aceleracion,Cuerpo de aceleracion sucio
40,"Vibración en ralentí que desaparece al acelerar",Encendido,Bujias,Bujias gastadas
41,"Se pierde refrigerante y aparecen manchas debajo del auto",Refrigeracion,Radiador,Radiador con fuga
42,"Clic al girar el volante completamente",Suspension,Homocinetica,Junta homocinetica dañada
43,"Pérdida de potencia en subidas con el tanque a la mitad",Combustible,Bomba de combustible,Bomba de combustible debil
44,"Check Engine con código de mezcla pobre",Sensores,Sensor MAF,Sensor MAF o fuga de vacio
45,"Ruido metálico grave en la parte baja del motor",Motor,Cojinetes,Cojinetes de biela
