id,item,fase,tipo_registro,estado_registro,fecha,origen_clave,placa_enmascarada,marca_modelo,sintoma,falla_real,chatbot_prediccion,tiempo_diagnostico_minutos,prediccion_correcta,campos_completos,metodo_confirmacion,evidencia_ref,diagnostico_id
9730d274-2706-4821-8314-30695ea9655d,1,Pre-test,THESIS_POSTTEST,borrador,2026-05-01,6f2956721981911a454c73e4ded07669560f8ca6fb9e60d5d8b7a09e7da9609c,ABC-***,Toyota Yaris,Pedal de freno esponjoso,Fuga de liquido de frenos,Bujias desgastadas,37,0,1,,,
27d2d0cd-8c84-48a0-ac11-7c96967c6086,2,Pre-test,THESIS_POSTTEST,borrador,2026-05-02,5b653bc20e7b114f4f86fdc100d867c688ddc68ae684fd42b5c63d341d5b631c,ABC-***,Toyota Yaris,Pedal de freno esponjoso,Fuga de liquido de frenos,Fuga de liquido de frenos,41,1,1,,,
ec0d04e8-cf2d-4264-85d9-3a934a4921a5,3,Pre-test,THESIS_POSTTEST,borrador,2026-05-03,54b445f09b37390131f8de29bf00046de0c2055a782683e25b1c4c4a4491e508,ABC-***,Toyota Yaris,Pedal de freno esponjoso,Fuga de liquido de frenos,Fuga de liquido de frenos,32,1,1,,,
f6309839-83dc-40eb-8a5a-8e388cdbdc2a,4,Pre-test,THESIS_POSTTEST,borrador,2026-05-04,6f07f0f1d277b32745d84dabc6330c7b76ecc7e18f85f25fc474aecacbfefe8f,ABC-***,Toyota Yaris,Pedal de freno esponjoso,Fuga de liquido de frenos,Bujias desgastadas,35,0,1,,,
79d370a3-8606-4bbc-af8d-0f407bd8c0d1,5,Pre-test,THESIS_POSTTEST,borrador,2026-05-05,164acd53c5acdb09e38dd5734d8707c5ec2be45d5b43af84c93b7b39a1dfd425,ABC-***,Toyota Yaris,Pedal de freno esponjoso,Fuga de liquido de frenos,Bujias desgastadas,35,0,0,,,
afaa6525-ff07-40f2-90d2-a27c6b35f32e,6,Pre-test,THESIS_POSTTEST,borrador,2026-05-06,ab725914ad173a1415e33a430d4933ed749e003c67aa1fa4ce386d381c247ecb,ABC-***,Toyota Yaris,Pedal de freno esponjoso,Fuga de liquido de frenos,Fuga de liquido de frenos,32,1,1,,,
976bd6b9-d76f-4f1d-b681-9cb34341147f,7,Pre-test,THESIS_POSTTEST,borrador,2026-05-07,299ef930eaa24d6e0255e323b75e67bfbd4dc08fb5f444ecbb2e462f097546a8,ABC-***,Toyota Yaris,Pedal de freno esponjoso,Fuga de liquido de frenos,Fuga de liquido de frenos,35,1,0,,,
a6bbf5e5-0cba-4e53-932c-60e2ee4e2114,8,Pre-test,THESIS_POSTTEST,borrador,2026-05-08,b3d22bc311630eb2a241ce1d83fd0acf4df48388e1b95f592ee892838730b12e,ABC-***,Toyota Yaris,Pedal de freno esponjoso,Fuga de liquido de frenos,Fuga de liquido de frenos,27,1,0,,,
5fd0bb48-e904-4625-ad9f-1208c84caa50,9,Pre-test,THESIS_POSTTEST,borrador,2026-05-09,2291e730185e3d31993002186e01d5023db0ea1b8b2c3adb6bcf5dfc43ecccd8,ABC-***,Toyota Yaris,Pedal de freno esponjoso,Fuga de liquido de frenos,Fuga de liquido de frenos,31,1,1,,,
21039923-768a-411a-94a7-a865118a638d,10,Pre-test,THESIS_POSTTEST,borrador,2026-05-10,452b42150bb83131e012659fba0c81c0a40235f40162afde928565ea119ee809,ABC-***,Toyota Yaris,Pedal de freno esponjoso,Fuga de liquido de frenos,Fuga de liquido de frenos,39,1,1,,,
e40434f6-7cd6-427d-a361-f5d6d2c1a826,11,Pre-test,THESIS_POSTTEST,borrador,2026-05-11,56d6b2101f712f03e2a2561cba22b9bbde10d70a6e105149bca84a7ce8583e55,ABC-***,Toyota Yaris,Pedal de freno esponjoso,Fuga de liquido de frenos,Fuga de liquido de frenos,33,1,0,,,
6d41ea5a-946d-4075-9ef0-51ef673b9f41,12,Pre-test,THESIS_POSTTEST,borrador,2026-05-12,c132f00a70600d603e108f420e264de69129df2367573260c1db54ffd5ba8218,ABC-***,Toyota Yaris,Pedal de freno esponjoso,Fuga de liquido de frenos,Fuga de liquido de frenos,29,1,1,,,
adad8b34-635d-4497-a988-82b18954215a,13,Pre-test,THESIS_POSTTEST,borrador,2026-05-13,e5b1a8331c6d3cf53a2d9b3b4a3a8b9872a4b79dc524e03a891e0e76bb642c44,ABC-***,Toyota Yaris,Pedal de freno esponjoso,Fuga de liquido de frenos,Fuga de liquido de frenos,24,1,1,,,
14998980-580e-4329-81ce-78879ffda337,14,Pre-test,THESIS_POSTTEST,borrador,2026-05-14,9547f512c6fdfc0449138ae7b8cf753eeafa7a0cec5f0453aa490a6571aa64a7,ABC-***,Toyota Yaris,Pedal de freno esponjoso,Fuga de liquido de frenos,Fuga de liquido de frenos,29,1,1,,,
80f514d8-5e6c-43b5-bdef-1514a662ddf4,15,Pre-test,THESIS_POSTTEST,borrador,2026-05-15,8cefd94308563a360e2a381a89e6e06ae406e74f4e9d516101477ebded96d8f6,ABC-***,Toyota Yaris,Pedal de freno esponjoso,Fuga de liquido de frenos,Fuga de liquido de frenos,29,1,1,,,
7d062921-0be4-4165-8934-bd52c5f91403,16,Pre-test,THESIS_POSTTEST,borrador,2026-05-16,72daacc84326e9cec3505d2dd759bd1440780cd26966c76ffa990d16b5dc61b9,ABC-***,Toyota Yaris,Pedal de freno esponjoso,Fuga de liquido de frenos,Fuga de liquido de frenos,27,1,1,,,
0e11fb90-6525-4509-b661-9542084b26d7,17,Pre-test,THESIS_POSTTEST,borrador,2026-05-17,0c43645c9d8835fa4cfbe239cc7829eec4c0ed0a112de890fda54b8bb9cd7038,ABC-***,Toyota Yaris,Pedal de freno esponjoso,Fuga de liquido de frenos,Fuga de liquido de frenos,36,1,1,,,
3aa3738e-c656-4ce8-9543-1867510b7d06,18,Pre-test,THESIS_POSTTEST,borrador,2026-05-18,19b5d3e162d076fa7f3ec263c27028f782b1fa38593409a892e7e629884b7013,ABC-***,Toyota Yaris,Pedal de freno esponjoso,Fuga de liquido de frenos,Fuga de liquido de frenos,33,1,1,,,
