id,tipo_caso,texto_ingresado,ground_truth,macro_sistema_esperado,top1_predicho,confianza_top1,top2_predicho,confianza_top2,top3_predicho,confianza_top3,macro_sistema_predicho,top1_correcto,top3_correcto,macro_correcto,dtc_codigo,rag_titulo,rag_similitud,hit_1_rag,hit_3_rag,hit_5_rag,mrr_rag,tiempo_ms
BLIND_01,TECNICO,Prueba de caudal de retorno en probetas graduadas arroja 85 ml/min en cilindro 4 frente a 15 ml/min en los restantes bajo presión de 1350 bar en rampa common rail.,Inyectores sucios o filtro de combustible obstruido,MOTOR,Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),0.9775,Perdida de compresion en cilindro por valvulas pisadas o anillos desgastados,0.033,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),0.017,MOTOR,0,0,1,N/A,PROCEDIMIENTO: MEDICIÓN DE RETORNO DE INYECTORES Y CONTROL DE PRESIÓN COMMON RAIL DIESEL (DTC P0087 / P0088),0.8858,1,1,1,1.0,5075
BLIND_02,TECNICO,"Al bombear el pedal de freno con motor apagado la altura se mantiene, pero al encender el motor el pedal desciende gradualmente hasta el piso sin registrar fugas externas en tuberías ni mordazas.",Fuga hidraulica o aire en el sistema de frenos,FRENOS,Fuga hidraulica o aire en el sistema de frenos,0.9075,Discos de freno alabeados o desgastados,0.06,Falla en servofreno (booster) o linea de vacio,0.032,FRENOS,1,1,1,N/A,"PROCEDIMIENTO: COMPROBACIÓN DE VACÍO, VÁLVULA CHECK Y RETENCIÓN DEL SERVOFRENO BOOSTER",0.3585,1,1,1,1.0,4325
BLIND_03,TECNICO,En fosa de alineación con placas de holgura se evidencia juego axial de 3.5 mm en la rótula de suspensión inferior derecha al palanquear el brazo oscilante.,Amortiguadores reventados o bujes de suspension gastados,SUSPENSION_CHASIS,Amortiguadores reventados o bujes de suspension gastados,0.9754,Limpiaparabrisas o motor pluma quemado,0.033,Juntas homocineticas o palieres danados,0.017,SUSPENSION_CHASIS,1,1,1,N/A,"PROCEDIMIENTO: DIAGNÓSTICO DE DESGASTE DE BUJES DE TRAPECIO, BARRAS ESTABILIZADORAS Y AMORTIGUADORES (GOLPETEO EN TROCHA / REBOTE)",0.5396,1,1,1,1.0,3596
BLIND_04,TECNICO,Prueba de conductancia con analizador digital de baterías reporta 210 CCA en batería etiquetada de 650 CCA con resistencia interna elevada a 28 miliohmios y 12.2V en reposo tras carga completa.,Bateria descargada o bornes sulfatados,ELECTRICO,Bateria descargada o bornes sulfatados,0.6015,Fuga parasita de corriente en reposo (consumo nocturno de bateria),0.259,Degradacion o falla en paquete de bateria de alto voltaje (EV / Hibridos),0.139,ELECTRICO,1,1,1,N/A,PROCEDIMIENTO: DIAGNÓSTICO DE BATERÍA DE ALTO VOLTAJE E INVERSOR EN VEHÍCULOS ELÉCTRICOS E HÍBRIDOS (EV/HEV / DTC P0A80),0.5243,0,1,1,0.5,4217
BLIND_05,TECNICO,El detector químico de fugas de combustión con líquido azul bromotimol vira a color amarillo verdoso en la boca de llenado del radiador al acelerar a 2000 RPM.,Empaque de culata soplado o danado,MOTOR,Fuga en mangueras de refrigerante o radiador picado,0.7984,Perdida de compresion en cilindro por valvulas pisadas o anillos desgastados,0.131,Empaque de culata soplado o danado,0.071,MOTOR,0,1,1,N/A,PROCEDIMIENTO: DIAGNÓSTICO DE FUGA EN SISTEMA DE ENFRIAMIENTO Y PRUEBA DE PRESIÓN DE RADIADOR Y MANGUERAS (DTC P0128),0.3766,0,1,1,0.5,4057
BLIND_06,TECNICO,Al drenar el lubricante de la transmisión manual se extrae apenas 600 ml de valvolina quemada con presencia visible de viruta metálica dorada de los anillos sincronizadores de segunda y tercera marcha.,Falta o degradacion de aceite de caja de cambios,TRANSMISION,Falta o degradacion de aceite de caja de cambios,0.9797,Sobrecalentamiento o solenoides en caja automatica CVT / DSG,0.033,Rodajes de transmision manual o eje primario gastados,0.017,TRANSMISION,1,1,1,N/A,PROCEDIMIENTO: SERVICIO A CAJA DE CAMBIOS MECANICA Y RODAJES DE DIFERENCIAL (TRANSMISION_002 / TRANSMISION_003),0.6155,1,1,1,1.0,4390
BLIND_07,TECNICO,El osciloscopio en el conector del motor paso a paso de ralentí IAC muestra pulso PWM constante pero el obturador cónico permanece atascado mecánicamente en su asiento por lodo aceitoso.,Cuerpo de aceleracion o valvula IAC sucia,MOTOR,Falla en circuito o solenoide de inyector individual (DTC P0201 - P0208),0.2632,Perdida de compresion en cilindro por valvulas pisadas o anillos desgastados,0.479,Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet),0.258,MOTOR,0,0,1,N/A,PROCEDIMIENTO: DIAGNÓSTICO DEL MÓDULO CONTROLADOR DE BOMBA DE COMBUSTIBLE FSCM / PEM (DTC P069E / U0109),0.2773,0,1,1,0.3333,4645
BLIND_08,TECNICO,"El vacuómetro conectado entre el múltiple de admisión y el servofreno booster marca 19 inHg estables, pero al pisar el pedal se oye escape de aire en el habitáculo y el vacío cae a cero.",Falla en servofreno (booster) o linea de vacio,FRENOS,Falla en servofreno (booster) o linea de vacio,0.9965,Fuga hidraulica o aire en el sistema de frenos,0.033,Convertidor catalitico ineficiente u obstruido (DTC P0420 / P0430),0.017,FRENOS,1,1,1,N/A,"PROCEDIMIENTO: COMPROBACIÓN DE VACÍO, VÁLVULA CHECK Y RETENCIÓN DEL SERVOFRENO BOOSTER",0.7862,1,1,1,1.0,3865
BLIND_09,TECNICO,Al registrar simultáneamente con osciloscopio la señal digital del CMP de árbol de levas y la rueda fónica del CKP se observa desfase de 18 grados por estiramiento de la cadena de distribución.,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),MOTOR,Faja o cadena de distribucion destensada o con salto de punto,0.4982,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),0.326,Falla en sistema de sincronizacion variable de valvulas (VVT / VVT-i / Valvetronic),0.176,MOTOR,0,1,1,N/A,PROCEDIMIENTO: DIAGNÓSTICO DE CORRELACIÓN CIGÜEÑAL Y ÁRBOL DE LEVAS (DTC P0016 / P0017),0.7778,1,1,1,1.0,3714
BLIND_10,TECNICO,Caída de tensión entre terminal 30 y terminal M del solenoide de arranque mide 11.4V con llave en START pero el inducido del motor de arranque no gira y los carbones miden 3 mm de longitud.,Falla en motor de arranque o solenoide defectuoso (clac seco o carbones gastados),ELECTRICO,Falla en motor de arranque o solenoide defectuoso (clac seco o carbones gastados),0.9727,Bateria descargada o bornes sulfatados,0.033,Fuga parasita de corriente en reposo (consumo nocturno de bateria),0.017,ELECTRICO,1,1,1,N/A,"PROCEDIMIENTO: COMPROBACIÓN DE CAÍDA DE TENSIÓN EN TERMINALES 30/50, CONTACTOS DE SOLENOIDE Y LONGITUD DE CARBONES EN MOTOR DE ARRANQUE",1.0,1,1,1,1.0,3642
