id_candidato,sintoma,condicion,causa_candidata,revision_inicial,pregunta_aclaracion,urgencia_fuente,sistema_fuente,codigo_canonico_propuesto,falla_canonica_propuesta,sistema_canonico,estado_mapeo,decision_revision,validado_por_mecanico,apto_entrenamiento,uso_recomendado_actual,fuente,url_fuente,seccion_fuente,fecha_consulta,licencia_fuente,sha256_texto_fuente,observaciones_revision
GEM-0001,el auto no arranca,al girar la llave o pulsar el boton de encendido,bateria descargada,"Revisar luces, bornes y sonido al intentar arrancar.","¿El motor gira, solo hace clic o no enciende ninguna luz?",ALTA,Sistema electrico y combustible,ELECTRICO_002,Bateria descargada o bornes sulfatados,Sistema Eléctrico y Carga,MAPEO_PROPUESTO,PENDIENTE_MECANICO,NO,NO,CANDIDATO_RAG_Y_REVISION,"Fallas comunes del auto: guia para diagnosticar sintomas, causas y que revisar",https://gemacar.com/blog/fallas-comunes-auto/,El auto no arranca,2026-09-02,NO_DECLARADA,88cb512affaf6573b6d81bb1a5e172192c0c1e9c761255bbba78c6ab591669d6,
GEM-0002,el auto no arranca,al girar la llave o pulsar el boton de encendido,bornes sulfatados o flojos,"Revisar luces, bornes y sonido al intentar arrancar.","¿El motor gira, solo hace clic o no enciende ninguna luz?",ALTA,Sistema electrico y combustible,ELECTRICO_002,Bateria descargada o bornes sulfatados,Sistema Eléctrico y Carga,MAPEO_PROPUESTO,PENDIENTE_MECANICO,NO,NO,CANDIDATO_RAG_Y_REVISION,"Fallas comunes del auto: guia para diagnosticar sintomas, causas y que revisar",https://gemacar.com/blog/fallas-comunes-auto/,El auto no arranca,2026-09-02,NO_DECLARADA,88cb512affaf6573b6d81bb1a5e172192c0c1e9c761255bbba78c6ab591669d6,
GEM-0003,el auto no arranca,al girar la llave o pulsar el boton de encendido,alternador que no carga,"Revisar luces, bornes y sonido al intentar arrancar.","¿El motor gira, solo hace clic o no enciende ninguna luz?",ALTA,Sistema electrico y combustible,ELECTRICO_001,Alternador defectuoso o placa de diodos quemada,Sistema Eléctrico y Carga,MAPEO_PROPUESTO,PENDIENTE_MECANICO,NO,NO,CANDIDATO_RAG_Y_REVISION,"Fallas comunes del auto: guia para diagnosticar sintomas, causas y que revisar",https://gemacar.com/blog/fallas-comunes-auto/,El auto no arranca,2026-09-02,NO_DECLARADA,88cb512affaf6573b6d81bb1a5e172192c0c1e9c761255bbba78c6ab591669d6,
GEM-0004,el auto no arranca,al girar la llave o pulsar el boton de encendido,motor de arranque defectuoso,"Revisar luces, bornes y sonido al intentar arrancar.","¿El motor gira, solo hace clic o no enciende ninguna luz?",ALTA,Sistema electrico y combustible,,,,SIN_CLASE_CANONICA,PENDIENTE_MECANICO,NO,NO,CANDIDATO_RAG_Y_REVISION,"Fallas comunes del auto: guia para diagnosticar sintomas, causas y que revisar",https://gemacar.com/blog/fallas-comunes-auto/,El auto no arranca,2026-09-02,NO_DECLARADA,88cb512affaf6573b6d81bb1a5e172192c0c1e9c761255bbba78c6ab591669d6,
GEM-0005,el auto no arranca,al girar la llave o pulsar el boton de encendido,fusible quemado,"Revisar luces, bornes y sonido al intentar arrancar.","¿El motor gira, solo hace clic o no enciende ninguna luz?",ALTA,Sistema electrico y combustible,,,,SIN_CLASE_CANONICA,PENDIENTE_MECANICO,NO,NO,CANDIDATO_RAG_Y_REVISION,"Fallas comunes del auto: guia para diagnosticar sintomas, causas y que revisar",https://gemacar.com/blog/fallas-comunes-auto/,El auto no arranca,2026-09-02,NO_DECLARADA,88cb512affaf6573b6d81bb1a5e172192c0c1e9c761255bbba78c6ab591669d6,
GEM-0006,el auto no arranca,al girar la llave o pulsar el boton de encendido,"problema de llave, inmovilizador o alarma","Revisar luces, bornes y sonido al intentar arrancar.","¿El motor gira, solo hace clic o no enciende ninguna luz?",ALTA,Sistema electrico y combustible,,,,SIN_CLASE_CANONICA,PENDIENTE_MECANICO,NO,NO,CANDIDATO_RAG_Y_REVISION,"Fallas comunes del auto: guia para diagnosticar sintomas, causas y que revisar",https://gemacar.com/blog/fallas-comunes-auto/,El auto no arranca,2026-09-02,NO_DECLARADA,88cb512affaf6573b6d81bb1a5e172192c0c1e9c761255bbba78c6ab591669d6,
GEM-0007,el auto no arranca,al girar la llave o pulsar el boton de encendido,falta de combustible,"Revisar luces, bornes y sonido al intentar arrancar.","¿El motor gira, solo hace clic o no enciende ninguna luz?",ALTA,Sistema electrico y combustible,,,,REQUIERE_DESCARTE,PENDIENTE_MECANICO,NO,NO,CANDIDATO_RAG_Y_REVISION,"Fallas comunes del auto: guia para diagnosticar sintomas, causas y que revisar",https://gemacar.com/blog/fallas-comunes-auto/,El auto no arranca,2026-09-02,NO_DECLARADA,88cb512affaf6573b6d81bb1a5e172192c0c1e9c761255bbba78c6ab591669d6,
GEM-0008,el auto no arranca,al girar la llave o pulsar el boton de encendido,bomba de gasolina defectuosa,"Revisar luces, bornes y sonido al intentar arrancar.","¿El motor gira, solo hace clic o no enciende ninguna luz?",ALTA,Sistema electrico y combustible,COMBUSTIBLE_002,Bomba de gasolina quemada o con baja presion,Inyección de Combustible,MAPEO_PROPUESTO,PENDIENTE_MECANICO,NO,NO,CANDIDATO_RAG_Y_REVISION,"Fallas comunes del auto: guia para diagnosticar sintomas, causas y que revisar",https://gemacar.com/blog/fallas-comunes-auto/,El auto no arranca,2026-09-02,NO_DECLARADA,88cb512affaf6573b6d81bb1a5e172192c0c1e9c761255bbba78c6ab591669d6,
GEM-0009,se enciende la luz check engine,con el motor encendido,tapa de combustible floja o dañada,Leer codigos OBD2 y comprobar si la luz esta fija o parpadea.,¿La luz esta fija o parpadea?,MEDIA_ALTA,"Motor, emisiones y combustible",,,,SIN_CLASE_CANONICA,PENDIENTE_MECANICO,NO,NO,CANDIDATO_RAG_Y_REVISION,"Fallas comunes del auto: guia para diagnosticar sintomas, causas y que revisar",https://gemacar.com/blog/fallas-comunes-auto/,Check engine,2026-09-02,NO_DECLARADA,88cb512affaf6573b6d81bb1a5e172192c0c1e9c761255bbba78c6ab591669d6,
GEM-0010,se enciende la luz check engine,con el motor encendido,sensor de oxigeno defectuoso,Leer codigos OBD2 y comprobar si la luz esta fija o parpadea.,¿La luz esta fija o parpadea?,MEDIA_ALTA,"Motor, emisiones y combustible",COMBUSTIBLE_004,Falla en sensor de oxigeno o mezcla rica,Inyección de Combustible,MAPEO_PROPUESTO,PENDIENTE_MECANICO,NO,NO,CANDIDATO_RAG_Y_REVISION,"Fallas comunes del auto: guia para diagnosticar sintomas, causas y que revisar",https://gemacar.com/blog/fallas-comunes-auto/,Check engine,2026-09-02,NO_DECLARADA,88cb512affaf6573b6d81bb1a5e172192c0c1e9c761255bbba78c6ab591669d6,
GEM-0011,se enciende la luz check engine,con el motor encendido,bujias o bobinas en mal estado,Leer codigos OBD2 y comprobar si la luz esta fija o parpadea.,¿La luz esta fija o parpadea?,MEDIA_ALTA,"Motor, emisiones y combustible",MOTOR_001,Falla en bujias o bobinas de encendido (misfire),Motor,MAPEO_PROPUESTO,PENDIENTE_MECANICO,NO,NO,CANDIDATO_RAG_Y_REVISION,"Fallas comunes del auto: guia para diagnosticar sintomas, causas y que revisar",https://gemacar.com/blog/fallas-comunes-auto/,Check engine,2026-09-02,NO_DECLARADA,88cb512affaf6573b6d81bb1a5e172192c0c1e9c761255bbba78c6ab591669d6,
GEM-0012,se enciende la luz check engine,con el motor encendido,mezcla incorrecta de aire y combustible,Leer codigos OBD2 y comprobar si la luz esta fija o parpadea.,¿La luz esta fija o parpadea?,MEDIA_ALTA,"Motor, emisiones y combustible",COMBUSTIBLE_004,Falla en sensor de oxigeno o mezcla rica,Inyección de Combustible,MAPEO_PROPUESTO,PENDIENTE_MECANICO,NO,NO,CANDIDATO_RAG_Y_REVISION,"Fallas comunes del auto: guia para diagnosticar sintomas, causas y que revisar",https://gemacar.com/blog/fallas-comunes-auto/,Check engine,2026-09-02,NO_DECLARADA,88cb512affaf6573b6d81bb1a5e172192c0c1e9c761255bbba78c6ab591669d6,
GEM-0013,se enciende la luz check engine,con el motor encendido,catalizador con problema,Leer codigos OBD2 y comprobar si la luz esta fija o parpadea.,¿La luz esta fija o parpadea?,MEDIA_ALTA,"Motor, emisiones y combustible",,,,SIN_CLASE_CANONICA,PENDIENTE_MECANICO,NO,NO,CANDIDATO_RAG_Y_REVISION,"Fallas comunes del auto: guia para diagnosticar sintomas, causas y que revisar",https://gemacar.com/blog/fallas-comunes-auto/,Check engine,2026-09-02,NO_DECLARADA,88cb512affaf6573b6d81bb1a5e172192c0c1e9c761255bbba78c6ab591669d6,
