id,estado,motivos,similitud_maxima,origen_similitud,recomendacion
F10-L01-0001,RECHAZADO,Duplicado exacto/normalizado de fila F10-L01-0081. | Paráfrasis casi idéntica a F10-L01-0081 (similitud 1.00).,1.0,LOTE_01 (F10-L01-0081),Excluir del dataset maestro o reescribir integralmente.
F10-L01-0002,APROBADO,Sin observaciones técnicas.,0.5658,LOTE_01 (F10-L01-0122),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0003,APROBADO,Sin observaciones técnicas.,0.3724,LOTE_01 (F10-L01-0083),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0004,APROBADO,Sin observaciones técnicas.,0.6095,LOTE_01 (F10-L01-0044),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0005,APROBADO,Sin observaciones técnicas.,0.5915,LOTE_01 (F10-L01-0125),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0006,RECHAZADO,Duplicado exacto/normalizado de fila F10-L01-0086. | Paráfrasis casi idéntica a F10-L01-0086 (similitud 1.00).,1.0,LOTE_01 (F10-L01-0086),Excluir del dataset maestro o reescribir integralmente.
F10-L01-0007,APROBADO,Sin observaciones técnicas.,0.5426,LOTE_01 (F10-L01-0127),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0008,REVISAR,Artefacto de plantilla sintética detectado ('comenzó a motor tiembla'). Redacción forzada o agramatical.,0.4881,LOTE_01 (F10-L01-0088),Corregir redacción / plantilla sintética / desambiguar antes de incorporar.
F10-L01-0009,APROBADO,Sin observaciones técnicas.,0.5542,LOTE_01 (F10-L01-0049),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0010,APROBADO,Sin observaciones técnicas.,0.4435,LOTE_01 (F10-L01-0161),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0011,APROBADO,Sin observaciones técnicas.,0.8058,LOTE_01 (F10-L01-0051),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0012,REVISAR,Artefacto de plantilla sintética detectado ('cuando voy al acelerar fuerte'). Redacción forzada o agramatical.,0.4605,LOTE_01 (F10-L01-0052),Corregir redacción / plantilla sintética / desambiguar antes de incorporar.
F10-L01-0013,APROBADO,Sin observaciones técnicas.,0.567,LOTE_01 (F10-L01-0093),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0014,APROBADO,Sin observaciones técnicas.,0.6137,LOTE_01 (F10-L01-0054),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0015,APROBADO,Sin observaciones técnicas.,0.4369,LOTE_01 (F10-L01-0175),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0016,APROBADO,Sin observaciones técnicas.,0.8261,LOTE_01 (F10-L01-0056),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0017,REVISAR,Artefacto de plantilla sintética detectado ('cuando está al acelerar fuerte'). Redacción forzada o agramatical.,0.4783,LOTE_01 (F10-L01-0057),Corregir redacción / plantilla sintética / desambiguar antes de incorporar.
F10-L01-0018,APROBADO,Sin observaciones técnicas.,0.6162,LOTE_01 (F10-L01-0098),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0019,APROBADO,Sin observaciones técnicas.,0.6272,LOTE_01 (F10-L01-0099),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0020,APROBADO,Sin observaciones técnicas.,0.6304,LOTE_01 (F10-L01-0140),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0021,APROBADO,Sin observaciones técnicas.,0.6605,LOTE_01 (F10-L01-0061),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0022,APROBADO,Sin observaciones técnicas.,0.5745,LOTE_01 (F10-L01-0142),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0023,APROBADO,Sin observaciones técnicas.,0.6139,LOTE_01 (F10-L01-0103),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0024,APROBADO,Sin observaciones técnicas.,0.7181,LOTE_01 (F10-L01-0104),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0025,APROBADO,Sin observaciones técnicas.,0.65,LOTE_01 (F10-L01-0185),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0026,APROBADO,Sin observaciones técnicas.,0.8222,LOTE_01 (F10-L01-0066),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0027,APROBADO,Sin observaciones técnicas.,0.6723,LOTE_01 (F10-L01-0067),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0028,APROBADO,Sin observaciones técnicas.,0.6387,LOTE_01 (F10-L01-0108),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0029,APROBADO,Sin observaciones técnicas.,0.8147,LOTE_01 (F10-L01-0109),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0030,APROBADO,Sin observaciones técnicas.,0.6892,LOTE_01 (F10-L01-0190),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0031,APROBADO,Sin observaciones técnicas.,0.7484,LOTE_01 (F10-L01-0071),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0032,APROBADO,Sin observaciones técnicas.,0.6648,LOTE_01 (F10-L01-0072),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0033,APROBADO,Sin observaciones técnicas.,0.7634,LOTE_01 (F10-L01-0113),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0034,APROBADO,Sin observaciones técnicas.,0.8101,LOTE_01 (F10-L01-0114),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0035,APROBADO,Sin observaciones técnicas.,0.7158,LOTE_01 (F10-L01-0155),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0036,APROBADO,Sin observaciones técnicas.,0.7158,LOTE_01 (F10-L01-0116),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0037,APROBADO,Sin observaciones técnicas.,0.6985,LOTE_01 (F10-L01-0077),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0038,APROBADO,Sin observaciones técnicas.,0.6778,LOTE_01 (F10-L01-0118),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0039,APROBADO,Sin observaciones técnicas.,0.7976,LOTE_01 (F10-L01-0119),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0040,APROBADO,Sin observaciones técnicas.,0.7087,LOTE_01 (F10-L01-0160),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0041,APROBADO,Sin observaciones técnicas.,0.384,LOTE_01 (F10-L01-0046),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0042,APROBADO,Sin observaciones técnicas.,0.5181,LOTE_01 (F10-L01-0122),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0043,APROBADO,Sin observaciones técnicas.,0.4043,LOTE_01 (F10-L01-0048),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0044,APROBADO,Sin observaciones técnicas.,0.6788,LOTE_01 (F10-L01-0084),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0045,APROBADO,Sin observaciones técnicas.,0.5697,LOTE_01 (F10-L01-0005),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0046,APROBADO,Sin observaciones técnicas.,0.5134,LOTE_01 (F10-L01-0006),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0047,APROBADO,Sin observaciones técnicas.,0.4914,LOTE_01 (F10-L01-0007),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0048,REVISAR,Artefacto de plantilla sintética detectado ('comenzó a se queda sin'). Redacción forzada o agramatical.,0.4043,LOTE_01 (F10-L01-0043),Corregir redacción / plantilla sintética / desambiguar antes de incorporar.
F10-L01-0049,APROBADO,Sin observaciones técnicas.,0.6089,LOTE_01 (F10-L01-0089),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0050,APROBADO,Sin observaciones técnicas.,0.4698,TRAIN (TRAIN_4164),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0051,APROBADO,Sin observaciones técnicas.,0.8058,LOTE_01 (F10-L01-0011),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0052,APROBADO,Sin observaciones técnicas.,0.5523,LOTE_01 (F10-L01-0092),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0053,APROBADO,Sin observaciones técnicas.,0.5546,LOTE_01 (F10-L01-0173),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0054,APROBADO,Sin observaciones técnicas.,0.6468,LOTE_01 (F10-L01-0094),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0055,REVISAR,Artefacto de plantilla sintética detectado ('al manejar despues de manejar un rato'). Redacción forzada o agramatical.,0.4001,LOTE_01 (F10-L01-0135),Corregir redacción / plantilla sintética / desambiguar antes de incorporar.
F10-L01-0056,APROBADO,Sin observaciones técnicas.,0.8261,LOTE_01 (F10-L01-0016),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0057,APROBADO,Sin observaciones técnicas.,0.5253,LOTE_01 (F10-L01-0177),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0058,APROBADO,Sin observaciones técnicas.,0.5982,LOTE_01 (F10-L01-0178),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0059,APROBADO,Sin observaciones técnicas.,0.6116,LOTE_01 (F10-L01-0179),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0060,APROBADO,Sin observaciones técnicas.,0.5843,LOTE_01 (F10-L01-0020),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0061,APROBADO,Sin observaciones técnicas.,0.6605,LOTE_01 (F10-L01-0021),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0062,APROBADO,Sin observaciones técnicas.,0.6821,LOTE_01 (F10-L01-0102),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0063,APROBADO,Sin observaciones técnicas.,0.5748,LOTE_01 (F10-L01-0023),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0064,APROBADO,Sin observaciones técnicas.,0.6134,LOTE_01 (F10-L01-0104),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0065,APROBADO,Sin observaciones técnicas.,0.5567,LOTE_01 (F10-L01-0145),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0066,APROBADO,Sin observaciones técnicas.,0.8222,LOTE_01 (F10-L01-0026),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0067,APROBADO,Sin observaciones técnicas.,0.7236,LOTE_01 (F10-L01-0187),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0068,APROBADO,Sin observaciones técnicas.,0.5318,LOTE_01 (F10-L01-0028),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0069,APROBADO,Sin observaciones técnicas.,0.7513,LOTE_01 (F10-L01-0109),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0070,APROBADO,Sin observaciones técnicas.,0.6189,LOTE_01 (F10-L01-0150),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0071,APROBADO,Sin observaciones técnicas.,0.7484,LOTE_01 (F10-L01-0031),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0072,APROBADO,Sin observaciones técnicas.,0.6934,LOTE_01 (F10-L01-0112),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0073,APROBADO,Sin observaciones técnicas.,0.7447,LOTE_01 (F10-L01-0193),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0074,APROBADO,Sin observaciones técnicas.,0.6885,LOTE_01 (F10-L01-0114),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0075,APROBADO,Sin observaciones técnicas.,0.6933,LOTE_01 (F10-L01-0155),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0076,APROBADO,Sin observaciones técnicas.,0.7117,LOTE_01 (F10-L01-0036),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0077,APROBADO,Sin observaciones técnicas.,0.7419,LOTE_01 (F10-L01-0117),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0078,APROBADO,Sin observaciones técnicas.,0.6272,LOTE_01 (F10-L01-0198),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0079,APROBADO,Sin observaciones técnicas.,0.7372,LOTE_01 (F10-L01-0119),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0080,APROBADO,Sin observaciones técnicas.,0.6964,LOTE_01 (F10-L01-0160),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0081,RECHAZADO,Duplicado exacto/normalizado de fila F10-L01-0001. | Paráfrasis casi idéntica a F10-L01-0001 (similitud 1.00).,1.0,LOTE_01 (F10-L01-0001),Excluir del dataset maestro o reescribir integralmente.
F10-L01-0082,APROBADO,Sin observaciones técnicas.,0.5298,LOTE_01 (F10-L01-0122),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0083,APROBADO,Sin observaciones técnicas.,0.3724,LOTE_01 (F10-L01-0003),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0084,APROBADO,Sin observaciones técnicas.,0.6788,LOTE_01 (F10-L01-0044),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0085,APROBADO,Sin observaciones técnicas.,0.5685,LOTE_01 (F10-L01-0005),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0086,RECHAZADO,Duplicado exacto/normalizado de fila F10-L01-0006. | Paráfrasis casi idéntica a F10-L01-0006 (similitud 1.00).,1.0,LOTE_01 (F10-L01-0006),Excluir del dataset maestro o reescribir integralmente.
F10-L01-0087,APROBADO,Sin observaciones técnicas.,0.3858,LOTE_01 (F10-L01-0007),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0088,REVISAR,Artefacto de plantilla sintética detectado ('comenzó a ralenti'). Redacción forzada o agramatical.,0.4881,LOTE_01 (F10-L01-0008),Corregir redacción / plantilla sintética / desambiguar antes de incorporar.
F10-L01-0089,APROBADO,Sin observaciones técnicas.,0.6089,LOTE_01 (F10-L01-0049),Aprobado para preselección en corpus maestro Fase 10.
F10-L01-0090,APROBADO,Sin observaciones técnicas.,0.4373,LOTE_01 (F10-L01-0085),Aprobado para preselección en corpus maestro Fase 10.
