id,id_grupo,clase_objetivo,macro_sistema,nivel_informacion,texto_usuario,tipo_lenguaje,condicion_operacion,sintomas_presentes,sintomas_negados,dtc,requiere_pregunta,es_contrastivo,clase_contrastiva,fuente,observaciones,source_dataset,source_row_id,source_type,specificity_level,synthetic_or_original
ORIG-0001,G-ORIG-0001,Desgaste de pastillas y zapatas de freno,FRENOS,ORIGINAL_NO_ESTRATIFICADO,siento un chillido agudo al frenar,COTIDIANO,NO_REPORTA,siento un chillido agudo al frenar,NO_REPORTA,FRENO_001,NO,NO,,ORIGINAL,TRAIN_CANONICO_ORIGINAL,dataset_sintomas_limpio.csv,0,ORIGINAL,ORIGINAL_NO_ESTRATIFICADO,ORIGINAL
ORIG-0002,G-ORIG-0001,Desgaste de pastillas y zapatas de freno,FRENOS,ORIGINAL_NO_ESTRATIFICADO,sabes que siento un chillido agudo al frenar en carabayllo,COTIDIANO,NO_REPORTA,sabes que siento un chillido agudo al frenar en carabayllo,NO_REPORTA,FRENO_001,NO,NO,,ORIGINAL,TRAIN_CANONICO_ORIGINAL,dataset_sintomas_limpio.csv,1,ORIGINAL,ORIGINAL_NO_ESTRATIFICADO,ORIGINAL
ORIG-0004,G-ORIG-0001,Desgaste de pastillas y zapatas de freno,FRENOS,ORIGINAL_NO_ESTRATIFICADO,tengo un problema siento un chillido agudo al frenar ultimamente,COTIDIANO,NO_REPORTA,tengo un problema siento un chillido agudo al frenar ultimamente,NO_REPORTA,FRENO_001,NO,NO,,ORIGINAL,TRAIN_CANONICO_ORIGINAL,dataset_sintomas_limpio.csv,3,ORIGINAL,ORIGINAL_NO_ESTRATIFICADO,ORIGINAL
ORIG-0005,G-ORIG-0003,Desgaste de pastillas y zapatas de freno,FRENOS,ORIGINAL_NO_ESTRATIFICADO,el carro chilla bastante cuando piso el freno,COTIDIANO,NO_REPORTA,el carro chilla bastante cuando piso el freno,NO_REPORTA,FRENO_001,NO,NO,,ORIGINAL,TRAIN_CANONICO_ORIGINAL,dataset_sintomas_limpio.csv,4,ORIGINAL,ORIGINAL_NO_ESTRATIFICADO,ORIGINAL
ORIG-0006,G-ORIG-0004,Desgaste de pastillas y zapatas de freno,FRENOS,ORIGINAL_NO_ESTRATIFICADO,buenas tardes maestro el carro chilla bastante cuando piso el freno ultimamente,COTIDIANO,NO_REPORTA,buenas tardes maestro el carro chilla bastante cuando piso el freno ultimamente,NO_REPORTA,FRENO_001,NO,NO,,ORIGINAL,TRAIN_CANONICO_ORIGINAL,dataset_sintomas_limpio.csv,5,ORIGINAL,ORIGINAL_NO_ESTRATIFICADO,ORIGINAL
ORIG-0007,G-ORIG-0003,Desgaste de pastillas y zapatas de freno,FRENOS,ORIGINAL_NO_ESTRATIFICADO,sabes que el carro chilla bastante cuando piso el freno en carabayllo,COTIDIANO,NO_REPORTA,sabes que el carro chilla bastante cuando piso el freno en carabayllo,NO_REPORTA,FRENO_001,NO,NO,,ORIGINAL,TRAIN_CANONICO_ORIGINAL,dataset_sintomas_limpio.csv,6,ORIGINAL,ORIGINAL_NO_ESTRATIFICADO,ORIGINAL
ORIG-0008,G-ORIG-0005,Desgaste de pastillas y zapatas de freno,FRENOS,ORIGINAL_NO_ESTRATIFICADO,sabes que el carro chilla bastante cuando piso el freno al andar,COTIDIANO,NO_REPORTA,sabes que el carro chilla bastante cuando piso el freno al andar,NO_REPORTA,FRENO_001,NO,NO,,ORIGINAL,TRAIN_CANONICO_ORIGINAL,dataset_sintomas_limpio.csv,7,ORIGINAL,ORIGINAL_NO_ESTRATIFICADO,ORIGINAL
ORIG-0009,G-ORIG-0006,Desgaste de pastillas y zapatas de freno,FRENOS,ORIGINAL_NO_ESTRATIFICADO,suena como metal chocando en la llanta cuando freno,COTIDIANO,NO_REPORTA,suena como metal chocando en la llanta cuando freno,NO_REPORTA,FRENO_001,NO,NO,,ORIGINAL,TRAIN_CANONICO_ORIGINAL,dataset_sintomas_limpio.csv,8,ORIGINAL,ORIGINAL_NO_ESTRATIFICADO,ORIGINAL
ORIG-0010,G-ORIG-0006,Desgaste de pastillas y zapatas de freno,FRENOS,ORIGINAL_NO_ESTRATIFICADO,mi carro presenta suena como metal chocando en la llanta cuando freno en carabayllo,COTIDIANO,NO_REPORTA,mi carro presenta suena como metal chocando en la llanta cuando freno en carabayllo,NO_REPORTA,FRENO_001,NO,NO,,ORIGINAL,TRAIN_CANONICO_ORIGINAL,dataset_sintomas_limpio.csv,9,ORIGINAL,ORIGINAL_NO_ESTRATIFICADO,ORIGINAL
ORIG-0011,G-ORIG-0006,Desgaste de pastillas y zapatas de freno,FRENOS,ORIGINAL_NO_ESTRATIFICADO,mi carro presenta suena como metal chocando en la llanta cuando freno cuando salgo a trabajar,COTIDIANO,NO_REPORTA,mi carro presenta suena como metal chocando en la llanta cuando freno cuando salgo a trabajar,NO_REPORTA,FRENO_001,NO,NO,,ORIGINAL,TRAIN_CANONICO_ORIGINAL,dataset_sintomas_limpio.csv,10,ORIGINAL,ORIGINAL_NO_ESTRATIFICADO,ORIGINAL
