id,categoria,consulta,ground_truth,top1_predicho,confianza_top1,top2_predicho,confianza_top2,top3_predicho,confianza_top3,macro_esperado,macro_predicho,rag_titulo,dtc_codigo,causa_clasificada
BLIND_01,TECNICO,Prueba de caudal de retorno en probetas graduadas arroja 85 ml/min en cilindro 4 frente a 15 ml/min en los restantes bajo presión de 1350 bar en rampa common rail.,Inyectores sucios o filtro de combustible obstruido,Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),0.9775,Perdida de compresion en cilindro por valvulas pisadas o anillos desgastados,0.033,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),0.017,MOTOR,MOTOR,PROCEDIMIENTO: MEDICIÓN DE RETORNO DE INYECTORES Y CONTROL DE PRESIÓN COMMON RAIL DIESEL (DTC P0087 / P0088),N/A,A) Limitación del dataset
BLIND_05,TECNICO,El detector químico de fugas de combustión con líquido azul bromotimol vira a color amarillo verdoso en la boca de llenado del radiador al acelerar a 2000 RPM.,Empaque de culata soplado o danado,Fuga en mangueras de refrigerante o radiador picado,0.7984,Perdida de compresion en cilindro por valvulas pisadas o anillos desgastados,0.131,Empaque de culata soplado o danado,0.071,MOTOR,MOTOR,PROCEDIMIENTO: DIAGNÓSTICO DE FUGA EN SISTEMA DE ENFRIAMIENTO Y PRUEBA DE PRESIÓN DE RADIADOR Y MANGUERAS (DTC P0128),N/A,A) Limitación del dataset
BLIND_07,TECNICO,El osciloscopio en el conector del motor paso a paso de ralentí IAC muestra pulso PWM constante pero el obturador cónico permanece atascado mecánicamente en su asiento por lodo aceitoso.,Cuerpo de aceleracion o valvula IAC sucia,Falla en circuito o solenoide de inyector individual (DTC P0201 - P0208),0.2632,Perdida de compresion en cilindro por valvulas pisadas o anillos desgastados,0.479,Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet),0.258,MOTOR,MOTOR,PROCEDIMIENTO: DIAGNÓSTICO DEL MÓDULO CONTROLADOR DE BOMBA DE COMBUSTIBLE FSCM / PEM (DTC P069E / U0109),N/A,C) Problema TF-IDF/SVM
BLIND_09,TECNICO,Al registrar simultáneamente con osciloscopio la señal digital del CMP de árbol de levas y la rueda fónica del CKP se observa desfase de 18 grados por estiramiento de la cadena de distribución.,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),Faja o cadena de distribucion destensada o con salto de punto,0.4982,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),0.326,Falla en sistema de sincronizacion variable de valvulas (VVT / VVT-i / Valvetronic),0.176,MOTOR,MOTOR,PROCEDIMIENTO: DIAGNÓSTICO DE CORRELACIÓN CIGÜEÑAL Y ÁRBOL DE LEVAS (DTC P0016 / P0017),N/A,C) Problema TF-IDF/SVM
BLIND_18,COLOQUIAL,"Después de manejar como media hora siento que la llanta delantera derecha echa un calor infernal y huele a balata quemada, como si se quedara frenada solita.",Caliper de freno trabado o mordaza pegada (piston agarrotado),Desgaste de pastillas y zapatas de freno,0.9152,Caliper de freno trabado o mordaza pegada (piston agarrotado),0.055,Discos de freno alabeados o desgastados,0.03,FRENOS,FRENOS,PROCEDIMIENTO: INSPECCIÓN DE ESPESOR Y SUSTITUCIÓN DE PASTILLAS Y ZAPATAS DE FRENO (CHILLIDO / C0035),N/A,A) Limitación del dataset
BLIND_22,AMBIGUO,"El carro no quiere encender hoy día en la cochera, le doy a la llave y no prende.",Bateria descargada o bornes sulfatados,Falla en motor de arranque o solenoide defectuoso (clac seco o carbones gastados),0.7845,Bateria descargada o bornes sulfatados,0.14,Fuga parasita de corriente en reposo (consumo nocturno de bateria),0.075,ELECTRICO,ELECTRICO,"PROCEDIMIENTO: COMPROBACIÓN DE CAÍDA DE TENSIÓN EN TERMINALES 30/50, CONTACTOS DE SOLENOIDE Y LONGITUD DE CARBONES EN MOTOR DE ARRANQUE",N/A,B) Ambigüedad legítima
BLIND_24,AMBIGUO,A veces cuando voy despacio en segunda me da unos jalones suaves pero no pasa siempre.,Falla en bujias o bobinas de encendido (misfire),Consulta fuera del alcance automotriz,0.0,DESCONOCIDO,0.0,DESCONOCIDO,0.0,MOTOR,MOTOR,,N/A,B) Ambigüedad legítima
BLIND_25,AMBIGUO,Hay un zumbido sordo en la parte delantera del vehículo que se nota cuando supero los 40 km/h.,Rodamiento de maza o rodaje de rueda picado (zumbido de rodadura),Amortiguadores reventados o bujes de suspension gastados,0.5478,Rodamiento de maza o rodaje de rueda picado (zumbido de rodadura),0.294,Bomba de gasolina quemada o con baja presion,0.158,SUSPENSION_CHASIS,SUSPENSION_CHASIS,PROCEDIMIENTO: MEDICIÓN DE ALABEO CON RELOJ COMPARADOR Y REEMPLAZO DE RODAMIENTO DE MAZA DE RUEDA,N/A,B) Ambigüedad legítima
BLIND_26,AMBIGUO,"Cuando estoy parado en el semáforo siento que el motor no está serenito, vibra un poquito.",Cuerpo de aceleracion o valvula IAC sucia,Consulta Ambigua / Datos Faltantes,0.0,DESCONOCIDO,0.0,DESCONOCIDO,0.0,MOTOR,MOTOR,,N/A,B) Ambigüedad legítima
BLIND_27,AMBIGUO,Noto una vibración molesta adelante pero no estoy seguro si viene de las ruedas o de los frenos.,Llantas desbalanceadas o desalineadas,Falla electrica del cierre centralizado o actuador de puerta,0.6489,Desgaste de pastillas y zapatas de freno,0.228,Falla en sistema de frenado regenerativo (EV / Hibridos),0.123,SUSPENSION_CHASIS,CARROCERIA_NEUMATICA,PROCEDIMIENTO: DIAGNOSTICO Y REPARACION DE CIERRE CENTRALIZADO Y ACTUADOR ELECTRICO DE PUERTA (CARROCERIA_001),N/A,B) Ambigüedad legítima
BLIND_29,AMBIGUO,Tengo que rellenar el depósito de agua de vez en cuando porque se baja de nivel.,Fuga en mangueras de refrigerante o radiador picado,Consulta fuera del alcance automotriz,0.0,DESCONOCIDO,0.0,DESCONOCIDO,0.0,MOTOR,MOTOR,,N/A,B) Ambigüedad legítima
BLIND_30,AMBIGUO,A veces al subirme al vehículo siento un olor como a combustible pero no veo manchas abajo.,Falla en sistema de control de emisiones evaporativas EVAP (canister o valvula de purga),Empaque de culata soplado o danado,0.5363,Falla en sistema Flex / Bi-combustible (Alcohol/Etanol),0.301,Falla en sensor de oxigeno o mezcla rica,0.162,MOTOR,MOTOR,PROCEDIMIENTO: DIAGNÓSTICO DE SENSOR DE RELACIÓN AIRE/COMBUSTIBLE (A/F BANDA ANCHA) Y SONDA LAMBDA (DTC P0135 / P2195),N/A,B) Ambigüedad legítima
BLIND_31,DTC,Escáner OBD-II registra código de avería P0304 de forma permanente. Hay fallo de combustión confirmado en el cilindro 4 bajo aceleración sostenida.,Falla en bujias o bobinas de encendido (misfire),Perdida de compresion en cilindro por valvulas pisadas o anillos desgastados,0.9737,Cuerpo de aceleracion o valvula IAC sucia,0.033,Falla en circuito o solenoide de inyector individual (DTC P0201 - P0208),0.017,MOTOR,MOTOR,PROCEDIMIENTO: PRUEBA METROLÓGICA DE COMPRESIÓN EN SECO/HÚMEDO Y DIAGNÓSTICO DE FUGA NEUMÁTICA DE CILINDROS (DTC P0300 A P0304),P0304,E) Problema política de fusión
BLIND_38,DTC,Módulo electrónico de frenos ABS enciende testigo de avería con código de falla C0040 por circuito abierto en captador de velocidad de rueda.,Falla en sensor de velocidad de rueda ABS,Falla en circuito o solenoide de inyector individual (DTC P0201 - P0208),0.9951,Falla en sensor de velocidad de rueda ABS,0.033,Fuga hidraulica o aire en el sistema de frenos,0.017,FRENOS,MOTOR,PROCEDIMIENTO: PURGADO HIDRÁULICO DE MÓDULO DE CONTROL ABS Y DIAGNÓSTICO DE SENSORES DE RUEDA (DTC C0035 / C0040 / C1101),C0040,E) Problema política de fusión
BLIND_43,DIFERENCIAL,Manejando en quinta a 90 km/h en carretera despejada el motor perdió toda la fuerza y se atrancó de golpe al pisar el acelerador.,Bomba de gasolina quemada o con baja presion,Falla en bujias o bobinas de encendido (misfire),0.3875,Rodajes de caja mecanica o diferencial gastados,0.398,Inyectores sucios o filtro de combustible obstruido,0.214,MOTOR,MOTOR,PROCEDIMIENTO: CAMBIO DE BUJÍAS DE ENCENDIDO Y DIAGNÓSTICO DE MISFIRE (DTC P0300 / P0301),N/A,C) Problema TF-IDF/SVM
BLIND_45,DIFERENCIAL,"El pedal de freno se va hasta el fondo con tacto esponjoso al frenar en las esquinas, pero el motor no presenta fugas de vacío y el booster mantiene su retención.",Fuga hidraulica o aire en el sistema de frenos,Discos de freno alabeados o desgastados,0.4969,Falla en servofreno (booster) o linea de vacio,0.327,Fuga hidraulica o aire en el sistema de frenos,0.176,FRENOS,FRENOS,"PROCEDIMIENTO: COMPROBACIÓN DE VACÍO, VÁLVULA CHECK Y RETENCIÓN DEL SERVOFRENO BOOSTER",N/A,C) Problema TF-IDF/SVM
BLIND_46,DIFERENCIAL,"El manómetro acoplado a la línea de combustible marca apenas 22 psi bajo aceleración brusca, aunque la compresión de los cuatro cilindros está perfecta en 165 psi parejo.",Bomba de gasolina quemada o con baja presion,Perdida de compresion en cilindro por valvulas pisadas o anillos desgastados,0.8686,Empaque de culata soplado o danado,0.085,Falla en regulador de presion de combustible o diafragma roto,0.046,MOTOR,MOTOR,PROCEDIMIENTO: PRUEBA METROLÓGICA DE COMPRESIÓN EN SECO/HÚMEDO Y DIAGNÓSTICO DE FUGA NEUMÁTICA DE CILINDROS (DTC P0300 A P0304),N/A,A) Limitación del dataset
BLIND_47,DIFERENCIAL,Subiendo una cuesta en cuarta marcha el velocímetro se queda en 50 km/h mientras el tacómetro se dispara de 2200 a 4500 RPM sin acelerar el coche.,Disco de embrague desgastado o patinando,Alternador defectuoso o placa de diodos quemada,0.4629,Fallo en inversor de corriente IGBT o motor electrico (EV),0.349,Falla en sensor de velocidad de rueda ABS,0.188,TRANSMISION,ELECTRICO,"PROCEDIMIENTO: DIAGNÓSTICO Y REPARACIÓN DE ALTERNADOR, REGULADOR DE VOLTAJE Y BATERÍA (DTC P0562 / P0620 / EL ALTERNADOR NO CARGA Y BATERÍA DESCARGADA)",N/A,C) Problema TF-IDF/SVM
BLIND_48,DIFERENCIAL,"Presenta ralentí inestable que sube y baja con código de falla P0171, y al rociar limpiador de carburador en la manguera de vacío del múltiple el motor empareja de inmediato.",Falla en servofreno (booster) o linea de vacio,Falla en sensor de oxigeno o mezcla rica,0.84,Falla en sistema de control de emisiones evaporativas EVAP (canister o valvula de purga),0.104,Falla en servofreno (booster) o linea de vacio,0.056,FRENOS,MOTOR,PROCEDIMIENTO: DIAGNÓSTICO DE ENTRADAS DE AIRE PARÁSITAS Y SENSOR MAF/MAP CON GENERADOR DE HUMO (DTC P0171 / P0101 / VACÍO),P0171,E) Problema política de fusión
BLIND_50,DIFERENCIAL,El motor recalienta al exigirle carga en subida pero NO pierde refrigerante por ninguna manguera ni baja el nivel del radiador.,Falla en termostato o motoventilador de radiador,Empaque de culata soplado o danado,0.6215,Falla en termostato o motoventilador de radiador,0.246,Fuga en mangueras de refrigerante o radiador picado,0.132,MOTOR,MOTOR,PROCEDIMIENTO: DIAGNÓSTICO Y REEMPLAZO DE EMPAQUE DE CULATA (HUMO BLANCO / SOBRECALENTAMIENTO / DTC P0217),N/A,C) Problema TF-IDF/SVM
