id,tipo_caso,texto_ingresado,ground_truth,macro_sistema_esperado,top1_predicho_antes,confianza_antes,top1_correcto_antes,top1_predicho_despues,confianza_despues,top1_correcto_despues,top2_despues,conf2_despues,top3_despues,conf3_despues,top3_correcto_despues,macro_sistema_despues,macro_correcto_despues,dtc_codigo,rag_titulo_despues,rag_sim_despues,hit_1_despues,hit_3_despues,hit_5_despues,mrr_despues
STRESS_01,TECNICO,Bajo aceleración a 2500 RPM en carretera se presenta tironeo intermitente y pérdida de potencia. Pulso de inyección en cilindro 3 es correcto pero la resistencia del devanado secundario de la bobina de encendido está abierta.,Falla en bujias o bobinas de encendido (misfire),MOTOR,Falla en bujias o bobinas de encendido (misfire),0.7092,1,Falla en bujias o bobinas de encendido (misfire),0.7092,1,Falla en circuito o solenoide de inyector individual (DTC P0201 - P0208),0.189,Cuerpo de aceleracion o valvula IAC sucia,0.102,1,MOTOR,1,N/A,PROCEDIMIENTO: CAMBIO DE BUJÍAS DE ENCENDIDO Y DIAGNÓSTICO DE MISFIRE (DTC P0300 / P0301),0.306,1,1,1,1.0
STRESS_02,TECNICO,Manómetro conectado al riel de inyección registra caída de presión a 15 psi al acelerar a fondo en banco de pruebas. Caudal volumétrico de combustible insuficiente y relé de bomba conmuta correctamente.,Bomba de gasolina quemada o con baja presion,MOTOR,Bomba de gasolina quemada o con baja presion,0.8376,1,Bomba de gasolina quemada o con baja presion,0.8376,1,Inyectores sucios o filtro de combustible obstruido,0.106,Falla en regulador de presion de combustible o diafragma roto,0.057,1,MOTOR,1,N/A,PROCEDIMIENTO: DIAGNÓSTICO DE PRESIÓN DE COMBUSTIBLE Y CAÍDA DE CAUDAL BAJO CARGA (DTC P0087 / TIRONEO AL EXIGIR ACELERACIÓN),0.8607,1,1,1,1.0
STRESS_03,TECNICO,El escáner OBD-II indica temperatura de refrigerante estancada en 62°C tras 35 minutos de marcha continua en autopista. La manguera superior e inferior del radiador calientan al mismo tiempo desde el arranque por termostato abierto.,Falla en termostato o motoventilador de radiador,MOTOR,Falla en termostato o motoventilador de radiador,0.6058,1,Falla en termostato o motoventilador de radiador,0.6304,1,Fuga en mangueras de refrigerante o radiador picado,0.24,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),0.129,1,MOTOR,1,N/A,PROCEDIMIENTO: DIAGNÓSTICO DE TERMOSTATO Y PURGA ASISTIDA DEL SISTEMA DE REFRIGERACIÓN (DTC P0128 / RECALENTAMIENTO EN SUBIDA),0.4919,1,1,1,1.0
STRESS_04,TECNICO,Voltaje en bornes de batería mide 12.1V con el motor encendido a 2000 RPM y consumidores eléctricos activados. El osciloscopio muestra rizado anormal con caída de una fase en el puente rectificador de diodos.,Alternador defectuoso o placa de diodos quemada,ELECTRICO,Alternador defectuoso o placa de diodos quemada,0.9763,1,Alternador defectuoso o placa de diodos quemada,0.9763,1,Fallo en inversor de corriente IGBT o motor electrico (EV),0.033,Bateria descargada o bornes sulfatados,0.017,1,ELECTRICO,1,N/A,"PROCEDIMIENTO: DIAGNÓSTICO Y REPARACIÓN DE ALTERNADOR, REGULADOR DE VOLTAJE Y BATERÍA (DTC P0562 / P0620 / EL ALTERNADOR NO CARGA Y BATERÍA DESCARGADA)",0.8409,1,1,1,1.0
STRESS_05,TECNICO,Inspección metrológica revela espesor de material de fricción en pastillas delanteras de 1.2 mm con desgaste en cuña. Se aprecia contacto metálico del avisador acústico contra el disco al aplicar presión hidráulica.,Desgaste de pastillas y zapatas de freno,FRENOS,Desgaste de pastillas y zapatas de freno,0.973,1,Desgaste de pastillas y zapatas de freno,0.973,1,Caliper de freno trabado o mordaza pegada (piston agarrotado),0.033,Discos de freno alabeados o desgastados,0.017,1,FRENOS,1,N/A,PROCEDIMIENTO: INSPECCIÓN DE ESPESOR Y SUSTITUCIÓN DE PASTILLAS Y ZAPATAS DE FRENO (CHILLIDO / C0035),0.8712,1,1,1,1.0
STRESS_06,TECNICO,Fuga severa de fluido hidráulico observada en el retén del vástago del amortiguador delantero derecho. En prueba de rebote la carrocería efectúa más de tres oscilaciones libres antes de estabilizarse.,Amortiguadores reventados o bujes de suspension gastados,SUSPENSION_CHASIS,Amortiguadores reventados o bujes de suspension gastados,0.9763,1,Amortiguadores reventados o bujes de suspension gastados,0.9763,1,Falla en caja robotizada Dualogic / I-Motion / Easytronic (Fiat / VW),0.033,Caliper de freno trabado o mordaza pegada (piston agarrotado),0.017,1,SUSPENSION_CHASIS,1,N/A,"PROCEDIMIENTO: DIAGNÓSTICO DE DESGASTE DE BUJES DE TRAPECIO, BARRAS ESTABILIZADORAS Y AMORTIGUADORES (GOLPETEO EN TROCHA / REBOTE)",0.602,1,1,1,1.0
STRESS_07,TECNICO,"Al someter a carga el tren motriz en pendiente ascendente en cuarta marcha, las RPM del motor se incrementan súbitamente de 2000 a 4200 RPM sin incremento proporcional en la velocidad lineal del vehículo.",Disco de embrague desgastado o patinando,TRANSMISION,Falla en motor de arranque o solenoide defectuoso (clac seco o carbones gastados),0.7799,0,Disco de embrague desgastado o patinando,0.3779,1,Fallo en inversor de corriente IGBT o motor electrico (EV),0.404,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),0.218,1,TRANSMISION,1,N/A,PROCEDIMIENTO: DIAGNÓSTICO DE PATINAMIENTO DE DISCO DE EMBRAGUE Y PRUEBA DE CALADO EN 4TA MARCHA,0.5232,1,1,1,1.0
STRESS_08,TECNICO,El motor presenta fluctuación cíclica de ralentí entre 550 y 1150 RPM en vacío. Inspección con boroscopio muestra acumulación excesiva de carbonilla aceitosa en el cuerpo de mariposa y conducto de aire de derivación.,Cuerpo de aceleracion o valvula IAC sucia,MOTOR,Falla de descarbonizacion e inyeccion directa GDI (acumulacion de carbon en valvulas),0.6939,0,Falla de descarbonizacion e inyeccion directa GDI (acumulacion de carbon en valvulas),0.6939,0,Cuerpo de aceleracion o valvula IAC sucia,0.199,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),0.107,1,MOTOR,1,N/A,PROCEDIMIENTO: DESCARBONIZACIÓN QUÍMICA Y MECÁNICA DE VÁLVULAS DE ADMISIÓN EN MOTORES DE INYECCIÓN DIRECTA GDI / TSI,0.4297,0,1,1,0.5
STRESS_09,TECNICO,Pérdida súbita de señal de pulsos de onda inductiva en sensor de posición de cigüeñal al alcanzar 92°C de temperatura de bloque. El motor se detiene inmediatamente por ausencia de sincronización de encendido.,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),MOTOR,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),0.9402,1,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),0.9402,1,Falla en bujias o bobinas de encendido (misfire),0.039,Falla en termostato o motoventilador de radiador,0.021,1,MOTOR,1,N/A,PROCEDIMIENTO: DIAGNÓSTICO Y REEMPLAZO DE SENSOR DE POSICIÓN DE CIGÜEÑAL CKP Y LEVAS CMP (DTC P0335 / P0340),0.7097,1,1,1,1.0
STRESS_10,TECNICO,Pirómetro infrarrojo mide 210°C en el disco de freno delantero izquierdo tras rodar en plano sin accionar pedal. El émbolo hidráulico de la pinza se encuentra trabado por corrosión en el guardapolvo.,Caliper de freno trabado o mordaza pegada (piston agarrotado),FRENOS,Caliper de freno trabado o mordaza pegada (piston agarrotado),0.9266,1,Caliper de freno trabado o mordaza pegada (piston agarrotado),0.9266,1,Discos de freno alabeados o desgastados,0.048,Fuga hidraulica o aire en el sistema de frenos,0.026,1,FRENOS,1,N/A,"PROCEDIMIENTO: REVISIÓN DE GUÍAS DESLIZANTES, PISTÓN AGARROTADO Y RETRACCIÓN HIDRÁULICA DE CÁLIPER DE FRENO",0.651,1,1,1,1.0
