CHG_ID,TITULO_PROPUESTA,PROBLEMA_ORIGEN,EVIDENCIA_AUDITORIA,EVIDENCIA_DOCUMENTAL_EXTERNA,UTILIZA_VALORES_TECNICOS,UTILIZA_PROCEDIMIENTOS,REQUIERE_FUENTE,FUENTE_DISPONIBLE,RESPALDA_EXACTO,DEPENDE_VEHICULO,DEPENDE_OEM,IMPLICA_SEGURIDAD,REQUIERE_VALIDACION_MANUAL,CLASIFICACION,DECISION,PARTE_EXACTA_IMPLEMENTABLE
CHG-001,Corregir atributo falla y sistema en RAG_PROC_047,Solenoide VVT Kia Rio asignado erróneamente a motor de arranque (ELECTRICO),RAG_PROC_047 trata 100% sobre electroválvula OCV de distribución variable en motor Kappa,Coincide con arquitectura estándar Hyundai/Kia Gamma/Kappa de solenoides VVT,No agrega valores nuevos; conserva los ya existentes en el chunk,Conserva el procedimiento original de inspección de resistencia y limpieza de colador,No (corrección de metadato existente),Sí (metadato y chunk preexistentes en el repo),Sí,Sí (Kia Rio motor Kappa),Sí (Kia/Hyundai),No,No,A — RESPALDADO / E — CAMBIO ESTRUCTURAL,IMPLEMENTABLE_POSTERIORMENTE,"Corregir en metadatos_manuales.json: sistema='MOTOR', falla='Falla en sistema de sincronizacion variable de valvulas (VVT / VVT-i / Valvetronic)' (ID C1: 41)."
CHG-002,Corregir atributo falla y sistema en RAG_PROC_060,Embrague electromagnético de compresor A/C asignado erróneamente a embrague de transmisión manual,"RAG_PROC_060 describe bobina magnética, entrehierro (shim) y plato de acople de compresor de A/C",Compresores Denso/Sanden de embrague electromagnético,Conserva holgura 0.35-0.65 mm preexistente,Inspección de entrehierro y resistencia de bobina de embrague A/C,No (metadato preexistente),Sí (en repositorio),Sí,No (diseño estándar de embrague A/C),No,No,No,A — RESPALDADO / E — CAMBIO ESTRUCTURAL,IMPLEMENTABLE_POSTERIORMENTE,"Corregir en metadatos_manuales.json: sistema='CLIMATIZACION', falla='Falla en compresor de aire acondicionado o fuga de gas R134a' (ID C1: 29)."
CHG-003,Corregir atributo falla en RAG_PROC_061,Mecatrónica DSG y doble embrague asignado a disco de embrague manual de fricción,RAG_PROC_061 trata de electrohidráulica mecatrónica DSG DQ200/DQ250 y calibración de doble embrague,Documentación técnica VAG DSG,Conserva presiones hidráulicas preexistentes en chunk,Ajuste básico de embragues K1/K2 y bomba hidráulica mecatrónica,No para corregir la asignación; pero requiere manual OEM si se quisiera ampliar,Sí (chunk preexistente),"Sí, para reasignación",Sí (transmisiones robotizadas VAG),Sí (Volkswagen AG),No,No,B — PARCIALMENTE RESPALDADO / E — CAMBIO ESTRUCTURAL,IMPLEMENTABLE_PARCIALMENTE,Reasignar falla a 'Sobrecalentamiento o solenoides en caja automatica CVT / DSG' (ID C1: 60) con tag secundario 'transmision_robotizada_doble_embrague'. No ampliar texto hasta tener fuente OEM.
CHG-004,Corregir atributo falla y sistema en RAG_PROC_067,Solenoide VVT-i Toyota asignado a motor de arranque (ELECTRICO),RAG_PROC_067 trata de limpieza de válvulas OCV y filtro de malla de culata en motores Toyota 1NZ/2NZ/2ZR,Manuales de taller Toyota TIS motores VVT-i,Resistencia de bobina OCV (6.9 - 7.9 ohm),Limpieza ultrasónica o solvente dieléctrico de filtro de aceite VVT,No para corregir el metadato,Sí (preexistente),Sí,Sí (motores Toyota VVT-i),Sí (Toyota),No,No,A — RESPALDADO / E — CAMBIO ESTRUCTURAL,IMPLEMENTABLE_POSTERIORMENTE,"Corregir en metadatos_manuales.json: sistema='MOTOR', falla='Falla en sistema de sincronizacion variable de valvulas (VVT / VVT-i / Valvetronic)' (ID C1: 41)."
CHG-005,Corregir atributo falla en RAG_PROC_075,Sistema de evaporación de emisiones EVAP y cánister asignado erróneamente a bujías/misfire,RAG_PROC_075 describe prueba de fugas en cánister de carbón activado con máquina de humo,Normativa OBD-II EVAP y códigos P0440/P0442/P0455,Presión de ensayo de humo (< 0.5 - 1.0 PSI),Inyección de humo con fluorescente en puerto de servicio EVAP,No para corregir la asignación,Sí (preexistente),Sí,No (estándar OBD-II),No,No,No,A — RESPALDADO / E — CAMBIO ESTRUCTURAL,IMPLEMENTABLE_POSTERIORMENTE,"Corregir en metadatos_manuales.json: sistema='MOTOR', falla='Falla en sistema de control de emisiones evaporativas EVAP (canister o valvula de purga)' (ID C1: 39)."
CHG-006,Corregir atributo falla en RAG_PROC_109,Válvula de purga EVAP asignada a bujías/misfire por asociación heurística de ralentí inestable,RAG_PROC_109 describe electroválvula de purga de cánister trabada abierta generando entrada de aire falso,Sistemas de purga de emisiones evaporativas,Vacío de colector de admisión y resistencia de válvula (15 - 30 ohm),Prueba de hermeticidad con bomba de vacío manual (Mityvac),No para corregir la asignación,Sí (preexistente),Sí,No,No,No,No,A — RESPALDADO / E — CAMBIO ESTRUCTURAL,IMPLEMENTABLE_POSTERIORMENTE,"Corregir en metadatos_manuales.json: sistema='MOTOR', falla='Falla en sistema de control de emisiones evaporativas EVAP (canister o valvula de purga)' (ID C1: 39)."
CHG-007,Reclasificar RAG_PROC_113 a SUSPENSION_CHASIS transversal,Sensores de presión de neumáticos TPMS asignados forzadamente a bujías/misfire,RAG_PROC_113 describe aprendizaje de IDs y sensor de radiofrecuencia TPMS (DTC C2121-C2124),Norma FMVSS 138 TPMS,Frecuencia de transmisión (315 MHz / 433 MHz),Reaprendizaje con herramienta TPMS o scanner OBD,No para reclasificar metadato,Sí (preexistente),Sí como conocimiento auxiliar,No,No,No,No,A — RESPALDADO / E — CAMBIO ESTRUCTURAL,IMPLEMENTABLE_POSTERIORMENTE,"Reclasificar: sistema='SUSPENSION_CHASIS', falla=null (marcado como documento transversal/auxiliar, sin target C1 directo; relacionado de apoyo a ID C1: 55)."
CHG-008,Corregir atributo falla en RAG_PROC_114,Embrague del convertidor de par TCC asignado a embrague manual de fricción,RAG_PROC_114 describe solenoide y plato de acople interno TCC (Lock-up) en convertidor hidrodinámico,Transmisiones automáticas planetarias hidráulicas,Patrón de PWM y deslizamiento de RPM en scanner,Monitoreo de corriente de solenoide TCC y prueba de corte de bloqueo al pisar freno,No para corregir la asignación,Sí (preexistente),Sí,Sí (vehículos con caja automática),No,No,No,A — RESPALDADO / E — CAMBIO ESTRUCTURAL,IMPLEMENTABLE_POSTERIORMENTE,"Corregir: sistema='TRANSMISION', falla='Sobrecalentamiento o solenoides en caja automatica CVT / DSG' (ID C1: 60) con tag de subsistema 'convertidor_par_tcc'."
CHG-009,Corregir atributo falla y sistema en RAG_PROC_142,Solenoide actuador distribución variable VVT/VANOS asignado a motor de arranque (ELECTRICO),RAG_PROC_142 describe solenoide de árbol de levas VANOS / VTC y correlación de desfase angular,Sistemas de distribución variable multimarca,Presión de control de aceite y ciclo de trabajo (duty cycle),Prueba de accionamiento bidireccional con scanner,No para corregir asignación,Sí (preexistente),Sí,No,No,No,No,A — RESPALDADO / E — CAMBIO ESTRUCTURAL,IMPLEMENTABLE_POSTERIORMENTE,"Corregir en metadatos_manuales.json: sistema='MOTOR', falla='Falla en sistema de sincronizacion variable de valvulas (VVT / VVT-i / Valvetronic)' (ID C1: 41)."
CHG-010,Corregir atributo falla en RAG_PROC_154,Electroválvula de purga cánister EVAP asignada a bujías/misfire,RAG_PROC_154 describe electroválvula solenoide de purga y DTC P0441,Sistemas EVAP automotrices,Resistencia de solenoide y estanqueidad a 0V,Comprobación de sellado mecánico sin corriente aplicada,No para corregir asignación,Sí (preexistente),Sí,No,No,No,No,A — RESPALDADO / E — CAMBIO ESTRUCTURAL,IMPLEMENTABLE_POSTERIORMENTE,"Corregir en metadatos_manuales.json: sistema='MOTOR', falla='Falla en sistema de control de emisiones evaporativas EVAP (canister o valvula de purga)' (ID C1: 39)."
