clase_objetivo,macro_sistema,total_registros,L1,L2,L3,con_dtc,contrastivos,coloquial,taller,tecnico,otros_lenguajes,longitud_promedio_palabras,longitud_min_palabras,longitud_max_palabras,vocabulario_unico,densidad_lexica
Alternador defectuoso o placa de diodos quemada,ELECTRICO,40,10,15,15,4,30,0,8,16,16,40.6,10,97,641,0.394
Amortiguadores reventados o bujes de suspension gastados,SUSPENSION_CHASIS,40,10,15,15,0,26,0,9,13,18,33.0,11,80,572,0.434
Baja presion de aceite o bomba de aceite defectuosa,MOTOR,40,10,15,15,4,15,0,10,11,19,32.2,10,71,420,0.326
Bateria descargada o bornes sulfatados,ELECTRICO,40,10,15,15,1,30,0,7,16,17,39.3,13,97,611,0.388
Bomba de gasolina quemada o con baja presion,MOTOR,40,10,15,15,0,10,0,9,5,26,17.7,3,39,213,0.301
Caliper de freno trabado o mordaza pegada (piston agarrotado),FRENOS,40,10,15,15,1,25,0,8,15,17,36.4,11,96,560,0.385
"Cerradura, chapa o pestillo mecanico de puerta trabado o desalineado",CARROCERIA_NEUMATICA,40,10,15,15,0,17,15,0,25,0,32.0,10,58,499,0.389
Consumo de aceite por desgaste de anillos o retenes,MOTOR,40,10,15,15,3,22,0,10,10,20,28.3,9,49,420,0.371
Convertidor catalitico ineficiente u obstruido (DTC P0420 / P0430),MOTOR,40,10,15,15,16,22,0,10,13,17,37.7,11,93,570,0.378
Cremallera de direccion asistida con holgura o fuga,SUSPENSION_CHASIS,40,10,15,15,5,28,0,8,15,17,37.4,10,92,589,0.394
Cuerpo de aceleracion o valvula IAC sucia,MOTOR,40,10,15,15,0,16,0,10,7,23,16.1,2,33,188,0.292
Degradacion o falla en paquete de bateria de alto voltaje (EV / Hibridos),ELECTRICO,40,10,15,15,10,29,0,5,21,14,41.8,12,119,630,0.377
Desgaste de pastillas y zapatas de freno,FRENOS,40,10,15,15,0,20,0,9,14,17,32.2,10,64,515,0.4
Desgaste en collarin de empuje o crapodina de embrague,TRANSMISION,40,10,15,15,0,26,0,11,13,16,36.9,11,119,537,0.364
Disco de embrague desgastado o patinando,TRANSMISION,40,10,15,15,1,18,0,10,13,17,35.6,10,107,568,0.399
Discos de freno alabeados o desgastados,FRENOS,40,10,15,15,0,20,0,9,14,17,35.8,12,78,556,0.388
Elevalunas electrico o guaya de alzacristales rota o trabada,CARROCERIA_NEUMATICA,40,10,15,15,3,16,13,0,27,0,32.6,9,55,559,0.429
Empaque de culata soplado o danado,MOTOR,40,10,15,15,5,25,0,9,10,21,24.7,9,42,384,0.389
Faja o cadena de distribucion destensada o con salto de punto,MOTOR,40,10,15,15,7,16,0,12,11,17,30.1,11,61,460,0.382
Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),MOTOR,40,10,15,15,13,24,0,12,12,16,34.8,13,75,501,0.36
Falla de descarbonizacion e inyeccion directa GDI (acumulacion de carbon en valvulas),MOTOR,40,10,15,15,6,22,0,11,12,17,31.8,12,66,484,0.381
Falla electrica del cierre centralizado o actuador de puerta,CARROCERIA_NEUMATICA,40,10,15,15,5,17,12,0,28,0,31.2,10,54,509,0.408
Falla en actuador de resorte o camara Maxi-Brake trabada (frenos de aire),CARROCERIA_NEUMATICA,40,10,15,15,0,19,13,0,27,0,35.9,9,71,559,0.389
