id,categoria,etiquetas,sintomas,diagnostico_principal,confianza
1,Combustible,"arranque_dificil,olor_gasolina,solo_en_caliente","Arranca bien en frío. Cuando está caliente y lo apago un rato, al volver a arrancar le cuesta mucho o no prende. Sale olor fuerte a gasolina.",Inyectores con fuga,0.92
2,Encendido,"vibracion,perdida_potencia,solo_en_caliente","Al acelerar arriba de 2200 rpm se siente temblor fuerte en el volante y en todo el auto. Más notorio cuando está caliente. No prende Check Engine.",Bobinas de encendido,0.89
3,Mecánica Motor,"vibracion,en_ralenti,consumo_alto","En semáforos el motor vibra mucho (baila). Al acelerar se quita. Consume más gasolina de lo normal.",Soportes de motor rotos,0.87
4,Transmisión / Embrague,"ruido","Al pisar el embrague se escucha un zumbido o ronroneo que desaparece al soltarlo. No cuesta meter las velocidades.",Rodamiento de embrague (thrust bearing),0.94
5,Combustible,"perdida_potencia,bajo_carga","Al acelerar fuerte en 1ra y 2da se ahoga un momento y luego pega un jalón. Más notorio con el tanque a la mitad o menos.",Bomba de combustible débil,0.88
6,Sensores,"tironeo,check_engine,en_carretera","En carretera a 100-110 km/h el motor tironea de repente y se recupera. A veces se apaga el aire acondicionado. Check Engine intermitente.",Sensor MAF sucio o fallando,0.85
7,Sensores,"se_apaga,en_ralenti","Se apaga en los semáforos o cuando freno. Arranca de nuevo sin problema. No prende Check Engine.",Válvula IAC sucia o fallando,0.90
8,Suspensión / Dirección,"ruido,solo_en_frio","Al girar el volante se escucha un chillido, especialmente en frío. La dirección se siente pesada a veces.",Bomba de dirección hidráulica,0.91
9,Escape / Emisiones,"perdida_potencia,consumo_alto,check_engine","Pierde potencia de forma gradual, se siente pesado al acelerar y el consumo subió mucho. Check Engine encendido.",Catalizador tapado,0.86
10,Mecánica Motor,"ruido,solo_en_frio","Al arrancar en las mañanas hace un ruido metálico fuerte unos segundos y luego desaparece.",Tensor o cadena de distribución estirada,0.83
11,Encendido,"check_engine,falla_cilindro,en_ralenti","Check Engine encendido. El motor se siente inestable en ralentí y a veces falla un cilindro.",Bobina de encendido (cilindro específico),0.94
12,Sensores,"humo_negro,consumo_alto,check_engine","Al acelerar fuerte sale humo negro por el escape y el auto se siente ahogado. Consumo excesivo. Check Engine encendido.",Sensor de oxígeno fallando,0.88
