id,id_grupo,clase_objetivo,nivel_informacion,source_dataset,texto_usuario,tipo_lenguaje_anterior,tipo_lenguaje_nuevo
F10-L09-0121,G-09-50-01,Fallo en inversor de corriente IGBT o motor electrico (EV),L1,dataset_fase10_lote_09.csv,El carro electrico perdio fuerza de golpe y no quiere acelerar.,COLOQUIAL,COTIDIANO
F10-L09-0122,G-09-50-02,Fallo en inversor de corriente IGBT o motor electrico (EV),L1,dataset_fase10_lote_09.csv,Me sale una advertencia en el tablero del EV y se apago el motor.,COLOQUIAL,COTIDIANO
F10-L09-0123,G-09-50-03,Fallo en inversor de corriente IGBT o motor electrico (EV),L1,dataset_fase10_lote_09.csv,Siento un tiron fuerte y el vehiculo electrico ya no avanza nada.,COLOQUIAL,COTIDIANO
F10-L09-0124,G-09-50-04,Fallo en inversor de corriente IGBT o motor electrico (EV),L1,dataset_fase10_lote_09.csv,En el tablero me prendio un triangulo amarillo con signo de exclamacion en mi auto electrico.,COLOQUIAL,COTIDIANO
F10-L09-0125,G-09-50-05,Fallo en inversor de corriente IGBT o motor electrico (EV),L1,dataset_fase10_lote_09.csv,Iba manejando y de pronto se corto la traccion por completo.,COLOQUIAL,COTIDIANO
F10-L09-0126,G-09-50-06,Fallo en inversor de corriente IGBT o motor electrico (EV),L1,dataset_fase10_lote_09.csv,El coche electrico no responde al pedal del acelerador.,COLOQUIAL,COTIDIANO
F10-L09-0127,G-09-50-07,Fallo en inversor de corriente IGBT o motor electrico (EV),L1,dataset_fase10_lote_09.csv,Aparecio un aviso de comprobar sistema hibrido y no se mueve.,COLOQUIAL,COTIDIANO
F10-L09-0129,G-09-50-09,Fallo en inversor de corriente IGBT o motor electrico (EV),L1,dataset_fase10_lote_09.csv,El carro electrico hace un chillido agudo al intentar avanzar y se bloquea.,COLOQUIAL,COTIDIANO
F10-L09-0130,G-09-50-10,Fallo en inversor de corriente IGBT o motor electrico (EV),L1,dataset_fase10_lote_09.csv,"No entra la marcha en mi carro a baterias, se queda neutral.",COLOQUIAL,COTIDIANO
F10-L09-0132,G-09-50-12,Fallo en inversor de corriente IGBT o motor electrico (EV),L2,dataset_fase10_lote_09.csv,"En plena autopista sono una detonacion leve bajo el capot frontal y el auto electrico perdio propulsion de golpe, tablero indica fallo de sistema motriz con luz READY parpadeando.",COLOQUIAL,COTIDIANO
F10-L09-0161,G-09-51-01,Foco o falla en sistema de refrigeracion de bateria/inversor (EV),L1,dataset_fase10_lote_09.csv,El ventilador del carro hibrido suena fuertisimo atras todo el tiempo.,COLOQUIAL,COTIDIANO
F10-L09-0162,G-09-51-02,Foco o falla en sistema de refrigeracion de bateria/inversor (EV),L1,dataset_fase10_lote_09.csv,Se prendio un foco de temperatura en mi carro hibrido y pierde fuerza.,COLOQUIAL,COTIDIANO
F10-L09-0163,G-09-51-03,Foco o falla en sistema de refrigeracion de bateria/inversor (EV),L1,dataset_fase10_lote_09.csv,Me salio una alerta de sobrecalentamiento del sistema electrico.,COLOQUIAL,COTIDIANO
F10-L09-0164,G-09-51-04,Foco o falla en sistema de refrigeracion de bateria/inversor (EV),L1,dataset_fase10_lote_09.csv,El auto electrico no quiere cargar rapido porque dice que esta caliente.,COLOQUIAL,COTIDIANO
