﻿id,tipo_caso,texto_ingresado,ground_truth,top1_predicho,confianza_top1,top2_predicho,top3_predicho,macro_esperado,macro_predicho,rango_confianza,es_error_alta_confianza,origen_tecnico,analisis_causa
STRESS_07,TECNICO,"Al someter a carga el tren motriz en pendiente ascendente en cuarta marcha, las RPM del motor se incrementan súbitamente de 2000 a 4200 RPM sin incremento proporcional en la velocidad lineal del vehículo.",Disco de embrague desgastado o patinando,Falla en motor de arranque o solenoide defectuoso (clac seco o carbones gastados),0.7799,Fallo en inversor de corriente IGBT o motor electrico (EV),Falla en filtro de particulas DPF / FAP y sistema AdBlue DEF (Diesel Euro 5/6),TRANSMISION,ELECTRICO,>=75%,SI,VOCABULARIO,La descripción de 'RPM se incrementan súbitamente sin avanzar' activó falsamente 'Falla en motor de arranque' por pesos de tokens 'arranque/revoluciones' sobre embrague.
STRESS_08,TECNICO,El motor presenta fluctuación cíclica de ralentí entre 550 y 1150 RPM en vacío. Inspección con boroscopio muestra acumulación excesiva de carbonilla aceitosa en el cuerpo de mariposa y conducto de aire de derivación.,Cuerpo de aceleracion o valvula IAC sucia,Falla de descarbonizacion e inyeccion directa GDI (acumulacion de carbon en valvulas),0.6939,Cuerpo de aceleracion o valvula IAC sucia,Fugas de aire o fallos en el sistema de frenos neumático (Camiones),MOTOR,MOTOR,50-74.99%,NO,CLASES MUY PARECIDAS,Los términos 'carbonilla aceitosa' y 'mariposa' provocaron que el vectorizador prefiriera 'Falla de descarbonización GDI' en vez de 'Cuerpo de aceleración / IAC'.
STRESS_11,COLOQUIAL,"cada vez que piso el acelerador para adelantar a un camión el motor pierde fuerza, se atraca y empieza a cabecear bien feo",Falla en bujias o bobinas de encendido (misfire),Pendiente de comparar el modo de combustible,0.0000,N/A,N/A,MOTOR,MOTOR,<50%,NO,VOCABULARIO,"Tokens coloquiales 'adelantar a un camión', 'atracar' y 'cabecear' desviaron el clasificador a una regla interna de combustible provisional."
STRESS_12,COLOQUIAL,"por las mañanas el carro no quiere prender a la primera, tengo que darle arranque tres o cuatro veces bombeando para que recién tosa y encienda",Bomba de gasolina quemada o con baja presion,Falla en motor de arranque o solenoide defectuoso (clac seco o carbones gastados),0.8626,Bateria descargada o bornes sulfatados,Falla en bombin o bomba hidraulica de embrague,MOTOR,ELECTRICO,>=75%,SI,CALIBRACIÓN,"La frase coloquial 'dar arranque tres o cuatro veces' concentró el 86.26% de probabilidad en motor de arranque, ignorando el síntoma de fondo (bomba de gasolina)."
STRESS_22,AMBIGUO,el carro no arranca cuando le doy a la llave,Bateria descargada o bornes sulfatados,Auto-pregunta técnica de descarte enviada,0.5355,Bateria descargada o bornes sulfatados,Bomba de gasolina quemada o con baja presion,ELECTRICO,ELECTRICO,50-74.99%,NO,AMBIGÜEDAD REAL,El sistema detectó baja certidumbre/síntoma difuso y activó la salvaguarda de clarificación en vez de inventar un diagnóstico.
STRESS_23,AMBIGUO,siento que el carro vibra cuando voy manejando,Llantas desbalanceadas o desalineadas,Consulta Ambigua / Datos Faltantes,0.0000,N/A,N/A,SUSPENSION_CHASIS,SUSPENSION_CHASIS,<50%,NO,AMBIGÜEDAD REAL,El sistema detectó baja certidumbre/síntoma difuso y activó la salvaguarda de clarificación en vez de inventar un diagnóstico.
STRESS_24,AMBIGUO,el motor ha perdido potencia y no jala como antes,Inyectores sucios o filtro de combustible obstruido,Falla en bujias o bobinas de encendido (misfire),0.5528,Inyectores sucios o filtro de combustible obstruido,Falla en actuador de turbocompresor o VGT en motores alemanes TSI / TFSI,MOTOR,MOTOR,50-74.99%,NO,AMBIGÜEDAD REAL,El síntoma descrito es genérico y compatible con múltiples componentes automotrices simultáneos.
STRESS_25,AMBIGUO,se escucha un zumbido raro adelante cuando avanzo,Rodamiento de maza o rodaje de rueda picado (zumbido de rodadura),Bomba de gasolina quemada o con baja presion,0.8328,Falla en compresor de aire acondicionado o fuga de gas R134a,Faja o cadena de distribucion destensada o con salto de punto,SUSPENSION_CHASIS,MOTOR,>=75%,SI,CALIBRACIÓN,"Sobre-ponderación léxica de tokens aislados en consulta inespecífica, asignando certidumbre elevada sin evidencia suficiente."
STRESS_29,AMBIGUO,el carro pega unos tirones o sacudidas de repente cuando acelero,Falla en bujias o bobinas de encendido (misfire),Inyectores sucios o filtro de combustible obstruido,0.9755,Empaque de culata soplado o danado,Fuga en mangueras de intercooler o turbocompresor danado,MOTOR,MOTOR,>=75%,SI,CALIBRACIÓN,"Sobre-ponderación léxica de tokens aislados en consulta inespecífica, asignando certidumbre elevada sin evidencia suficiente."
STRESS_30,AMBIGUO,se siente un fuerte olor a gasolina por momentos cerca del motor,Falla en sistema de control de emisiones evaporativas EVAP (canister o valvula de purga),Auto-pregunta técnica de descarte enviada,0.4732,Falla en sensor de oxigeno o mezcla rica,Falla en bujias o bobinas de encendido (misfire),MOTOR,MOTOR,<50%,NO,AMBIGÜEDAD REAL,El sistema detectó baja certidumbre/síntoma difuso y activó la salvaguarda de clarificación en vez de inventar un diagnóstico.
