sintoma_fuente_ingles,categoria_fuente,subcategoria_fuente,codigo_canonico_propuesto,decision,traduccion_espanol_validada,validado_por_mecanico,observaciones_revision,doi_fuente,licencia,sintoma_es_peru_candidato,estado_traduccion
ABS warning light on,ABS System,ABS Control Module,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0,La luz de advertencia del ABS permanece encendida,PENDIENTE_VALIDACION_MECANICO
Brake pedal pulsation,ABS System,ABS Control Module,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0,El pedal de freno pulsa al frenar,PENDIENTE_VALIDACION_MECANICO
ABS light stays on,ABS System,ABS Wheel Speed Sensor,FRENO_005,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0,La luz de ABS permanece encendida,PENDIENTE_VALIDACION_MECANICO
Erratic speedometer,ABS System,ABS Wheel Speed Sensor,FRENO_005,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0,El velocímetro marca de forma errática,PENDIENTE_VALIDACION_MECANICO
Spongy brake pedal,ABS System,Brake Booster,FRENO_004,REQUIERE_REVISION_AMBIGUEDAD,,NO,,10.5281/zenodo.15626055,CC BY 4.0,El pedal de freno se siente esponjoso,PENDIENTE_VALIDACION_MECANICO
Hard brake pedal,ABS System,Brake Booster,FRENO_004,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0,El pedal de freno está duro,PENDIENTE_VALIDACION_MECANICO
Brake pulling to one side,ABS System,Brake Caliper,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0,El vehículo jala hacia un lado al frenar,PENDIENTE_VALIDACION_MECANICO
Brake dragging,ABS System,Brake Caliper,,REQUIERE_NUEVA_CLASE_O_DESCARTE,,NO,,10.5281/zenodo.15626055,CC BY 4.0,El freno queda frenado o pegado,PENDIENTE_VALIDACION_MECANICO
Brake fluid leak,ABS System,Brake Hose,FRENO_002,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0,Hay fuga de líquido de frenos,PENDIENTE_VALIDACION_MECANICO
Soft brake pedal,ABS System,Brake Hose,FRENO_002,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0,El pedal de freno está demasiado suave,PENDIENTE_VALIDACION_MECANICO
Spongy brake pedal,ABS System,Brake Master Cylinder,FRENO_002,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0,El pedal de freno se siente esponjoso,PENDIENTE_VALIDACION_MECANICO
Brake fluid leaks,ABS System,Brake Master Cylinder,FRENO_002,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0,Hay fugas de líquido de frenos,PENDIENTE_VALIDACION_MECANICO
Squealing brakes,ABS System,Brake Pad,FRENO_001,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0,Los frenos chillan al frenar,PENDIENTE_VALIDACION_MECANICO
Brake pedal pulsation,ABS System,Brake Pad,FRENO_001,REQUIERE_REVISION_AMBIGUEDAD,,NO,,10.5281/zenodo.15626055,CC BY 4.0,El pedal de freno pulsa al frenar,PENDIENTE_VALIDACION_MECANICO
Brake pedal pulsation,ABS System,Brake Rotor,FRENO_003,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0,El pedal de freno pulsa al frenar,PENDIENTE_VALIDACION_MECANICO
Steering wheel vibration,ABS System,Brake Rotor,FRENO_003,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0,El timón vibra,PENDIENTE_VALIDACION_MECANICO
Spongy brake pedal,ABS System,Brake Shoe & Drum,FRENO_001,REQUIERE_REVISION_AMBIGUEDAD,,NO,,10.5281/zenodo.15626055,CC BY 4.0,El pedal de freno se siente esponjoso,PENDIENTE_VALIDACION_MECANICO
Brake dragging,ABS System,Brake Shoe & Drum,FRENO_001,MAPEO_PROPUESTO,,NO,,10.5281/zenodo.15626055,CC BY 4.0,El freno queda frenado o pegado,PENDIENTE_VALIDACION_MECANICO
