item_id,class,proposed_content,reason_blocked,missing_source,safety_risk,OEM_dependency,future_action
BLK_001_CHG-001,Corregir atributo falla y sistema en RAG_PROC_047,Procedimientos o valores universales no soportados por manual técnico trazable,Clasificación Reconciliación: A — RESPALDADO / E — CAMBIO ESTRUCTURAL. Falta de fuente documental primaria verificable.,Manual de Taller de Fabricante (OEM Service Manual) con ISBN / Depósito Legal,MEDIO,SI,Incorporar en Fase posterior únicamente cuando se disponga de manual OEM con licencia autorizada.
BLK_002_CHG-002,Corregir atributo falla y sistema en RAG_PROC_060,Procedimientos o valores universales no soportados por manual técnico trazable,Clasificación Reconciliación: A — RESPALDADO / E — CAMBIO ESTRUCTURAL. Falta de fuente documental primaria verificable.,Manual de Taller de Fabricante (OEM Service Manual) con ISBN / Depósito Legal,MEDIO,SI,Incorporar en Fase posterior únicamente cuando se disponga de manual OEM con licencia autorizada.
BLK_003_CHG-003,Corregir atributo falla en RAG_PROC_061,Procedimientos o valores universales no soportados por manual técnico trazable,Clasificación Reconciliación: B — PARCIALMENTE RESPALDADO / E — CAMBIO ESTRUCTURAL. Falta de fuente documental primaria verificable.,Manual de Taller de Fabricante (OEM Service Manual) con ISBN / Depósito Legal,MEDIO,SI,Incorporar en Fase posterior únicamente cuando se disponga de manual OEM con licencia autorizada.
BLK_004_CHG-004,Corregir atributo falla y sistema en RAG_PROC_067,Procedimientos o valores universales no soportados por manual técnico trazable,Clasificación Reconciliación: A — RESPALDADO / E — CAMBIO ESTRUCTURAL. Falta de fuente documental primaria verificable.,Manual de Taller de Fabricante (OEM Service Manual) con ISBN / Depósito Legal,MEDIO,SI,Incorporar en Fase posterior únicamente cuando se disponga de manual OEM con licencia autorizada.
BLK_005_CHG-005,Corregir atributo falla en RAG_PROC_075,Procedimientos o valores universales no soportados por manual técnico trazable,Clasificación Reconciliación: A — RESPALDADO / E — CAMBIO ESTRUCTURAL. Falta de fuente documental primaria verificable.,Manual de Taller de Fabricante (OEM Service Manual) con ISBN / Depósito Legal,MEDIO,SI,Incorporar en Fase posterior únicamente cuando se disponga de manual OEM con licencia autorizada.
BLK_006_CHG-006,Corregir atributo falla en RAG_PROC_109,Procedimientos o valores universales no soportados por manual técnico trazable,Clasificación Reconciliación: A — RESPALDADO / E — CAMBIO ESTRUCTURAL. Falta de fuente documental primaria verificable.,Manual de Taller de Fabricante (OEM Service Manual) con ISBN / Depósito Legal,MEDIO,SI,Incorporar en Fase posterior únicamente cuando se disponga de manual OEM con licencia autorizada.
BLK_007_CHG-007,Reclasificar RAG_PROC_113 a SUSPENSION_CHASIS transversal,Procedimientos o valores universales no soportados por manual técnico trazable,Clasificación Reconciliación: A — RESPALDADO / E — CAMBIO ESTRUCTURAL. Falta de fuente documental primaria verificable.,Manual de Taller de Fabricante (OEM Service Manual) con ISBN / Depósito Legal,MEDIO,SI,Incorporar en Fase posterior únicamente cuando se disponga de manual OEM con licencia autorizada.
BLK_008_CHG-008,Corregir atributo falla en RAG_PROC_114,Procedimientos o valores universales no soportados por manual técnico trazable,Clasificación Reconciliación: A — RESPALDADO / E — CAMBIO ESTRUCTURAL. Falta de fuente documental primaria verificable.,Manual de Taller de Fabricante (OEM Service Manual) con ISBN / Depósito Legal,MEDIO,SI,Incorporar en Fase posterior únicamente cuando se disponga de manual OEM con licencia autorizada.
BLK_009_CHG-009,Corregir atributo falla y sistema en RAG_PROC_142,Procedimientos o valores universales no soportados por manual técnico trazable,Clasificación Reconciliación: A — RESPALDADO / E — CAMBIO ESTRUCTURAL. Falta de fuente documental primaria verificable.,Manual de Taller de Fabricante (OEM Service Manual) con ISBN / Depósito Legal,MEDIO,SI,Incorporar en Fase posterior únicamente cuando se disponga de manual OEM con licencia autorizada.
BLK_010_CHG-010,Corregir atributo falla en RAG_PROC_154,Procedimientos o valores universales no soportados por manual técnico trazable,Clasificación Reconciliación: A — RESPALDADO / E — CAMBIO ESTRUCTURAL. Falta de fuente documental primaria verificable.,Manual de Taller de Fabricante (OEM Service Manual) con ISBN / Depósito Legal,MEDIO,SI,Incorporar en Fase posterior únicamente cuando se disponga de manual OEM con licencia autorizada.
