id,clase_objetivo,macro_sistema,nivel_informacion,dtc,es_sintactico,significado,compatible_con_clase
F10L01_0014,Falla en bujias o bobinas de encendido (misfire),MOTOR,L2,P0300,SI,Fallo de encendido múltiple / aleatorio detectado,SI
F10L01_0022,Falla en bujias o bobinas de encendido (misfire),MOTOR,L2,P0301,SI,Fallo de encendido detectado en cilindro 1,SI
F10L01_0026,Falla en bujias o bobinas de encendido (misfire),MOTOR,L3,P0300,SI,Fallo de encendido múltiple / aleatorio detectado,SI
F10L01_0028,Falla en bujias o bobinas de encendido (misfire),MOTOR,L3,P0302,SI,Fallo de encendido detectado en cilindro 2,SI
F10L01_0031,Falla en bujias o bobinas de encendido (misfire),MOTOR,L3,P0301,SI,Fallo de encendido detectado en cilindro 1,SI
F10L01_0033,Falla en bujias o bobinas de encendido (misfire),MOTOR,L3,P0303,SI,Fallo de encendido detectado en cilindro 3,SI
F10L01_0037,Falla en bujias o bobinas de encendido (misfire),MOTOR,L3,P0304,SI,Fallo de encendido detectado en cilindro 4,SI
F10L01_0040,Falla en bujias o bobinas de encendido (misfire),MOTOR,L3,P0300,SI,Fallo de encendido múltiple / aleatorio detectado,SI
F10L01_0145,Falla en sensor de oxigeno o mezcla rica,MOTOR,L2,P0172,SI,Sistema demasiado rico (Banco 1),SI
F10L01_0147,Falla en sensor de oxigeno o mezcla rica,MOTOR,L3,P0172,SI,Sistema demasiado rico (Banco 1),SI
F10L01_0155,Falla en sensor de oxigeno o mezcla rica,MOTOR,L3,P0172,SI,Sistema demasiado rico (Banco 1),SI
F10L01_0160,Falla en sensor de oxigeno o mezcla rica,MOTOR,L3,P0172,SI,Sistema demasiado rico (Banco 1),SI
F10-L02-0026,Empaque de culata soplado o danado,MOTOR,L3,P0217,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L02-0027,Empaque de culata soplado o danado,MOTOR,L3,P0303,SI,Fallo de encendido detectado en cilindro 3,SI
F10-L02-0034,Empaque de culata soplado o danado,MOTOR,L3,P0217,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L02-0035,Empaque de culata soplado o danado,MOTOR,L3,P0300,SI,Fallo de encendido múltiple / aleatorio detectado,SI
F10-L02-0040,Empaque de culata soplado o danado,MOTOR,L3,P0217,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L02-0053,Falla en termostato o motoventilador de radiador,MOTOR,L2,P0128,SI,Termostato de refrigerante por debajo de temperatura de regulación,SI
F10-L02-0058,Falla en termostato o motoventilador de radiador,MOTOR,L2,P0128,SI,Termostato de refrigerante por debajo de temperatura de regulación,SI
F10-L02-0063,Falla en termostato o motoventilador de radiador,MOTOR,L2,P0480,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L02-0066,Falla en termostato o motoventilador de radiador,MOTOR,L3,P0480,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L02-0068,Falla en termostato o motoventilador de radiador,MOTOR,L3,P0128,SI,Termostato de refrigerante por debajo de temperatura de regulación,SI
F10-L02-0071,Falla en termostato o motoventilador de radiador,MOTOR,L3,P0217,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L02-0072,Falla en termostato o motoventilador de radiador,MOTOR,L3,P0480,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L02-0074,Falla en termostato o motoventilador de radiador,MOTOR,L3,P0128,SI,Termostato de refrigerante por debajo de temperatura de regulación,SI
F10-L02-0078,Falla en termostato o motoventilador de radiador,MOTOR,L3,P0217,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L02-0079,Falla en termostato o motoventilador de radiador,MOTOR,L3,P0128,SI,Termostato de refrigerante por debajo de temperatura de regulación,SI
F10-L02-0142,Consumo de aceite por desgaste de anillos o retenes,MOTOR,L2,P0420,SI,Eficiencia del sistema catalizador por debajo del umbral (Banco 1),SI
F10-L02-0149,Consumo de aceite por desgaste de anillos o retenes,MOTOR,L3,P0300,SI,Fallo de encendido múltiple / aleatorio detectado,SI
F10-L02-0153,Consumo de aceite por desgaste de anillos o retenes,MOTOR,L3,P0420,SI,Eficiencia del sistema catalizador por debajo del umbral (Banco 1),SI
F10-L02-0178,Baja presion de aceite o bomba de aceite defectuosa,MOTOR,L2,P0524,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L02-0186,Baja presion de aceite o bomba de aceite defectuosa,MOTOR,L3,P0524,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L02-0188,Baja presion de aceite o bomba de aceite defectuosa,MOTOR,L3,P0524,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L02-0195,Baja presion de aceite o bomba de aceite defectuosa,MOTOR,L3,P0524,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L03-0014,Faja o cadena de distribucion destensada o con salto de punto,MOTOR,L2,P0016,SI,Correlación de posición cigüeñal y árbol de levas (Banco 1 Sensor A),SI
F10-L03-0026,Faja o cadena de distribucion destensada o con salto de punto,MOTOR,L3,P0016,SI,Correlación de posición cigüeñal y árbol de levas (Banco 1 Sensor A),SI
F10-L03-0029,Faja o cadena de distribucion destensada o con salto de punto,MOTOR,L3,P0017,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L03-0030,Faja o cadena de distribucion destensada o con salto de punto,MOTOR,L3,P0016,SI,Correlación de posición cigüeñal y árbol de levas (Banco 1 Sensor A),SI
F10-L03-0034,Faja o cadena de distribucion destensada o con salto de punto,MOTOR,L3,P0016,SI,Correlación de posición cigüeñal y árbol de levas (Banco 1 Sensor A),SI
F10-L03-0037,Faja o cadena de distribucion destensada o con salto de punto,MOTOR,L3,P0016,SI,Correlación de posición cigüeñal y árbol de levas (Banco 1 Sensor A),SI
F10-L03-0040,Faja o cadena de distribucion destensada o con salto de punto,MOTOR,L3,P0016,SI,Correlación de posición cigüeñal y árbol de levas (Banco 1 Sensor A),SI
F10-L03-0052,Falla en sistema de sincronizacion variable de valvulas (VVT / VVT-i / Valvetronic),MOTOR,L2,P0011,SI,Posición de árbol de levas Banco 1 demasiado avanzado,SI
F10-L03-0055,Falla en sistema de sincronizacion variable de valvulas (VVT / VVT-i / Valvetronic),MOTOR,L2,P0012,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L03-0056,Falla en sistema de sincronizacion variable de valvulas (VVT / VVT-i / Valvetronic),MOTOR,L2,P0014,SI,Posición árbol de levas escape Banco 1 sincronización avanzada,SI
F10-L03-0058,Falla en sistema de sincronizacion variable de valvulas (VVT / VVT-i / Valvetronic),MOTOR,L2,P0011,SI,Posición de árbol de levas Banco 1 demasiado avanzado,SI
F10-L03-0065,Falla en sistema de sincronizacion variable de valvulas (VVT / VVT-i / Valvetronic),MOTOR,L2,P0011,SI,Posición de árbol de levas Banco 1 demasiado avanzado,SI
F10-L03-0066,Falla en sistema de sincronizacion variable de valvulas (VVT / VVT-i / Valvetronic),MOTOR,L3,P0011,SI,Posición de árbol de levas Banco 1 demasiado avanzado,SI
F10-L03-0067,Falla en sistema de sincronizacion variable de valvulas (VVT / VVT-i / Valvetronic),MOTOR,L3,P0012,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L03-0068,Falla en sistema de sincronizacion variable de valvulas (VVT / VVT-i / Valvetronic),MOTOR,L3,P0014,SI,Posición árbol de levas escape Banco 1 sincronización avanzada,SI
F10-L03-0070,Falla en sistema de sincronizacion variable de valvulas (VVT / VVT-i / Valvetronic),MOTOR,L3,P0016,SI,Correlación de posición cigüeñal y árbol de levas (Banco 1 Sensor A),SI
F10-L03-0073,Falla en sistema de sincronizacion variable de valvulas (VVT / VVT-i / Valvetronic),MOTOR,L3,P0011,SI,Posición de árbol de levas Banco 1 demasiado avanzado,SI
F10-L03-0074,Falla en sistema de sincronizacion variable de valvulas (VVT / VVT-i / Valvetronic),MOTOR,L3,P0012,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L03-0076,Falla en sistema de sincronizacion variable de valvulas (VVT / VVT-i / Valvetronic),MOTOR,L3,P0011,SI,Posición de árbol de levas Banco 1 demasiado avanzado,SI
F10-L03-0077,Falla en sistema de sincronizacion variable de valvulas (VVT / VVT-i / Valvetronic),MOTOR,L3,P0012,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L03-0078,Falla en sistema de sincronizacion variable de valvulas (VVT / VVT-i / Valvetronic),MOTOR,L3,P0011,SI,Posición de árbol de levas Banco 1 demasiado avanzado,SI
F10-L03-0080,Falla en sistema de sincronizacion variable de valvulas (VVT / VVT-i / Valvetronic),MOTOR,L3,P0012,SI,Código OBD-II estándar de subsistema vehicular,SI
F10-L03-0096,Falla de descarbonizacion e inyeccion directa GDI (acumulacion de carbon en valvulas),MOTOR,L2,P0300,SI,Fallo de encendido múltiple / aleatorio detectado,SI
F10-L03-0103,Falla de descarbonizacion e inyeccion directa GDI (acumulacion de carbon en valvulas),MOTOR,L2,P0300,SI,Fallo de encendido múltiple / aleatorio detectado,SI
F10-L03-0106,Falla de descarbonizacion e inyeccion directa GDI (acumulacion de carbon en valvulas),MOTOR,L3,P0300,SI,Fallo de encendido múltiple / aleatorio detectado,SI
F10-L03-0108,Falla de descarbonizacion e inyeccion directa GDI (acumulacion de carbon en valvulas),MOTOR,L3,P0300,SI,Fallo de encendido múltiple / aleatorio detectado,SI
F10-L03-0113,Falla de descarbonizacion e inyeccion directa GDI (acumulacion de carbon en valvulas),MOTOR,L3,P0300,SI,Fallo de encendido múltiple / aleatorio detectado,SI
F10-L03-0120,Falla de descarbonizacion e inyeccion directa GDI (acumulacion de carbon en valvulas),MOTOR,L3,P0300,SI,Fallo de encendido múltiple / aleatorio detectado,SI
