review_id,system_candidate,bulletin_number,document_type,make,model,model_year,component,subsystem,text,source_file,source,license_review_status,technical_review_status,eligible_for_faiss,reviewer,observations
NHTSA-TSB-FRENOS-01,FRENOS,A4619162034143_7,Service Bulletin/Repair Instructions,AUDI,RS 5,2020,SERVICE BRAKES,,"This informational bulletin contains instructions for opening a TAC ticket for ceramic brake repairs. 2020-2021 RSQ8, 2017, 2019, 2021 TTRS",TSBS_RECEIVED_2020-2024.txt,NHTSA_TSB_PUBLIC_DATA,pending_license_review,pending_technical_review,NO,,
NHTSA-TSB-FRENOS-02,FRENOS,A9719692057768_2,Service Bulletin/Repair Instructions,AUDI,A7,2019,PARKING BRAKE,,"This bulletin contains repair instruction for parking brake malfunction, MMI is off or the screen is black with DTC C100C01, U105400, U10B800, U10E200, and/or U10CA00.",TSBS_RECEIVED_2020-2024.txt,NHTSA_TSB_PUBLIC_DATA,pending_license_review,pending_technical_review,NO,,
NHTSA-TSB-FRENOS-03,FRENOS,122-E5C9R-01,Service Bulletin/Repair Instructions,PORSCHE,MACAN,2019,SERVICE BRAKES,,Instructions for clearing a fault code for a temporary brake warning caused by vacuum actuation as a result of Porsche Stability Management.,TSBS_RECEIVED_2020-2024.txt,NHTSA_TSB_PUBLIC_DATA,pending_license_review,pending_technical_review,NO,,
NHTSA-TSB-FRENOS-04,FRENOS,SIL 735,Service Bulletin/Repair Instructions,ALTEC,SERVICE BODY,2018,"SERVICE BRAKES, HYDRAULIC",,"Altec discovered that during the installation of certain chipper body units on Ford F750 chassis that the chassis brake system may have had brake fluid added that can be incompatible with the original equipment manufacturer type fluid. The addition of a different brake fluid should not affect the braking ability of the chassis. However, mixing two types of brake fluid together is not recommended by Ford. Altec recommends that each affected unit have the brake fluid tested for contamination of two types of brake fluid. Customers can order Brake Fluid Analysis Kit, part number 990956561, to begin the analysis process. The customer will draw a brake fluid sample and ship the sample to a laboratory for the analysis in a prepaid envelope. The results of the analysis will be returned to Altec to be communicated to the customer for further action, if needed.",TSBS_RECEIVED_2020-2024.txt,NHTSA_TSB_PUBLIC_DATA,pending_license_review,pending_technical_review,NO,,
NHTSA-TSB-FRENOS-05,FRENOS,SRV-TSB-19-012,Service Bulletin/Repair Instructions,DUCATI,XDIAVEL S,2017,"SERVICE BRAKES, HYDRAULIC",,"CR186 - Rear Brake Hoses Check and Replace if req. - Applicability: XDiavel Model Year 2016-2020 (all models). This technical service bulletin provides dealers and service managers information about an identified potential for the rear brake application to soften over time as a result of normal use. The bulletin provides service instructions to replace the rear brake hoses, should the situation occur. It also provides affected VIN, parts, and warranty instructions. The bulletin document has been redacted for sensitive pricing information.",TSBS_RECEIVED_2020-2024.txt,NHTSA_TSB_PUBLIC_DATA,pending_license_review,pending_technical_review,NO,,
NHTSA-TSB-FRENOS-06,FRENOS,2052785/4,Service Bulletin/Repair Instructions,BENTLEY,ARNAGE R,2003,"SERVICE BRAKES, HYDRAULIC",,"Condition: Customer statement: Noise complaint from the braking system. Workshop findings: The noise can be reproduced and clearly assigned to the braking system. Technical Background Brake noises can be attributed to many causes. Eight of the most common causes are: 1. Brake discs or pads are close to their wear limit. 2. New brake pads and/or discs have not been properly bedded in after installation. 3. [VIN_REDACTED] pads or discs are installed. 4. There is debris such as small stones, grit, road salt or sand between the brake disc and pad. 5. Discs are covered in rust. Rust can form when the vehicle has been stationary for long periods of time (Figure 1). 6. Discs have a groove in them (Figure 2) 7. There is chemical contamination on the braking surface of the disc due to a wheel or tyre cleaner being sprayed directly onto the disc (Figure 3). 8. There are pad marks on the brake disc as a result of the brake pad material transferring to the discs. This can occur when a vehicle has been stood for long periods of time in a wet or snowy environment (Figure 4).",TSBS_RECEIVED_2020-2024.txt,NHTSA_TSB_PUBLIC_DATA,pending_license_review,pending_technical_review,NO,,
NHTSA-TSB-FRENOS-07,FRENOS,2042433/1,Service Bulletin/Repair Instructions,BENTLEY,MULSANNE,2013,"SERVICE BRAKES, HYDRAULIC",,"Technical product information: Instrument panel - diagnostic trouble code A00049/B200049 Customer statement / workshop findings: ABS and or Air Bag warning light illuminated with no associated text in the Drivers Instrument Panel Technical background: A software anomaly in the Instrument panel, warning light check function, may cause warning light illumination when no system fault is present. Measure: In the event of LED tell-tales illumination that may include ABS or Air Bag warning in the Drivers Instrument Panel and Diagnostic Trouble Code (DTC) A00049 and or B200049 is reported and that DTC will not clear using service diagnostic tool then replace the Drivers Instrument Panel Rep. Gr. 90 Drivers instrument panel (DIP) (J285) To remove and fit",TSBS_RECEIVED_2020-2024.txt,NHTSA_TSB_PUBLIC_DATA,pending_license_review,pending_technical_review,NO,,
NHTSA-TSB-FRENOS-08,FRENOS,2042924/1,Service Bulletin/Repair Instructions,BENTLEY,CONTINENTAL GT,2015,"SERVICE BRAKES, HYDRAULIC",,"New Continental GT/GTC And Flying Spur - Brake Pad Wear Indicator Customer statement / workshop findings: Brake Pad Wear Indicator warning illuminated on the Drivers Instrument Panel. Brake Pad Wear Indicator cable is damaged. Technical background: The rear Brake Pad Wear Indicator cable is not currently available as an individual service item. Measure: On complaint of the Brake Pad Wear Indicator illuminating on the Drivers Information Panel, check the thickness of the brake pad linings Refer to Gr.46. Check the thickness of the brake pads Wheels removed. If the brake pads are in a serviceable condition, inspect the Brake Pad Wear Indicator cables for damage. Damaged rear Brake Pad Wear Indicator cables should be replaced. Damaged front Brake Pad Wear Indicator cables will require [VIN_REDACTED] brake pads. Refer to Gr.46, Front Brake Pads To Remove and Refit.",TSBS_RECEIVED_2020-2024.txt,NHTSA_TSB_PUBLIC_DATA,pending_license_review,pending_technical_review,NO,,
NHTSA-TSB-FRENOS-09,FRENOS,2039351/1,Service Bulletin/Repair Instructions,BENTLEY,CONTINENTAL,2012,"SERVICE BRAKES, HYDRAULIC",,Brake Modulator replaced - Hill-start assist activation required (SC15/02) Technical background: The service tool used to code [VIN_REDACTED] control modules was not able to activate the hill-start assist function if the module responsible for that function was replaced Remedy: The latest Bentley service tool software has been updated to include the activation of hill start assist. The car four cars detailed in this document are known to have had this module replaced in service and will therefore require the feature activating. Following the procedure detailed in this document will enable the hill start assist feature,TSBS_RECEIVED_2020-2024.txt,NHTSA_TSB_PUBLIC_DATA,pending_license_review,pending_technical_review,NO,,
NHTSA-TSB-FRENOS-10,FRENOS,TDT-19-01,Service Bulletin/Repair Instructions,POLARIS,SLINGSHOT,2015,"SERVICE BRAKES, HYDRAULIC:FOUNDATION COMPONENTS:MASTER CYLINDER",,"Due to a vendor change, the clutch master cylinder (PN 24249817) used on the affected models listed above is no longer available and has been replaced with Kit 2208233.",TSBS_RECEIVED_2020-2024.txt,NHTSA_TSB_PUBLIC_DATA,pending_license_review,pending_technical_review,NO,,
