review_id,text,make,model,model_year,component_reported,candidate_label,content_type,text_quality,label_final,reviewer,review_status,confidence,observations
NHTSA-REV-001,"The contact owns a 2018 Ford F-150. The contact stated that while driving the vehicle at an undisclosed speed, the AC was being used at 70% power when suddenly, the AC no longer gave cool air and the airflow was weak. The contact stated this happens when he drives the vehicle longer than a 4 hour period. The vehicle was taken to a dealer where it could not be diagnosed due to no being able to duplicate the failure. The vehicle was not repaired. The manufacturer was not notified of the failure. The failure mileage was 21,000.",FORD,F-150,2018,VISIBILITY:DEFROSTER/DEFOGGER/HVAC SYSTEM:COMPRESSOR,CLIMATIZACION,general_complaint_candidate,general_symptom_description,,,pending_mechanical_review,,
NHTSA-REV-002,"The contact owns a 2022 Buick Encore. The contact stated that while driving at an undisclosed speed, the emissions warning light illuminated and hot air was coming from the A/C unit, despite the A/C cooling setting being activated. The vehicle was taken to a dealer, where it was diagnosed that the purge pump and an unknown part needed to be replaced, and loose bolts in the A/C caused Freon to leak. The vehicle was repaired. The manufacturer was notified of the failure and referred the contact to the NHTSA Hotline to report the failure. The failure mileage was approximately 28,586.",BUICK,ENCORE GX,2022,EQUIPMENT:APPLIANCE:AIR CONDITIONER,CLIMATIZACION,symptom_detail_candidate,high_symptom_detail,,,pending_mechanical_review,,
NHTSA-REV-003,"The contact owns a 2025 Toyota Rav4. The contact stated that while driving the vehicle at an undisclosed speed and activating the A/C, there was hot air coming from the vents. The dealer was contacted, and the contact was informed that the A/C condenser was damaged by an object, causing a refrigerant leak. The contact stated that the vehicle was sold with the pre-existing failure. The vehicle was repaired. The manufacturer was made aware of the failure. The failure mileage was approximately 556.",TOYOTA,RAV4,2025,VISIBILITY:DEFROSTER/DEFOGGER/HVAC SYSTEM:CONDENSOR/EVAPORATOR,CLIMATIZACION,symptom_detail_candidate,high_symptom_detail,,,pending_mechanical_review,,
NHTSA-REV-004,"The contact owns a 2018 Chrysler Pacifica. The contact stated while driving the vehicle at and undisclosed speed his heater is would not work, until the vehicle is fully moving and running. The contact stated he could hear a clicking Nosie coming from the engine bay and as well a decompression noise coming from inside the cabin. The contact stated that there was a check engine light illuminated. The vehicle taken to a dealer were it was diagnosed to need a new electric heater. The vehicle was not repaired. The manufacturer was made aware of the failure. The failure mileage was 134,350.",CHRYSLER,PACIFICA,2018,VISIBILITY:DEFROSTER/DEFOGGER/HVAC SYSTEM,CLIMATIZACION,symptom_detail_candidate,high_symptom_detail,,,pending_mechanical_review,,
NHTSA-REV-005,2nd time ac system stoppped working with 6000. Miles on it after 3rd time same problem it will be under lemon law,TOYOTA,GRAND HIGHLANDER,2026,VISIBILITY:DEFROSTER/DEFOGGER/HVAC SYSTEM,CLIMATIZACION,general_complaint_candidate,general_symptom_description,,,pending_mechanical_review,,
NHTSA-REV-006,"The contact owns a 2017 Chevrolet Spark. The contact stated that while the vehicle was parked or while driving at various speeds, the A/C was blowing out hot air. A dealer was contacted. The vehicle was taken to the dealer to be diagnosed, and the air conditioning hose was leaking and the condenser needed to be replaced. The vehicle was then taken to another dealer where it was diagnosed and determined that the freon was low and that the compressor needed to be replaced. The hoses and the condenser were replaced three times. The contact stated that the failures had occurred on several occasions. The manufacturer was notified of the failure and suggested that the vehicle be taken to the dealer to be repaired. The failure mileage was approximately 100,000.",CHEVROLET,SPARK,2017,VISIBILITY:DEFROSTER/DEFOGGER/HVAC SYSTEM:COMPRESSOR,CLIMATIZACION,general_complaint_candidate,general_symptom_description,,,pending_mechanical_review,,
NHTSA-REV-007,"The contact owns a 2019 Volvo XC90. The contact stated that while driving at various speeds and or while the vehicle was parked, the A/C unit became inoperable, and the defogger failed to clear the front windshield. The contact stated that the A/C was shifted to the MAX setting to operate as needed to defrost the windshield with an abnormal odor blowing through the vents. The vehicle was taken a dealer where it was diagnosed and determined that the front evaporator core needed to be replaced. The vehicle was repaired. The manufacturer was notified of the failure. The failure mileage was approximately 114,000.",VOLVO,XC90,2019,VISIBILITY:DEFROSTER/DEFOGGER/HVAC SYSTEM,CLIMATIZACION,general_complaint_candidate,general_symptom_description,,,pending_mechanical_review,,
NHTSA-REV-008,"The contact owns a 2026 TOYOTA Tacoma. The contact stated while driving the vehicle at an undisclosed speed, the AC went out. The vehicle was driven to a dealer where it was diagnosed to have a rock damage at the AC condenser. The contact stated that it is located in front of the grill which has no protection or cover on the condenser, allowing the issue to occurred again. The vehicle was not repaired. The manufacturer was notified of the failure. The failure mileage was 12,000.",TOYOTA,TACOMA,2026,VISIBILITY:DEFROSTER/DEFOGGER/HVAC SYSTEM:CONDENSOR/EVAPORATOR,CLIMATIZACION,general_complaint_candidate,general_symptom_description,,,pending_mechanical_review,,
NHTSA-REV-009,"The contact owns a 2021 Mazda CX-5. The contact stated that while driving approximately 50 MPH in an intense rainstorm, the windshield became foggy. The contact activated the HVAC system to clear the windshield, but only hot air was coming from the vents. The contact stated that the hot air made the foggy windshield worse. The contact used a towel to wipe the inside of the windshield. The contact had taken the vehicle to a local dealer; however, the failure was not duplicated. The vehicle was not repaired. The contact stated that the failure occurred during intense rainfall. The manufacturer was informed of the failure and referred the contact to the NHTSA Hotline to report the failure. The failure mileage was approximately 35,000.",MAZDA,CX-5,2021,VISIBILITY:DEFROSTER/DEFOGGER/HVAC SYSTEM,CLIMATIZACION,general_complaint_candidate,general_symptom_description,,,pending_mechanical_review,,
NHTSA-REV-010,"The contact owns a 2014 GMC Sierra 1500. While the contact's husband was driving at an undisclosed speed, the contact became aware that there was smoke coming from the rear window and the window shattered. The contact stated that the defroster was operating during the failure. The contact stated that the shattered glass had fallen on the contact's minor son, who was seated in the rear seat. The son had not sustained any injuries. The vehicle was not diagnosed or repaired by an independent mechanic or dealer. The dealer was made aware of the failure. The contact was informed that the repair was previously performed and covered under the warranty. The contact was informed that the current repair was not covered under warranty. The contact was advised to contact the NHTSA Hotline to report the failure. The manufacturer was not made aware of the failure. The failure mileage was approximately 156,800.",GMC,SIERRA 1500,2014,VISIBILITY:DEFROSTER/DEFOGGER/HVAC SYSTEM:REAR WINDOW,CLIMATIZACION,symptom_detail_candidate,high_symptom_detail,,,pending_mechanical_review,,
