id,synthetic_or_original,nivel_informacion,texto_usuario,clase_objetivo,pred_c1,in_top3_c1,conf_c1,dtc,macro_sistema,pred_macro_fix
ORIG-0209,ORIGINAL,ORIGINAL_NO_ESTRATIFICADO,sabes que bota humo garzo azulado al salir en primera al andar,Consumo de aceite por desgaste de anillos o retenes,Disco de embrague desgastado o patinando,False,0.9862,MOTOR_002,MOTOR,MOTOR
ORIG-0723,ORIGINAL,ORIGINAL_NO_ESTRATIFICADO,maestro una consulta las luces del carro van bajando de intensidad al andar en la pista,Alternador defectuoso o placa de diodos quemada,Rodamiento de maza o rodaje de rueda picado (zumbido de rodadura),False,0.9002,ELECTRICO_001,ELECTRICO,ELECTRICO
ORIG-1187,ORIGINAL,ORIGINAL_NO_ESTRATIFICADO,en la panamericana norte no da arranque solo hace click click,Bateria descargada o bornes sulfatados,Rodamiento de maza o rodaje de rueda picado (zumbido de rodadura),False,1.0,ELECTRICO_002,ELECTRICO,ELECTRICO
ORIG-1453,ORIGINAL,ORIGINAL_NO_ESTRATIFICADO,resulta que en mi carro timon duro para girar y suena zumbido al doblar,Cremallera de direccion asistida con holgura o fuga,Rodajes de caja mecanica o diferencial gastados,False,0.9905,SUSPENSION_003,SUSPENSION_CHASIS,SUSPENSION_CHASIS
ORIG-2609,ORIGINAL,ORIGINAL_NO_ESTRATIFICADO,mi auto brasilero presenta actuador electronico de turbo trabado,Falla en actuador de turbocompresor o VGT en motores alemanes TSI / TFSI,Caliper de freno trabado o mordaza pegada (piston agarrotado),False,0.8281,TURBO_002,MOTOR,MOTOR
ORIG-2921,ORIGINAL,ORIGINAL_NO_ESTRATIFICADO,"Amigo mi auto amanece descargado los lunes si no lo uso el domingo, pero el alternador carga perfecto a 14.3V cuando el motor está en marcha",Bateria descargada o bornes sulfatados,Fuga parasita de corriente en reposo (consumo nocturno de bateria),False,0.9923,,ELECTRICO,ELECTRICO
ORIG-3039,ORIGINAL,ORIGINAL_NO_ESTRATIFICADO,"Sonido de molienda y cascajo en neutro con motor encendido, suelto el embrague y empieza a zumbar el rodamiento del eje piloto",Rodajes de caja mecanica o diferencial gastados,Rodajes de transmision manual o eje primario gastados,False,0.8861,,TRANSMISION,TRANSMISION
ORIG-3071,ORIGINAL,ORIGINAL_NO_ESTRATIFICADO,La chapa centralizada se vuelve loca cerrando y abriendo sola continuamente mientras el auto va rodando por un bache,Falla electrica del cierre centralizado o actuador de puerta,Amortiguadores reventados o bujes de suspension gastados,False,0.8641,,CARROCERIA_NEUMATICA,SUSPENSION_CHASIS
ORIG-3077,ORIGINAL,ORIGINAL_NO_ESTRATIFICADO,Actuador de puerta trabado en posición cerrada que no permite abrir la puerta ni desde adentro ni desde afuera con la manija,Falla electrica del cierre centralizado o actuador de puerta,"Cerradura, chapa o pestillo mecanico de puerta trabado o desalineado",True,0.8189,,CARROCERIA_NEUMATICA,CARROCERIA_NEUMATICA
ORIG-3186,ORIGINAL,ORIGINAL_NO_ESTRATIFICADO,Al acelerar el alternador zumba fuerte como avión turbohélice por rodamiento delantero con pistas picadas,Alternador defectuoso o placa de diodos quemada,Rodajes de caja mecanica o diferencial gastados,False,0.923,,ELECTRICO,TRANSMISION
ORIG-3401,ORIGINAL,ORIGINAL_NO_ESTRATIFICADO,Trozos de jebe y fibras de la correa húmeda taparon la bomba de vacío de frenos dejando el pedal de freno durísimo,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),Falla en servofreno (booster) o linea de vacio,True,0.9812,,MOTOR,FRENOS
ORIG-3517,ORIGINAL,ORIGINAL_NO_ESTRATIFICADO,Fuga de refrigerante por la carcasa plástica del termostato pilotado que viaja por capilaridad mojando los pines de la ECU,Falla en termostato o motoventilador de radiador,Fuga en mangueras de refrigerante o radiador picado,True,0.9669,,MOTOR,MOTOR
ORIG-3539,ORIGINAL,ORIGINAL_NO_ESTRATIFICADO,"El motor da marcha vigorosa con el arrancador pero no enciende para nada, no hay pulso de inyección ni chispa con DTC P0335",Falla en bujias o bobinas de encendido (misfire),Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),True,0.9136,,MOTOR,MOTOR
ORIG-3542,ORIGINAL,ORIGINAL_NO_ESTRATIFICADO,Señal errática de sensor de cigüeñal de efecto Hall provocando explosiones falsas y cortes de inyección a 2500 RPM,Falla en bujias o bobinas de encendido (misfire),Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),False,0.9772,,MOTOR,MOTOR
ORIG-3652,ORIGINAL,ORIGINAL_NO_ESTRATIFICADO,"Ruido de 'uuuu' o aullido que aumenta con la velocidad, más fuerte en curva.",Rodajes de caja mecanica o diferencial gastados,Rodamiento de maza o rodaje de rueda picado (zumbido de rodadura),False,0.801,TRANSMISION_002,TRANSMISION,TRANSMISION
ORIG-3755,ORIGINAL,ORIGINAL_NO_ESTRATIFICADO,Consumo de gasolina muy elevado y olor a gasolina alrededor del auto. consumo alto olor gasolina,Falla en sensor de oxigeno o mezcla rica,Caliper de freno trabado o mordaza pegada (piston agarrotado),False,1.0,COMBUSTIBLE_004,MOTOR,MOTOR
ORIG-4063,ORIGINAL,ORIGINAL_NO_ESTRATIFICADO,Al frenar el auto se desvía hacia un lado. desvia lado,Fuga hidraulica o aire en el sistema de frenos,Llantas desbalanceadas o desalineadas,False,0.889,FRENO_002,FRENOS,FRENOS
ORIG-4088,ORIGINAL,ORIGINAL_NO_ESTRATIFICADO,Consumo de aceite sin humo azul evidente. consumo aceite sin humo,Consumo de aceite por desgaste de anillos o retenes,Fuga parasita de corriente en reposo (consumo nocturno de bateria),False,0.8775,MOTOR_002,MOTOR,MOTOR
ORIG-4336,ORIGINAL,ORIGINAL_NO_ESTRATIFICADO,"Quejido o chillido al girar el volante, más notorio en frío. quejido al girar",Cremallera de direccion asistida con holgura o fuga,Rodajes de caja mecanica o diferencial gastados,False,0.9919,SUSPENSION_003,SUSPENSION_CHASIS,SUSPENSION_CHASIS
ORIG-4527,ORIGINAL,ORIGINAL_NO_ESTRATIFICADO,Código de un cilindro específico y vibración (componente: Bobina),Falla en bujias o bobinas de encendido (misfire),Falla en actuador de resorte o camara Maxi-Brake trabada (frenos de aire),False,1.0,MOTOR_001,MOTOR,MOTOR
ORIG-5095,ORIGINAL,ORIGINAL_NO_ESTRATIFICADO,"Accent 2018 al acelerar a fondo se chupa y pega un jalon feo, presion de bomba insuficiente",Bomba de gasolina quemada o con baja presion,Sobrecalentamiento o solenoides en caja automatica CVT / DSG,False,0.9944,,MOTOR,MOTOR
ORIG-5138,ORIGINAL,ORIGINAL_NO_ESTRATIFICADO,"geometria de suspension delantera desalineada, llantas chillan al doblar a poca velocidad",Llantas desbalanceadas o desalineadas,Amortiguadores reventados o bujes de suspension gastados,True,0.8679,,SUSPENSION_CHASIS,SUSPENSION_CHASIS
ORIG-5150,ORIGINAL,ORIGINAL_NO_ESTRATIFICADO,Accent 2018 timon zapatea o vibra feo cada vez que aplico el freno a mas de 70 por hora,Discos de freno alabeados o desgastados,Llantas desbalanceadas o desalineadas,True,0.8695,,FRENOS,FRENOS
ORIG-5315,ORIGINAL,ORIGINAL_NO_ESTRATIFICADO,vibracion en el tren delantero unicamente bajo aceleracion en cuarta velocidad suelto gas y se calma,Juntas homocineticas o palieres danados,Llantas desbalanceadas o desalineadas,False,0.8345,SUS_002,SUSPENSION_CHASIS,SUSPENSION_CHASIS
F10L01_0042,SINTETICO,L1,Pierde fuerza en la subida.,Bomba de gasolina quemada o con baja presion,Falla en bujias o bobinas de encendido (misfire),True,0.9708,,MOTOR,MOTOR
F10L01_0049,SINTETICO,L1,El carro no responde al acelerar fuerte.,Bomba de gasolina quemada o con baja presion,Inyectores sucios o filtro de combustible obstruido,False,0.9802,,MOTOR,MOTOR
F10L01_0197,SINTETICO,L3,En los altos el motor baila un poco y las rpm no se quedan fijas. Al salir se siente normal. No hay falla de cilindro ni olor a gasolina.,Cuerpo de aceleracion o valvula IAC sucia,Falla en bujias o bobinas de encendido (misfire),True,0.8463,,MOTOR,MOTOR
F10-L02-0157,SINTETICO,L3,Prueba de hermeticidad con detector de fugas: cilindro 1 fuga 28% con soplido audible a través de la boca de llenado de aceite en la tapa de balancines. No hay soplido hacia el radiador ni hacia el múltiple de escape.,Consumo de aceite por desgaste de anillos o retenes,Perdida de compresion en cilindro por valvulas pisadas o anillos desgastados,False,0.8612,,MOTOR,MOTOR
F10-L03-0020,SINTETICO,L2,"Tensión de la correa de distribución por debajo de especificación con deflexión de más de 20 mm entre piñones de leva, causando marcha áspera.",Faja o cadena de distribucion destensada o con salto de punto,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),True,0.8476,,MOTOR,MOTOR
F10-L03-0037,SINTETICO,L3,Código P0340 y P0016. El motor arranca en modo de respaldo utilizando únicamente la señal del CKP tras 6 segundos de marcha continua. Se desmontó el frontal de la culata comprobando estiramiento de cadena del 2.5% superando el límite de servicio de 1.0%.,Faja o cadena de distribucion destensada o con salto de punto,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),True,0.8229,P0016,MOTOR,MOTOR
F10-L03-0089,SINTETICO,L1,"Buenas, me dijeron en el taller que a los motores turbo directos hay que descarbonizarlos.",Falla de descarbonizacion e inyeccion directa GDI (acumulacion de carbon en valvulas),Fuga en mangueras de intercooler o turbocompresor danado,False,0.8657,,MOTOR,MOTOR
F10-L03-0169,SINTETICO,L1,Bota humo azul espeso y se siente juego en la turbina del motor.,Fuga en mangueras de intercooler o turbocompresor danado,Consumo de aceite por desgaste de anillos o retenes,True,0.9616,,MOTOR,MOTOR
F10-L04-0002,SINTETICO,L1,"Hola, mi carro tiene motor 3 cilindros y siento que el pedal del freno se puso duro.",Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),Falla en servofreno (booster) o linea de vacio,True,0.8504,,MOTOR,FRENOS
F10-L04-0020,SINTETICO,L2,Ruido de zumbido agudo en la zona de distribución húmeda que aumenta con las rpm; el tensor automático llegó a tope por estiramiento del tejido de goma.,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),Faja o cadena de distribucion destensada o con salto de punto,True,0.9356,,MOTOR,MOTOR
F10-L04-0022,SINTETICO,L2,Código P0521 referente a rendimiento del sensor de presión de aceite; en caliente la presión cae a 8 psi en ralentí debido a taponamiento del colador de succión.,Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo),Baja presion de aceite o bomba de aceite defectuosa,True,0.9387,P0521,MOTOR,MOTOR
F10-L04-0089,SINTETICO,L1,"Buenas maestro, uso mi camioneta diésel solo para tramos cortitos y se ahoga.",Falla en filtro de particulas DPF / FAP y sistema AdBlue DEF (Diesel Euro 5/6),Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),True,0.8509,,MOTOR,MOTOR
F10-L05-0035,SINTETICO,L3,"DTC P0017 en motor VVT de 4 cilindros. Se verificó con manómetro hidráulico que la presión de aceite llega a 45 psi a los variadores y el solenoide OCV actúa linealmente. Al intercambiar los sensores CMP de admisión y escape el código migró a P0016, comprobándose que la falla residía en el sensor Hall y no en el sistema mecánico de avance variable.",Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),Falla en sistema de sincronizacion variable de valvulas (VVT / VVT-i / Valvetronic),False,0.9361,P0017,MOTOR,MOTOR
F10-L05-0062,SINTETICO,L2,El sensor de presión del tanque de combustible FTP reporta voltaje fijo de 4.8V; el módulo PCM no puede ejecutar la prueba automática de estanqueidad nocturna.,Falla en sistema de control de emisiones evaporativas EVAP (canister o valvula de purga),Falla en modulo de bomba de gasolina FSCM / PEM (Ford / Chevrolet),True,0.8991,,MOTOR,MOTOR
