sintoma,falla
siento un chillido feo al frenar el carro,Pastillas de freno desgastadas
el carro chilla bien feo cuando piso el freno,Pastillas de freno desgastadas
suena como lija en las ruedas al frenar despacio,Pastillas de freno desgastadas
el freno hace un chirrido agudo en las bajadas,Pastillas de freno desgastadas
chillido metalico en las llantas delanteras al frenar,Pastillas de freno desgastadas
las pastillas suena feo al detener la caña,Pastillas de freno desgastadas
chillido agudo al parar en el semaforo,Pastillas de freno desgastadas
freno y chilla fuerte como fierro con fierro,Pastillas de freno desgastadas
freno y suena feo como chirrido metalico en la rueda,Pastillas de freno desgastadas
chillido de freno al detener la camioneta,Pastillas de freno desgastadas
pastillas del freno gastadas y chilla al parar,Pastillas de freno desgastadas
suena chillido fuerte al apretar el pedal de freno,Pastillas de freno desgastadas
rozamiento de pastilla con el disco al frenar despacio,Pastillas de freno desgastadas
las pastillas de freno sacan polvillo negro y chilla al detenerse,Pastillas de freno desgastadas
chirrido de fierro en las cuatro ruedas al frenar en la esquina,Pastillas de freno desgastadas
chilla la llanta cada vez que toco el pedal de freno,Pastillas de freno desgastadas
pastillas cristalizadas o gastadas chirrian al frenar,Pastillas de freno desgastadas
ruido agudo chillido de freno al reducir velocidad,Pastillas de freno desgastadas
el pedal de freno se va hasta el fondo y se siente esponjoso,Fuga de liquido de frenos o aire en el sistema
el freno esta muy largo y no frena bien el auto,Fuga de liquido de frenos o aire en el sistema
tengo que bombear el freno para que agarre la caña,Fuga de liquido de frenos o aire en el sistema
pedal de freno flojo y sin presion al pisarlo,Fuga de liquido de frenos o aire en el sistema
el pedal de freno se hunde completito al frenar despacio,Fuga de liquido de frenos o aire en el sistema
siento el pedal de freno suave esponjoso y largo,Fuga de liquido de frenos o aire en el sistema
freno esponjoso y veo goteo de liquido cerca a la rueda,Fuga de liquido de frenos o aire en el sistema
tengo que pisar hasta el piso el freno para que pare el carro,Fuga de liquido de frenos o aire en el sistema
freno y se hunde el pedal de freno hasta el fondo,Fuga de liquido de frenos o aire en el sistema
pedal de freno sin presion esponjoso y largo al pisarlo,Fuga de liquido de frenos o aire en el sistema
se va al fondo el pedal de freno y no agarra rapido,Fuga de liquido de frenos o aire en el sistema
falta liquido de freno y el pedal esta flojo esponjoso,Fuga de liquido de frenos o aire en el sistema
bomba de freno sin presion pedal blando y esponjoso,Fuga de liquido de frenos o aire en el sistema
pedal de freno hundiendose progresivamente en semaforo,Fuga de liquido de frenos o aire en el sistema
frenos sin presion hidraulica pedal muy esponjoso,Fuga de liquido de frenos o aire en el sistema
aire en la cañeria de freno pedal flojo requiere bombeo,Fuga de liquido de frenos o aire en el sistema
fuga de liquido de frenos en caliper pedal hundiéndose,Fuga de liquido de frenos o aire en el sistema
pedal largo esponjoso sin agarre de frenos,Fuga de liquido de frenos o aire en el sistema
tiembla el timon cuando freno a velocidad alta,Discos de freno alabeados o dañados
siento vibracion en el pedal de freno al pisarlo,Discos de freno alabeados o dañados
el timon zapatea al frenar bajando la autopista,Discos de freno alabeados o dañados
vibracion fuerte en el volante al disminuir velocidad,Discos de freno alabeados o dañados
el carro tiembla feo al frenar en la curva,Discos de freno alabeados o dañados
al frenar a 80kmh el timon empieza a sacudirse,Discos de freno alabeados o dañados
el pedal de freno retumba y vibra cuando freno fuerte,Discos de freno alabeados o dañados
zapateo en el pedal y timon al presionar el freno,Discos de freno alabeados o dañados
sacudida en el timon al frenar a alta velocidad,Discos de freno alabeados o dañados
timon tiembla feo al meter el pedal de freno,Discos de freno alabeados o dañados
pedal de freno vibra bastante cuando desacelero,Discos de freno alabeados o dañados
vibracion en el volante de la direccion al frenar,Discos de freno alabeados o dañados
discos ondulados provocan zapateo en pedal de freno,Discos de freno alabeados o dañados
vibracion y sacudida del volante unicamente al frenar,Discos de freno alabeados o dañados
el carro retumba y el volante vibra al pisar el freno a 90kmh,Discos de freno alabeados o dañados
zapateo en discos al frenar en bajada inclinada,Discos de freno alabeados o dañados
pedal de freno trepida y tiembla al presionar a fondo,Discos de freno alabeados o dañados
vibracion en timon provocada por discos de freno deformados,Discos de freno alabeados o dañados
el motor cascabelea cuando subo una cuesta o acelero fuerte,Bujias desgastadas o cascabeleo de motor
siento un cascabeleo en el motor al acelerar la caña,Bujias desgastadas o cascabeleo de motor
el auto atranca y cascabelea al subir un cerro,Bujias desgastadas o cascabeleo de motor
suena como canicas dentro del motor cuando acelero,Bujias desgastadas o cascabeleo de motor
el motor pierde fuerza y cascabelea en subida,Bujias desgastadas o cascabeleo de motor
cascabeleo al meter tercera marcha en pendiente,Bujias desgastadas o cascabeleo de motor
el carro cascabelea feo al exigirle al acelerador,Bujias desgastadas o cascabeleo de motor
siento jaloneos y cascabeleo al acelerar fuerte,Bujias desgastadas o cascabeleo de motor
cascabeleo fuerte del motor en cuesta arriba o subida,Bujias desgastadas o cascabeleo de motor
el motor cascabelea y pierde potencia al acelerar,Bujias desgastadas o cascabeleo de motor
suena cascabeleo al exigirle potencia al acelerador,Bujias desgastadas o cascabeleo de motor
motor cascabelea feo al subir la pendiente,Bujias desgastadas o cascabeleo de motor
codigo DTC P0300 misfire cascabeleo en los cilindros,Bujias desgastadas o cascabeleo de motor
bujias sucias producen cascabeleo y fallas de encendido,Bujias desgastadas o cascabeleo de motor
motor tiembla en aceleracion por bujias desgastadas,Bujias desgastadas o cascabeleo de motor
cascabeleo metalico interno en camara de combustion al acelerar,Bujias desgastadas o cascabeleo de motor
perdida de chispa en cilindro cascabeleo y tirones,Bujias desgastadas o cascabeleo de motor
cascabeleo por bujias viejas o gasolina de bajo octanaje,Bujias desgastadas o cascabeleo de motor
el motor se apaga de la nada cuando freno en los rompemuelles,Valvula IAC sucia (se apaga en minimo)
el motor se apaga al embragar o poner neutro,Valvula IAC sucia (se apaga en minimo)
la caña se apaga cuando paro en la luz roja del semaforo,Valvula IAC sucia (se apaga en minimo)
en minimo el motor baja revoluciones y se apaga solo,Valvula IAC sucia (se apaga en minimo)
el carro no aguanta el minimo y se apaga al estar quieto,Valvula IAC sucia (se apaga en minimo)
al llegar al rompemuelle las revoluciones caen y se apaga,Valvula IAC sucia (se apaga en minimo)
se apaga el auto cuando suelto el acelerador en el trafico,Valvula IAC sucia (se apaga en minimo)
el motor inestable en minimo termina apagandose,Valvula IAC sucia (se apaga en minimo)
se apaga el motor al parar en la esquina o semaforo,Valvula IAC sucia (se apaga en minimo)
motor inestable en minimo se termina apagando solo,Valvula IAC sucia (se apaga en minimo)
al frenar en el rompemuelle se apaga el carro en minimo,Valvula IAC sucia (se apaga en minimo)
revoluciones caen en neutro y el auto se apaga,Valvula IAC sucia (se apaga en minimo)
codigo DTC P0505 ralenti inestable se apaga en neutro,Valvula IAC sucia (se apaga en minimo)
cuerpo de aceleracion y valvula iac carbonizada se apaga,Valvula IAC sucia (se apaga en minimo)
motor no sostiene las RPM en minimo y se apaga solo,Valvula IAC sucia (se apaga en minimo)
caida brusca de revoluciones al estar detenido en luz roja,Valvula IAC sucia (se apaga en minimo)
apagon instantaneo del motor al soltar el pedal de aceleracion,Valvula IAC sucia (se apaga en minimo)
ralenti inestable valvula iac sucia provoca apagones,Valvula IAC sucia (se apaga en minimo)
la aguja de temperatura sube al maximo y bota vapor por el capo,Sobrecalentamiento del sistema de refrigeracion
