case_id,category,verdict_v1,verdict_v2,diff_status,regression_detected,notes
CASE_001,GRUPO_A_SALUDO,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_002,GRUPO_A_SALUDO,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_003,GRUPO_A_SALUDO,PARTIAL,PARTIAL,SIN_CAMBIO,NO,V1=PARTIAL -> V2=PARTIAL
CASE_004,GRUPO_A_SALUDO,PARTIAL,PARTIAL,SIN_CAMBIO,NO,V1=PARTIAL -> V2=PARTIAL
CASE_005,GRUPO_A_SALUDO,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_006,GRUPO_B_L1_AMBIGUO,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_007,GRUPO_B_L1_AMBIGUO,PARTIAL,PASS,MEJORA,NO,V1=PARTIAL -> V2=PASS
CASE_008,GRUPO_B_L1_AMBIGUO,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_009,GRUPO_B_L1_AMBIGUO,PARTIAL,PASS,MEJORA,NO,V1=PARTIAL -> V2=PASS
CASE_010,GRUPO_B_L1_AMBIGUO,PARTIAL,PASS,MEJORA,NO,V1=PARTIAL -> V2=PASS
CASE_011,GRUPO_B_L1_AMBIGUO,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_012,GRUPO_B_L1_AMBIGUO,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_013,GRUPO_B_L1_AMBIGUO,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_014,GRUPO_B_L1_AMBIGUO,PASS,PARTIAL,REGRESION_LEVE,SI,V1=PASS -> V2=PARTIAL
CASE_015,GRUPO_B_L1_AMBIGUO,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_016,GRUPO_C_PROGRESION,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_017,GRUPO_C_PROGRESION,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_018,GRUPO_C_PROGRESION,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_019,GRUPO_C_PROGRESION,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_020,GRUPO_C_PROGRESION,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_021,GRUPO_C_PROGRESION,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_022,GRUPO_C_PROGRESION,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_023,GRUPO_C_PROGRESION,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_024,GRUPO_C_PROGRESION,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_025,GRUPO_C_PROGRESION,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_026,GRUPO_D_DIRECTO,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_027,GRUPO_D_DIRECTO,PARTIAL,PASS,MEJORA,NO,V1=PARTIAL -> V2=PASS
CASE_028,GRUPO_D_DIRECTO,PARTIAL,PASS,MEJORA,NO,V1=PARTIAL -> V2=PASS
CASE_029,GRUPO_D_DIRECTO,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_030,GRUPO_D_DIRECTO,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_031,GRUPO_D_DIRECTO,PARTIAL,PASS,MEJORA,NO,V1=PARTIAL -> V2=PASS
CASE_032,GRUPO_D_DIRECTO,PARTIAL,PARTIAL,SIN_CAMBIO,NO,V1=PARTIAL -> V2=PARTIAL
CASE_033,GRUPO_D_DIRECTO,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_034,GRUPO_D_DIRECTO,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_035,GRUPO_D_DIRECTO,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_036,GRUPO_E_NEGACIONES,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_037,GRUPO_E_NEGACIONES,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_038,GRUPO_E_NEGACIONES,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_039,GRUPO_E_NEGACIONES,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_040,GRUPO_E_NEGACIONES,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_041,GRUPO_E_NEGACIONES,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_042,GRUPO_E_NEGACIONES,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_043,GRUPO_E_NEGACIONES,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_044,GRUPO_F_DESCONOCIMIENTO,PARTIAL,PARTIAL,SIN_CAMBIO,NO,V1=PARTIAL -> V2=PARTIAL
CASE_045,GRUPO_F_DESCONOCIMIENTO,PARTIAL,PASS,MEJORA,NO,V1=PARTIAL -> V2=PASS
CASE_046,GRUPO_F_DESCONOCIMIENTO,PARTIAL,PASS,MEJORA,NO,V1=PARTIAL -> V2=PASS
CASE_047,GRUPO_F_DESCONOCIMIENTO,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_048,GRUPO_F_DESCONOCIMIENTO,PARTIAL,PASS,MEJORA,NO,V1=PARTIAL -> V2=PASS
CASE_049,GRUPO_F_DESCONOCIMIENTO,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_050,GRUPO_G_DTC,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_051,GRUPO_G_DTC,PARTIAL,PASS,MEJORA,NO,V1=PARTIAL -> V2=PASS
CASE_052,GRUPO_G_DTC,PARTIAL,PASS,MEJORA,NO,V1=PARTIAL -> V2=PASS
CASE_053,GRUPO_G_DTC,PARTIAL,PASS,MEJORA,NO,V1=PARTIAL -> V2=PASS
CASE_054,GRUPO_G_DTC,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_055,GRUPO_G_DTC,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_056,GRUPO_G_DTC,PARTIAL,PASS,MEJORA,NO,V1=PARTIAL -> V2=PASS
CASE_057,GRUPO_G_DTC,PARTIAL,PASS,MEJORA,NO,V1=PARTIAL -> V2=PASS
CASE_058,GRUPO_H_DTC_CONTRADICCION,PARTIAL,PASS,MEJORA,NO,V1=PARTIAL -> V2=PASS
CASE_059,GRUPO_H_DTC_CONTRADICCION,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_060,GRUPO_H_DTC_CONTRADICCION,PARTIAL,PARTIAL,SIN_CAMBIO,NO,V1=PARTIAL -> V2=PARTIAL
CASE_061,GRUPO_H_DTC_CONTRADICCION,PARTIAL,PARTIAL,SIN_CAMBIO,NO,V1=PARTIAL -> V2=PARTIAL
CASE_062,GRUPO_H_DTC_CONTRADICCION,PARTIAL,PARTIAL,SIN_CAMBIO,NO,V1=PARTIAL -> V2=PARTIAL
CASE_063,GRUPO_I_JERGA,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_064,GRUPO_I_JERGA,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_065,GRUPO_I_JERGA,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_066,GRUPO_I_JERGA,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_067,GRUPO_I_JERGA,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_068,GRUPO_I_JERGA,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_069,GRUPO_I_JERGA,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_070,GRUPO_I_JERGA,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_071,GRUPO_J_WHATSAPP_REAL,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_072,GRUPO_J_WHATSAPP_REAL,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_073,GRUPO_J_WHATSAPP_REAL,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_074,GRUPO_J_WHATSAPP_REAL,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_075,GRUPO_J_WHATSAPP_REAL,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_076,GRUPO_J_WHATSAPP_REAL,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_077,GRUPO_J_WHATSAPP_REAL,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_078,GRUPO_J_WHATSAPP_REAL,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_079,GRUPO_K_ORTOGRAFIA,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_080,GRUPO_K_ORTOGRAFIA,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_081,GRUPO_K_ORTOGRAFIA,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_082,GRUPO_K_ORTOGRAFIA,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_083,GRUPO_K_ORTOGRAFIA,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_084,GRUPO_L_CAMBIO_PROBLEMA,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_085,GRUPO_L_CAMBIO_PROBLEMA,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_086,GRUPO_L_CAMBIO_PROBLEMA,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
CASE_087,GRUPO_L_CAMBIO_PROBLEMA,PASS,PASS,SIN_CAMBIO,NO,V1=PASS -> V2=PASS
