fila_base,familia_sha256,particion
0,fa03c225c607223887d74ec80ad09d88de67fa93d3a7cba6d1fa65141fd41999,desarrollo
1,fa03c225c607223887d74ec80ad09d88de67fa93d3a7cba6d1fa65141fd41999,desarrollo
2,6cce803d80d6ef77cbf4f6225b15e83384f4873d5a2a6067afe8c658ef2e1995,desarrollo
3,fa03c225c607223887d74ec80ad09d88de67fa93d3a7cba6d1fa65141fd41999,desarrollo
4,3e268b447f0bc1d36c9b30b55492f43b2ab92f5964496d4cc659e593eafb06fe,desarrollo
5,690cb04c2d0cbb8f9214deb61fd71c0009a230f0010f1ae857a829617ecc494b,desarrollo
6,3e268b447f0bc1d36c9b30b55492f43b2ab92f5964496d4cc659e593eafb06fe,desarrollo
7,15b2f63cfc8682d1f96f0dcd843970b2b5bd46c03ade1ffab3f7e607107cb9ee,holdout
8,48f9bd63a956c41cebf9b7af9a3b11f9824deeaf501f35b0282025eb2e6bbecc,desarrollo
9,48f9bd63a956c41cebf9b7af9a3b11f9824deeaf501f35b0282025eb2e6bbecc,desarrollo
10,48f9bd63a956c41cebf9b7af9a3b11f9824deeaf501f35b0282025eb2e6bbecc,desarrollo
11,34ad59215145c81bf2060a553f95d61c8fc32aa684f275e9231e5b0558927112,holdout
12,6e676d8c11c0aae310899b807015a8e1f21bfba756aae4dcece2a437333ab30c,desarrollo
13,1449c9c1c9757670e8c628bd49ab0ceced5b309230b19afe811fbbf190785945,desarrollo
14,c8844ffc83e97f76467e83c70df35e6a03a59286230e525840a97a69d6b40c82,desarrollo
15,6e676d8c11c0aae310899b807015a8e1f21bfba756aae4dcece2a437333ab30c,desarrollo
16,1ed0f89e4cd9a3d3a6614f7fd6282dd362c8fdd78fc4ee4addc565f8344b07f2,desarrollo
17,1ed0f89e4cd9a3d3a6614f7fd6282dd362c8fdd78fc4ee4addc565f8344b07f2,desarrollo
18,e56dc04b17d6dd69ce61a4665123cdabfc8ef54fad82f61b73917eb1c61892ac,desarrollo
19,1ed0f89e4cd9a3d3a6614f7fd6282dd362c8fdd78fc4ee4addc565f8344b07f2,desarrollo
20,69651817ca6dc9acf9020c9384a7870d62934d24d48ef554fa95509109d6a51b,desarrollo
21,69651817ca6dc9acf9020c9384a7870d62934d24d48ef554fa95509109d6a51b,desarrollo
22,69651817ca6dc9acf9020c9384a7870d62934d24d48ef554fa95509109d6a51b,desarrollo
23,69651817ca6dc9acf9020c9384a7870d62934d24d48ef554fa95509109d6a51b,desarrollo
24,e244d4d17404d223715dde35151dd48e1c5bf9f7bf45f484065d464a694a0f29,desarrollo
25,e244d4d17404d223715dde35151dd48e1c5bf9f7bf45f484065d464a694a0f29,desarrollo
26,e244d4d17404d223715dde35151dd48e1c5bf9f7bf45f484065d464a694a0f29,desarrollo
27,e244d4d17404d223715dde35151dd48e1c5bf9f7bf45f484065d464a694a0f29,desarrollo
28,0bc58641e84f77780c335b7de2e2038e6f75b37bc64b735593512a6fd3e690a1,desarrollo
29,797767b4a431ad29bfaaa866fec82c142ce39749fc39bd0351300c588a91db23,desarrollo
30,0bc58641e84f77780c335b7de2e2038e6f75b37bc64b735593512a6fd3e690a1,desarrollo
31,b29aa4758cf3d0ff874894425b2d1b464b680227358d4e6df7192644fb3dbdcc,desarrollo
32,b8b563ce8b2687289f0c03a474d3eb3b16f0ae774608c9d0621d90cadb0e36ba,desarrollo
33,b8b563ce8b2687289f0c03a474d3eb3b16f0ae774608c9d0621d90cadb0e36ba,desarrollo
34,b8b563ce8b2687289f0c03a474d3eb3b16f0ae774608c9d0621d90cadb0e36ba,desarrollo
35,b8b563ce8b2687289f0c03a474d3eb3b16f0ae774608c9d0621d90cadb0e36ba,desarrollo
36,6b01e95e356c15c5533bc45fe35e565bfd8f38684a7a08ace3e762b7aa7bec36,holdout
37,6b01e95e356c15c5533bc45fe35e565bfd8f38684a7a08ace3e762b7aa7bec36,holdout
38,6b01e95e356c15c5533bc45fe35e565bfd8f38684a7a08ace3e762b7aa7bec36,holdout
39,6b01e95e356c15c5533bc45fe35e565bfd8f38684a7a08ace3e762b7aa7bec36,holdout
40,90f2e6a8aad1a85a8569e3a771ee116371f3626be373900ee90563c076a56908,holdout
41,90f2e6a8aad1a85a8569e3a771ee116371f3626be373900ee90563c076a56908,holdout
42,90f2e6a8aad1a85a8569e3a771ee116371f3626be373900ee90563c076a56908,holdout
43,21effd9769db435a57938f85414fd1b6a0450108a70b65e6d58b5e16c7e473bc,desarrollo
44,0ad40e2a713f28b068d4201776b1e32da4a978f78a70fc82ce1d09a5df8fad6f,desarrollo
45,0ad40e2a713f28b068d4201776b1e32da4a978f78a70fc82ce1d09a5df8fad6f,desarrollo
46,0ad40e2a713f28b068d4201776b1e32da4a978f78a70fc82ce1d09a5df8fad6f,desarrollo
47,0ad40e2a713f28b068d4201776b1e32da4a978f78a70fc82ce1d09a5df8fad6f,desarrollo
48,71b927e12c025f043b2a491e47435bf38cf9e2eb1ec4d97c7396faea10c213d6,holdout
49,62c5053edfd3d8fc43cccc220a4f01604e21d5b89ad16bb79313c67df9585ea6,desarrollo
50,439d7a962574416806f97e5c28b8d6d4ee20b318dd62792c135017288d614020,desarrollo
51,5774505c582a245eda391abb379cabb22b0b7c9b64ba96480e160964ae0e4ba8,desarrollo
52,19f1d1000067c3967c37c11f05eac87596440e107e2c0159b76421629f1d9f0d,desarrollo
53,19f1d1000067c3967c37c11f05eac87596440e107e2c0159b76421629f1d9f0d,desarrollo
54,19f1d1000067c3967c37c11f05eac87596440e107e2c0159b76421629f1d9f0d,desarrollo
55,e2c70f83931df145dc5e88c1cd436b9729d6aa0cc1a563db4cad4581a79f6692,holdout
56,52842c1068aeba0f7bb2bb9b3bee898af4c9e2f7b5bf356f543fb1a80239eccc,holdout
