case_id,turns_count,last_input,expected_macro,observed_macro,diagnostico_ml,confianza_ml,modo_diagnostico,sintoma_evaluado,verdict,expected_behavior
AC01,1,el aire no enfría,CLIMATIZACION,CLIMATIZACION,Falla en compresor de aire acondicionado o fuga de gas R134a,0.9999,completo_ml_rag_llm,presenta aire acondicionado no enfría / sale aire caliente.,PASS,Avería pura de climatización
AC02,1,sale aire caliente por las rejillas,CLIMATIZACION,CLIMATIZACION,Falla en compresor de aire acondicionado o fuga de gas R134a,0.9999,completo_ml_rag_llm,presenta aire acondicionado no enfría / sale aire caliente.,PASS,Avería pura de climatización
AC03,1,solo enfría cuando voy rápido,CLIMATIZACION,CLIMATIZACION,Falla en compresor de aire acondicionado o fuga de gas R134a,0.9999,completo_ml_rag_llm,presenta aire acondicionado no enfría / sale aire caliente.,PASS,Avería pura de climatización en movimiento
AC04,1,cuando paro en el semáforo deja de enfriar,CLIMATIZACION,CLIMATIZACION,Falla en compresor de aire acondicionado o fuga de gas R134a,0.8901,completo_ml_rag_llm,presenta aire acondicionado no enfría / sale aire caliente. cuando está detenido en ralentí.,PASS,Avería pura de climatización en ralentí
AC05,1,el carro pierde fuerza cuando prendo el aire,MOTOR,MOTOR,Auto-pregunta técnica de descarte enviada,0.4402,esperando_clarificacion,presenta pérdida de potencia.,PASS,A/C como condición operacional de carga motriz
AC06,1,en subida pierde fuerza con el aire prendido,MOTOR,MOTOR,Auto-pregunta técnica de descarte enviada,0.5355,esperando_clarificacion,presenta pérdida de potencia. al acelerar bajo carga.,PASS,A/C y subida como condiciones de carga motor
AC07,1,el motor está bien pero el aire no enfría,CLIMATIZACION,CLIMATIZACION,Falla en compresor de aire acondicionado o fuga de gas R134a,0.9999,completo_ml_rag_llm,presenta aire acondicionado no enfría / sale aire caliente.,PASS,"Motor normal, queja pura de climatización"
AC08,1,"tengo otro problema, ahora el aire no enfría",CLIMATIZACION,CLIMATIZACION,Falla en compresor de aire acondicionado o fuga de gas R134a,0.9999,completo_ml_rag_llm,presenta aire acondicionado no enfría / sale aire caliente.,PASS,Cambio explícito a problema de climatización
AC09,2,"ahora otra cosa, el aire no enfría",CLIMATIZACION,CLIMATIZACION,Falla en compresor de aire acondicionado o fuga de gas R134a,0.9999,completo_ml_rag_llm,Toyota Yaris año 2015. presenta aire acondicionado no enfría / sale aire caliente.,PASS,Reset selectivo de avería manteniendo datos del vehículo
AC10,1,cuando prendo el aire hace un ruido en el motor,MOTOR_O_ACARREO,MOTOR,Auto-pregunta técnica de descarte enviada,0.4119,esperando_clarificacion,cuando prendo el aire hace un ruido en el motor,PASS,"Ruido bajo carga de compresor, no forzar ciegamente climatización"
CASE_092,4,con el aire acondicionado encendido,MOTOR,MOTOR,Falla en bujias o bobinas de encendido (misfire),0.887,completo_ml_rag_llm,Chevrolet Sail año 2018. presenta pérdida de potencia. con A/C encendido.,PASS,Multi-turno de carga operacional preservando síntoma acumulado
CASE_093,1,"Hola, tengo otro problema con mi carro. Cuando enciendo el aire acondicionado sí sale aire por las rejillas, pero no enfría casi nada. Cuando voy manejando parece enfriar un poquito más, pero cuando me detengo en un semáforo vuelve a salir casi a temperatura ambiente. El motor funciona normal y no tengo ninguna luz de advertencia encendida. No he revisado nada todavía.",CLIMATIZACION,CLIMATIZACION,Falla en compresor de aire acondicionado o fuga de gas R134a,1.0,completo_ml_rag_llm,presenta aire acondicionado no enfría / sale aire caliente. deja de enfriar detenido en semáforo.,PASS,Clasificación CLIMATIZACION sin caer en fuera de alcance
