id,id_grupo,clase_objetivo,macro_sistema,nivel_informacion,texto_usuario,tipo_lenguaje,condicion_operacion,sintomas_presentes,sintomas_negados,dtc,requiere_pregunta,es_contrastivo,clase_contrastiva,fuente,observaciones,source_dataset,source_row_id,source_type,specificity_level,synthetic_or_original
F10L01_0001,C1_G01,Falla en bujias o bobinas de encendido (misfire),MOTOR,L1,Mi carro tiembla.,COTIDIANO,,tiembla,,,SI,NO,,SINTETICO_IA,L1 escaso solo temblor,dataset_fase10_lote_01.csv,F10L01_0001,LOTE_ESTRATIFICADO_L1_L2_L3,L1,SINTETICO_IA
F10L01_0002,C1_G02,Falla en bujias o bobinas de encendido (misfire),MOTOR,L1,El motor falla.,COTIDIANO,,falla motor,,,SI,NO,,SINTETICO_IA,L1 muy generico,dataset_fase10_lote_01.csv,F10L01_0002,LOTE_ESTRATIFICADO_L1_L2_L3,L1,SINTETICO_IA
F10L01_0003,C1_G03,Falla en bujias o bobinas de encendido (misfire),MOTOR,L1,Se siente un temblor cuando estoy parado.,COTIDIANO,ralenti,temblor en ralenti,,,SI,NO,,SINTETICO_IA,L1 condicion minima,dataset_fase10_lote_01.csv,F10L01_0003,LOTE_ESTRATIFICADO_L1_L2_L3,L1,SINTETICO_IA
F10L01_0004,C1_G04,Falla en bujias o bobinas de encendido (misfire),MOTOR,L1,Oye el carro esta fallando feo.,WHATSAPP,,falla,,,SI,NO,,SINTETICO_IA,WhatsApp informal,dataset_fase10_lote_01.csv,F10L01_0004,LOTE_ESTRATIFICADO_L1_L2_L3,L1,SINTETICO_IA
F10L01_0005,C1_G05,Falla en bujias o bobinas de encendido (misfire),MOTOR,L1,Tiembla el motor en el semaforo.,COTIDIANO,ralenti,tiembla en semaforo,,,SI,NO,,SINTETICO_IA,L1 contexto detencion,dataset_fase10_lote_01.csv,F10L01_0005,LOTE_ESTRATIFICADO_L1_L2_L3,L1,SINTETICO_IA
F10L01_0006,C1_G06,Falla en bujias o bobinas de encendido (misfire),MOTOR,L1,El motor vibra mucho.,COTIDIANO,,vibra,,,SI,NO,,SINTETICO_IA,L1 ambiguo,dataset_fase10_lote_01.csv,F10L01_0006,LOTE_ESTRATIFICADO_L1_L2_L3,L1,SINTETICO_IA
F10L01_0007,C1_G07,Falla en bujias o bobinas de encendido (misfire),MOTOR,L1,Siento que le falta un cilindro.,TALLER,,falta cilindro,,,SI,NO,,SINTETICO_IA,Jerga taller,dataset_fase10_lote_01.csv,F10L01_0007,LOTE_ESTRATIFICADO_L1_L2_L3,L1,SINTETICO_IA
F10L01_0008,C1_G08,Falla en bujias o bobinas de encendido (misfire),MOTOR,L1,Carro fallando en minimo.,ERROR_ORTOGRAFICO,ralenti,falla en minimo,,,SI,NO,,SINTETICO_IA,Error ortografico,dataset_fase10_lote_01.csv,F10L01_0008,LOTE_ESTRATIFICADO_L1_L2_L3,L1,SINTETICO_IA
F10L01_0009,C1_G09,Falla en bujias o bobinas de encendido (misfire),MOTOR,L1,Se pone rough el motor.,WHATSAPP,,motor rough,,,SI,NO,,SINTETICO_IA,Anglicismo taller,dataset_fase10_lote_01.csv,F10L01_0009,LOTE_ESTRATIFICADO_L1_L2_L3,L1,SINTETICO_IA
F10L01_0010,C1_G10,Falla en bujias o bobinas de encendido (misfire),MOTOR,L1,Hay una vibracion rara en el motor.,COTIDIANO,,vibracion,,,SI,NO,,SINTETICO_IA,L1 generico,dataset_fase10_lote_01.csv,F10L01_0010,LOTE_ESTRATIFICADO_L1_L2_L3,L1,SINTETICO_IA
