[G1_01] Macro=MOTOR | Top1=Falla en bujias o bobinas de encendido (misfire) (0.66) | Top2=Bomba de gasolina quemada o con baja presion | Top3=Baja presion de aceite o bomba de aceite defectuosa | Inter=False | Final=Falla en bujias o bobinas de encendido (misfire)
[G1_02] Macro=MOTOR | Top1=Pendiente de comparar el modo de combustible (0.00) | Top2=N/A | Top3=N/A | Inter=True | Final=Consulta fuera del alcance automotriz
[G1_03] Macro=MOTOR | Top1=Cuerpo de aceleracion o valvula IAC sucia (0.89) | Top2=Bomba de gasolina quemada o con baja presion | Top3=Inyectores sucios o filtro de combustible obstruido | Inter=False | Final=Cuerpo de aceleracion o valvula IAC sucia
[G1_04] Macro=MOTOR | Top1=Falla en bujias o bobinas de encendido (misfire) (0.82) | Top2=Bomba de gasolina quemada o con baja presion | Top3=Consumo de aceite por desgaste de anillos o retenes | Inter=False | Final=Falla en bujias o bobinas de encendido (misfire)
[G1_05] Macro=MOTOR | Top1=Falla en bujias o bobinas de encendido (misfire) (0.91) | Top2=Inyectores sucios o filtro de combustible obstruido | Top3=Cuerpo de aceleracion o valvula IAC sucia | Inter=False | Final=Falla en bujias o bobinas de encendido (misfire)
[G1_06] Macro=MOTOR | Top1=Cuerpo de aceleracion o valvula IAC sucia (0.53) | Top2=Bomba de gasolina quemada o con baja presion | Top3=Fuga en mangueras de intercooler o turbocompresor danado | Inter=False | Final=Cuerpo de aceleracion o valvula IAC sucia
[G1_07] Macro=MOTOR | Top1=Auto-pregunta técnica de descarte enviada (0.51) | Top2=Bomba de gasolina quemada o con baja presion | Top3=Inyectores sucios o filtro de combustible obstruido | Inter=True | Final=Falla en sensor de oxigeno o mezcla rica
[G1_08] Macro=MOTOR | Top1=Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups) (0.93) | Top2=Faja o cadena de distribucion destensada o con salto de punto | Top3=Falla en termostato o motoventilador de radiador | Inter=False | Final=Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups)
[G1_09] Macro=MOTOR | Top1=Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups) (0.62) | Top2=Bomba de gasolina quemada o con baja presion | Top3=Falla en bujias o bobinas de encendido (misfire) | Inter=False | Final=Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups)
[G1_10] Macro=MOTOR | Top1=Faja o cadena de distribucion destensada o con salto de punto (0.92) | Top2=Falla en bujias o bobinas de encendido (misfire) | Top3=Falla de correa dentada banada en aceite (Motor Ford 1.0 Dragon / GM Turbo) | Inter=False | Final=Faja o cadena de distribucion destensada o con salto de punto
[G1_11] Macro=MOTOR | Top1=Falla en bujias o bobinas de encendido (misfire) (0.73) | Top2=Falla en sensor de oxigeno o mezcla rica | Top3=Bomba de gasolina quemada o con baja presion | Inter=False | Final=Falla en bujias o bobinas de encendido (misfire)
