id_caso,estado,tipo_registro,fecha_hora,placa_simulada,sintoma_inicial,referencia_congelada,respuestas_permitidas,conversacion,preguntas_carbot,respuestas_proporcionadas,interacciones,diagnostico_final_carbot,top3,confianza,estado_final,solicitud_id,tiempo_tecnico_total_ms,igualdad_exacta,error,estado_final_original,motivo_no_recuperable
SIMULACION_POST_V2_001,SIMULACION_POST_V2,DEVELOPMENT,2026-09-26T18:49:15.747446+00:00,SIMPOSTV2-001,El motor se apaga al detenerme en el semáforo y vuelve a encender después.,Cuerpo de aceleración sucio,"Falla detenido, mejora acelerando y no prende check.","[{""turno"": 1, ""entrada"": ""El motor se apaga al detenerme en el semáforo y vuelve a encender después."", ""respuesta_carbot"": ""🛠️ **1. Posible Falla Vehicular y Diagnóstico Diferencial**\n- **Hipótesis Principal (59%):** Falla en sensor CKP/CMP.\n- **Diagnóstico Diferencial:** Se debe contrastar con fallas de encendido (misfire, 26%) y cuerpo de aceleración/IAC sucio (14%). Un sensor CKP/CMP defectuoso suele apagar el motor en caliente de forma intermitente, mientras que el cuerpo de aceleración sucio provoca una caída inestable de RPM al desacelerar sin necesariamente cortar la chispa. El misfire genera vibración perceptible antes del apagado.\n\n📖 **2. Procedimiento Técnico de Reparación y Pruebas Físicas**\n- Conecte el escáner para verificar códigos y graficar la señal de RPM durante la marcha mínima. \n- *Nota:* El procedimiento RAG referenciado no está validado para la motorización exacta de este vehículo simulación; consulte el manual específico del fabricante para voltajes o resistencia exacta.\n\n⏱️ **3. Tiempo Estimado, Gravedad y Recomendación de Taller**\n- Gravedad moderada. \n- **Pregunta técnica para continuar:** ¿Podría confirmar la marca, modelo, año y cilindrada exacta del vehículo para validar los valores de referencia del fabricante antes de reemplazar componentes?"", ""modo"": ""completo_ml_rag_llm""}]",[],[],1,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),"[{""falla"": ""Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP)"", ""probabilidad"": 0.599}, {""falla"": ""Falla en bujias o bobinas de encendido (misfire)"", ""probabilidad"": 0.261}, {""falla"": ""Cuerpo de aceleracion o valvula IAC sucia"", ""probabilidad"": 0.14}]",0.599,completo_ml_rag_llm,,2931.22,False,,,
SIMULACION_POST_V2_002,SIMULACION_POST_V2,DEVELOPMENT,2026-09-26T18:49:17.559624+00:00,SIMPOSTV2-002,"En frío demora bastante en arrancar, el motor gira pero recién prende al segundo intento.",Batería descargada,"Las luces bajan, gira lento y mejora tras cargar batería.","[{""turno"": 1, ""entrada"": ""En frío demora bastante en arrancar, el motor gira pero recién prende al segundo intento."", ""respuesta_carbot"": ""🔧 Hipótesis por comprobar:\n1. Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups)\n2. Falla en termostato o motoventilador de radiador\n3. Falla en bujias o bobinas de encendido (misfire)\n\nConfirma la hipótesis mediante una prueba de taller antes de sustituir componentes.\n\nPara especificaciones exactas necesito marca, modelo, año y motorización."", ""modo"": ""completo_ml_rag_llm""}]",[],[],1,Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups),"[{""falla"": ""Fuga o baja presion en sistema Common Rail Diesel (Camiones/Pickups)"", ""probabilidad"": 0.7959}, {""falla"": ""Falla en termostato o motoventilador de radiador"", ""probabilidad"": 0.133}, {""falla"": ""Falla en bujias o bobinas de encendido (misfire)"", ""probabilidad"": 0.071}]",0.7959,completo_ml_rag_llm,,1812.52,False,,,
SIMULACION_POST_V2_003,SIMULACION_POST_V2,DEVELOPMENT,2026-09-26T18:49:19.420307+00:00,SIMPOSTV2-003,En subida no responde al acelerador y pierde fuerza con el aire acondicionado encendido.,Inyectores sucios,"Tironea en subida, consume más y no bota humo negro.","[{""turno"": 1, ""entrada"": ""En subida no responde al acelerador y pierde fuerza con el aire acondicionado encendido."", ""respuesta_carbot"": ""🔎 ¿Usa *GNV*, *GLP* o gasolina? ¿En cuál presenta la falla?"", ""modo"": ""esperando_clarificacion""}, {""turno"": 2, ""entrada"": ""Tironea en subida, consume más y no bota humo negro."", ""respuesta_carbot"": ""🛠️ **1. Posible Falla Vehicular y Diagnóstico Diferencial**\n- Hipótesis Principal: Falla en sensor de oxígeno o mezcla rica (59%).\n- Diagnóstico Diferencial: Se debe contrastar con la falla en el regulador de presión de combustible (26%) o fuga en intercooler/turbo (14%). El tironeo en subida y el mayor consumo apuntan tanto a una lectura errónea de la sonda lambda como a una presión de combustible inadecuada o pérdida de presión de sobrealimentación bajo carga.\n\n📖 **2. Procedimiento Técnico de Reparación y Pruebas Físicas**\n- Realizar lectura de datos en vivo con escáner para verificar la respuesta del sensor de oxígeno ante una variación controlada de mezcla, o medir la presión estática y dinámica en el riel de inyectores. Falta verificar la aplicabilidad exacta del documento RAG a la motorización específica de este vehículo.\n\n⏱️ **3. Tiempo Estimado, Gravedad y Recomendación de Taller**\n- Gravedad media. Antes de reemplazar componentes, se requiere identificar la marca, modelo, año y motorización exacta del vehículo. ¿Cuál es la cilindrada y el tipo de inyección del motor en este vehículo de simulación?"", ""modo"": ""completo_ml_rag_llm""}]","[""🔎 ¿Usa *GNV*, *GLP* o gasolina? ¿En cuál presenta la falla?""]","[""Tironea en subida, consume más y no bota humo negro.""]",2,Falla en sensor de oxigeno o mezcla rica,"[{""falla"": ""Falla en sensor de oxigeno o mezcla rica"", ""probabilidad"": 0.5958}, {""falla"": ""Falla en regulador de presion de combustible o diafragma roto"", ""probabilidad"": 0.263}, {""falla"": ""Fuga en mangueras de intercooler o turbocompresor danado"", ""probabilidad"": 0.141}]",0.5958,completo_ml_rag_llm,,1861.59,False,,,
SIMULACION_POST_V2_004,SIMULACION_POST_V2,DEVELOPMENT,2026-09-26T18:49:21.391594+00:00,SIMPOSTV2-004,"El motor tironea, tiembla en ralentí y se encendió check engine después de lluvia.",Bobina de encendido defectuosa,"Tiembla detenido, pierde fuerza y parece fallar un cilindro.","[{""turno"": 1, ""entrada"": ""El motor tironea, tiembla en ralentí y se encendió check engine después de lluvia."", ""respuesta_carbot"": ""🤖 🔍 Para precisar la causa del tironeo o falta de fuerza:\n\n• 1️⃣ Jalonea o cabecea con pérdida de fuerza al acelerar en subida o carga (Bujías o bobinas de encendido) — 66%\n• 2️⃣ Tironea o huele a nafta inmediatamente después de llenar el tanque (Sistema EVAP / Cánister) — 11%\n• 3️⃣ El motor se apaga de golpe en caliente y no arranca hasta enfriar unos minutos (Sensor CKP / CMP) — 8%\n\n👉 *Responde indicando 1, 2 o describiendo brevemente la opción (o describe qué otro síntoma nota si ninguna coincide).*"", ""modo"": ""esperando_clarificacion""}, {""turno"": 2, ""entrada"": ""Tiembla detenido, pierde fuerza y parece fallar un cilindro."", ""respuesta_carbot"": ""🔧 Hipótesis por comprobar:\n1. Falla en bujias o bobinas de encendido (misfire)\n2. Falla en sistema de control de emisiones evaporativas EVAP (canister o valvula de purga)\n3. Cuerpo de aceleracion o valvula IAC sucia\n\nConfirma la hipótesis mediante una prueba de taller antes de sustituir componentes.\n\nPara especificaciones exactas necesito marca, modelo, año y motorización."", ""modo"": ""completo_ml_rag_llm""}]","[""🤖 🔍 Para precisar la causa del tironeo o falta de fuerza:\n\n• 1️⃣ Jalonea o cabecea con pérdida de fuerza al acelerar en subida o carga (Bujías o bobinas de encendido) — 66%\n• 2️⃣ Tironea o huele a nafta inmediatamente después de llenar el tanque (Sistema EVAP / Cánister) — 11%\n• 3️⃣ El motor se apaga de golpe en caliente y no arranca hasta enfriar unos minutos (Sensor CKP / CMP) — 8%\n\n👉 *Responde indicando 1, 2 o describiendo brevemente la opción (o describe qué otro síntoma nota si ninguna coincide).*""]","[""Tiembla detenido, pierde fuerza y parece fallar un cilindro.""]",2,Falla en bujias o bobinas de encendido (misfire),"[{""falla"": ""Falla en bujias o bobinas de encendido (misfire)"", ""probabilidad"": 0.9454}, {""falla"": ""Falla en sistema de control de emisiones evaporativas EVAP (canister o valvula de purga)"", ""probabilidad"": 0.035}, {""falla"": ""Cuerpo de aceleracion o valvula IAC sucia"", ""probabilidad"": 0.019}]",0.9454,completo_ml_rag_llm,,1971.04,False,,,
SIMULACION_POST_V2_005,SIMULACION_POST_V2,DEVELOPMENT,2026-09-26T18:49:23.362457+00:00,SIMPOSTV2-005,Al acelerar siento jaloneos y por el escape sale olor fuerte a gasolina.,Inyector con fuga,"Huele incluso parado, consume más y sale humo oscuro leve.","[{""turno"": 1, ""entrada"": ""Al acelerar siento jaloneos y por el escape sale olor fuerte a gasolina."", ""respuesta_carbot"": ""🔥 **ADVERTENCIA CRÍTICA DE SEGURIDAD: PELIGRO INMINENTE DE INCENDIO**\nFuga activa de combustible detectada. No intente arrancar el motor ni accionar componentes eléctricos. Mantenga alejadas fuentes de ignición o calor y solicite asistencia técnica profesional en un área ventilada.\n\n🔧 Hipótesis por comprobar:\n1. Falla en sensor de oxigeno o mezcla rica\n2. Inyectores sucios o filtro de combustible obstruido\n3. Empaque de culata soplado o danado\n\nConfirma la hipótesis mediante una prueba de taller antes de sustituir componentes.\n\nPara especificaciones exactas necesito marca, modelo, año y motorización."", ""modo"": ""completo_ml_rag_llm""}]",[],[],1,Falla en sensor de oxigeno o mezcla rica,"[{""falla"": ""Falla en sensor de oxigeno o mezcla rica"", ""probabilidad"": 0.5239}, {""falla"": ""Inyectores sucios o filtro de combustible obstruido"", ""probabilidad"": 0.309}, {""falla"": ""Empaque de culata soplado o danado"", ""probabilidad"": 0.167}]",0.5239,completo_ml_rag_llm,,1971.18,False,,,
SIMULACION_POST_V2_006,SIMULACION_POST_V2,DEVELOPMENT,2026-09-26T18:49:25.134938+00:00,SIMPOSTV2-006,Las revoluciones suben y bajan solas cuando el auto está detenido.,Válvula IAC sucia,"Solo ocurre en mínimo, acelerando mejora y no se calienta.","[{""turno"": 1, ""entrada"": ""Las revoluciones suben y bajan solas cuando el auto está detenido."", ""respuesta_carbot"": ""🔧 Hipótesis por comprobar:\n1. Sobrecalentamiento o solenoides en caja automatica CVT / DSG\n2. Cuerpo de aceleracion o valvula IAC sucia\n3. Disco de embrague desgastado o patinando\n\nComprueba el acoplamiento y el estado del fluido según el procedimiento del fabricante; no fuerces la marcha.\n\nNo hay procedimiento compatible verificado. Para especificaciones exactas necesito marca, modelo, año y motorización."", ""modo"": ""completo_ml_rag_llm""}]",[],[],1,Sobrecalentamiento o solenoides en caja automatica CVT / DSG,"[{""falla"": ""Sobrecalentamiento o solenoides en caja automatica CVT / DSG"", ""probabilidad"": 0.5344}, {""falla"": ""Cuerpo de aceleracion o valvula IAC sucia"", ""probabilidad"": 0.303}, {""falla"": ""Disco de embrague desgastado o patinando"", ""probabilidad"": 0.163}]",0.5344,completo_ml_rag_llm,,1772.82,False,,,
SIMULACION_POST_V2_007,SIMULACION_POST_V2,DEVELOPMENT,2026-09-26T18:49:27.037069+00:00,SIMPOSTV2-007,La aguja de temperatura sube rápido y el depósito de refrigerante baja cada semana.,Bomba de agua defectuosa,"Baja el refrigerante, hay ruido adelante y no veo charco grande.","[{""turno"": 1, ""entrada"": ""La aguja de temperatura sube rápido y el depósito de refrigerante baja cada semana."", ""respuesta_carbot"": ""🤖 🔍 Para precisar la causa del problema de temperatura:\n\n• 1️⃣ La temperatura sube rápidamente en tráfico o el ventilador no enciende (Termostato / Motoventilador) — 48%\n• 2️⃣ Pérdida visible de refrigerante o vapor blanco debajo del capó (Fuga de refrigerante) — 40%\n• 3️⃣ Consume refrigerante, bota humo blanco espeso o burbujea el depósito de expansión (Empaque de culata) — 11%\n\n👉 *Responde indicando 1, 2 o describiendo brevemente la opción (o describe qué otro síntoma nota si ninguna coincide).*"", ""modo"": ""esperando_clarificacion""}, {""turno"": 2, ""entrada"": ""Baja el refrigerante, hay ruido adelante y no veo charco grande."", ""respuesta_carbot"": ""🛠️ **1. Posible Falla Vehicular y Diagnóstico Diferencial**\n- **Hipótesis Principal:** Fuga externa en mangueras o radiador (80%).\n- **Diferencial:** Para distinguirla del Top 2 (termostato/motoventilador), verifique si hay pérdida visible de líquido o charcos. Si el nivel baja pero no hay fugas externas y el electroventilador no enciende, apunta a la falla del Top 2. Si hay presencia de humo blanco o aceite en el refrigerante, se evalúa el Top 3 (empaque de culata).\n\n📖 **2. Procedimiento Técnico de Reparación y Pruebas Físicas**\n- Realice una inspección visual detallada y prueba de presión del sistema en frío para localizar la pérdida de refrigerante. *Nota:* Consulte el manual de taller del fabricante para verificar la presión exacta de prueba según la motorización.\n\n⏱️ **3. Tiempo Estimado, Gravedad y Recomendación de Taller**\n- **Gravedad:** Alta. No abra el depósito con el motor caliente para evitar quemaduras severas. \n- **Recomendación:** Indique la marca, modelo, año y motorización exacta del vehículo para validar los datos técnicos específicos."", ""modo"": ""completo_ml_rag_llm""}]","[""🤖 🔍 Para precisar la causa del problema de temperatura:\n\n• 1️⃣ La temperatura sube rápidamente en tráfico o el ventilador no enciende (Termostato / Motoventilador) — 48%\n• 2️⃣ Pérdida visible de refrigerante o vapor blanco debajo del capó (Fuga de refrigerante) — 40%\n• 3️⃣ Consume refrigerante, bota humo blanco espeso o burbujea el depósito de expansión (Empaque de culata) — 11%\n\n👉 *Responde indicando 1, 2 o describiendo brevemente la opción (o describe qué otro síntoma nota si ninguna coincide).*""]","[""Baja el refrigerante, hay ruido adelante y no veo charco grande.""]",2,Fuga en mangueras de refrigerante o radiador picado,"[{""falla"": ""Fuga en mangueras de refrigerante o radiador picado"", ""probabilidad"": 0.8}, {""falla"": ""Falla en termostato o motoventilador de radiador"", ""probabilidad"": 0.13}, {""falla"": ""Empaque de culata soplado o danado"", ""probabilidad"": 0.07}]",0.8,completo_ml_rag_llm,,1902.47,False,,,
SIMULACION_POST_V2_008,SIMULACION_POST_V2,DEVELOPMENT,2026-09-26T18:49:29.392045+00:00,SIMPOSTV2-008,El ventilador no entra y el motor se recalienta en tráfico lento.,Motoventilador de radiador defectuoso,"Solo en tráfico, el ventilador no prende y en carretera baja.","[{""turno"": 1, ""entrada"": ""El ventilador no entra y el motor se recalienta en tráfico lento."", ""respuesta_carbot"": ""🔧 Hipótesis por comprobar:\n1. Falla en termostato o motoventilador de radiador\n2. Fallo en inversor de corriente IGBT o motor electrico (EV)\n3. Bateria descargada o bornes sulfatados\n\nConfirma la hipótesis mediante una prueba de taller antes de sustituir componentes.\n\nPara especificaciones exactas necesito marca, modelo, año y motorización."", ""modo"": ""completo_ml_rag_llm""}]",[],[],1,Falla en termostato o motoventilador de radiador,"[{""falla"": ""Falla en termostato o motoventilador de radiador"", ""probabilidad"": 0.9963}, {""falla"": ""Fallo en inversor de corriente IGBT o motor electrico (EV)"", ""probabilidad"": 0.033}, {""falla"": ""Bateria descargada o bornes sulfatados"", ""probabilidad"": 0.017}]",0.9963,completo_ml_rag_llm,,2355.4,False,,,
SIMULACION_POST_V2_009,SIMULACION_POST_V2,DEVELOPMENT,2026-09-26T18:49:31.322930+00:00,SIMPOSTV2-009,Se escucha un chillido por la parte delantera del motor al encender el aire acondicionado.,Correa de accesorios desgastada,"Suena con el aire, la correa está rajada y la dirección normal.","[{""turno"": 1, ""entrada"": ""Se escucha un chillido por la parte delantera del motor al encender el aire acondicionado."", ""respuesta_carbot"": ""🔧 Hipótesis por comprobar:\n1. Falla en compresor de aire acondicionado o fuga de gas R134a\n2. Faja o cadena de distribucion destensada o con salto de punto\n3. Baja presion de aceite o bomba de aceite defectuosa\n\nVerifica la fuga y el funcionamiento del sistema con equipo adecuado antes de sustituir componentes.\n\nPara especificaciones exactas necesito marca, modelo, año y motorización."", ""modo"": ""completo_ml_rag_llm""}]",[],[],1,Falla en compresor de aire acondicionado o fuga de gas R134a,"[{""falla"": ""Falla en compresor de aire acondicionado o fuga de gas R134a"", ""probabilidad"": 0.9951}, {""falla"": ""Faja o cadena de distribucion destensada o con salto de punto"", ""probabilidad"": 0.033}, {""falla"": ""Baja presion de aceite o bomba de aceite defectuosa"", ""probabilidad"": 0.017}]",0.9951,completo_ml_rag_llm,,1931.24,False,,,
SIMULACION_POST_V2_010,SIMULACION_POST_V2,DEVELOPMENT,2026-09-26T18:49:33.159967+00:00,SIMPOSTV2-010,Al frenar el volante vibra y el pedal late como si rebotara.,Discos de freno alabeados,"Solo frenando, más fuerte a velocidad y pedal firme.","[{""turno"": 1, ""entrada"": ""Al frenar el volante vibra y el pedal late como si rebotara."", ""respuesta_carbot"": ""🔧 Hipótesis por comprobar:\n1. Discos de freno alabeados o desgastados\n2. Falla en servofreno (booster) o linea de vacio\n3. Desgaste de pastillas y zapatas de freno\n\nComprueba físicamente el sistema de frenos; si el frenado es inseguro, no circules.\n\nPara especificaciones exactas necesito marca, modelo, año y motorización."", ""modo"": ""completo_ml_rag_llm""}]",[],[],1,Discos de freno alabeados o desgastados,"[{""falla"": ""Discos de freno alabeados o desgastados"", ""probabilidad"": 0.9845}, {""falla"": ""Falla en servofreno (booster) o linea de vacio"", ""probabilidad"": 0.033}, {""falla"": ""Desgaste de pastillas y zapatas de freno"", ""probabilidad"": 0.017}]",0.9845,completo_ml_rag_llm,,1837.38,False,,,
