sintoma,falla
"El pedal de freno se hunde hasta el fondo y rechina al frenar en bajada","Fuga de liquido de frenos o aire en el sistema"
"Chirrido metálico agudo cada vez que piso el freno a baja velocidad","Pastillas de freno desgastadas"
"El carro no arranca por las mañanas solo suena un clic en el motor de arranque","Bateria descargada o arrancador defectuoso"
"El motor vibra y tiembla fuerte en ralentí como si trabajara en 3 cilindros","Bujias desgastadas o bobina de encendido defectuosa"
"Tironea al acelerar a fondo y pierde potencia en subida","Filtro de combustible obstruido o inyectores sucios"
"Humo negro por el tubo de escape y alto consumo de gasolina","Sensor de oxigeno defectuoso"
"Se siente olor a quemado y el motor patina al soltar el embrague en primera","Disco de embrague (clutch) desgastado o patinando"
"La temperatura sube al máximo en tráfico y hierve el refrigerante","Falla en el rele o motor del ventilador del radiador"
"Golpeteo seco en la rueda delantera derecha al pasar baches o rompemuelles","Amortiguadores reventados o bujes de suspension gastados"
"El timón vibra intensamente a partir de los 80 km por hora en autopista","Llantas desalineadas, desbalanceadas o deformadas"
"El testigo de batería se enciende en el tablero y las luces bajan de intensidad","Alternador defectuoso o placa de diodos quemada"
"Chirrido agudo y chillido constante de correa al encender el aire acondicionado","Faja de distribucion / tiempo destensada o rota"
"El motor se apaga repentinamente al frenar en un semáforo y no sostiene el mínimo","Valvula IAC sucia u obstruida (minimo)"
"Pérdida de fuerza y silbido agudo en el turbo al acelerar en carretera","Turbocompresor picado o fuga en el Intercooler (Diésel)"
"Dificultad severa para meter los cambios primera y retroceso con motor encendido","Bombin o cable de embrague desajustado"
"Crujido tipo chasquido al girar toda la dirección hacia la izquierda al estacionar","Juntas homocineticas (palieres) dañadas"
"Vibración excesiva en el pedal de freno al frenar a alta velocidad","Discos de freno deformados o alabeados"
"El motor cabecea y se escucha una explosión leve por el escape","Bujias desgastadas o gasolina de bajo octanaje (preignicion)"
"Luz de Check Engine encendida con código de catalizador de baja eficiencia","Mezcla rica (demasiado combustible / falla de sensor de oxigeno)"
"Humo blanco azulado constante por el escape y consumo excesivo de aceite","El motor esta consumiendo aceite (anillos de piston gastados)"
"La dirección hidráulica está muy dura y hace zumbido al girar el volante","Cremallera de direccion asistida (EPS o Hidraulica) con juego o fuga"
"El carro demora mucho en encender tras dejarlo estacionado varias horas","Bomba de gasolina / combustible quemada o sin presion"
"Fuerte olor a gasolina cruda en el habitáculo y cerca de los inyectores","Filtro de combustible o inyectores sucios"
"Fuga de líquido verde brillante debajo del radiador del motor","Fuga en mangueras de refrigerante o radiador picado"
"Rechinido seco en la parte trasera al pasar por resaltos con carga","Amortiguadores reventados o bujes de muelles gastados"
"El motor suena como matraca al acelerar en caliente por falta de presión","Bomba de aceite defectuosa o baja presion de lubricacion"
"El velocímetro no marca y la caja automática hace cambios bruscos","Caja automatica CVT o DSG con sobrecalentamiento / solenoide trancado"
"Consumo excesivo de refrigerante sin fuga visible y humo blanco espeso","Empaque de culata soplado"
"El aire acondicionado no enfría y solo bota aire tibio","Compresor de aire acondicionado (A/C) trabado o fuga de gas R134a"
"El pedal de freno está sumamente duro y cuesta mucho detener el vehículo","Fallo en el servo freno (booster)"
"La luz del ABS se queda fija y los frenos bloquean en mojado","Sensor de velocidad ABS de rueda sucio o dañado"
"El motor no pasa de 2500 RPM y entra en modo de protección de emergencia","Falla de cuerpo de aceleracion electronico TAC (Drive-by-Wire)"
