﻿id,tipo_caso,ground_truth,rank_first_hit,hit_1,hit_3,hit_5,mrr,doc_top1,titulo_top1,similitud_top1,diagnostico_ml_correcto,rag_correcto,tipo_discrepancia
STRESS_01,TECNICO,Falla en bujias o bobinas de encendido (misfire),1,1,1,1,1.0,RAG_PROC_010,PROCEDIMIENTO: CAMBIO DE BUJÍAS DE ENCENDIDO Y DIAGNÓSTICO DE MISFIRE (DTC P0300 / P0301),0.306,1,1,MATCH_AMBOS
STRESS_02,TECNICO,Bomba de gasolina quemada o con baja presion,1,1,1,1,1.0,RAG_PROC_088,PROCEDIMIENTO: DIAGNÓSTICO DE PRESIÓN DE COMBUSTIBLE Y CAÍDA DE CAUDAL BAJO CARGA (DTC P0087 / TIRONEO AL EXIGIR ACELERACIÓN),0.8607,1,1,MATCH_AMBOS
STRESS_03,TECNICO,Falla en termostato o motoventilador de radiador,1,1,1,1,1.0,RAG_PROC_068,PROCEDIMIENTO: DIAGNÓSTICO DE TERMOSTATO Y PURGA ASISTIDA DEL SISTEMA DE REFRIGERACIÓN (DTC P0128 / RECALENTAMIENTO EN SUBIDA),0.4833,1,1,MATCH_AMBOS
STRESS_04,TECNICO,Alternador defectuoso o placa de diodos quemada,1,1,1,1,1.0,RAG_PROC_040,"PROCEDIMIENTO: DIAGNÓSTICO Y REPARACIÓN DE ALTERNADOR, REGULADOR DE VOLTAJE Y BATERÍA (DTC P0562 / P0620 / EL ALTERNADOR NO CARGA Y BATERÍA DESCARGADA)",0.8409,1,1,MATCH_AMBOS
STRESS_05,TECNICO,Desgaste de pastillas y zapatas de freno,1,1,1,1,1.0,RAG_PROC_231,PROCEDIMIENTO: INSPECCIÓN DE ESPESOR Y SUSTITUCIÓN DE PASTILLAS Y ZAPATAS DE FRENO (CHILLIDO / C0035),0.8712,1,1,MATCH_AMBOS
STRESS_06,TECNICO,Amortiguadores reventados o bujes de suspension gastados,1,1,1,1,1.0,RAG_PROC_204,"PROCEDIMIENTO: DIAGNÓSTICO DE DESGASTE DE BUJES DE TRAPECIO, BARRAS ESTABILIZADORAS Y AMORTIGUADORES (GOLPETEO EN TROCHA / REBOTE)",0.602,1,1,MATCH_AMBOS
STRESS_07,TECNICO,Disco de embrague desgastado o patinando,NO_HIT,0,0,0,0.0,RAG_PROC_216,"PROCEDIMIENTO: COMPROBACIÓN DE CAÍDA DE TENSIÓN EN TERMINALES 30/50, CONTACTOS DE SOLENOIDE Y LONGITUD DE CARBONES EN MOTOR DE ARRANQUE",0.3764,0,0,FAIL_AMBOS
STRESS_08,TECNICO,Cuerpo de aceleracion o valvula IAC sucia,2,0,1,1,0.5,RAG_PROC_224,PROCEDIMIENTO: DESCARBONIZACIÓN QUÍMICA Y MECÁNICA DE VÁLVULAS DE ADMISIÓN EN MOTORES DE INYECCIÓN DIRECTA GDI / TSI,0.4297,0,0,FAIL_AMBOS
STRESS_09,TECNICO,Falla en sensor de posicion de cigueñal (CKP) o arbol de levas (CMP),1,1,1,1,1.0,RAG_PROC_014,PROCEDIMIENTO: DIAGNÓSTICO Y REEMPLAZO DE SENSOR DE POSICIÓN DE CIGÜEÑAL CKP Y LEVAS CMP (DTC P0335 / P0340),0.7097,1,1,MATCH_AMBOS
STRESS_10,TECNICO,Caliper de freno trabado o mordaza pegada (piston agarrotado),1,1,1,1,1.0,RAG_PROC_212,"PROCEDIMIENTO: REVISIÓN DE GUÍAS DESLIZANTES, PISTÓN AGARROTADO Y RETRACCIÓN HIDRÁULICA DE CÁLIPER DE FRENO",0.651,1,1,MATCH_AMBOS
STRESS_11,COLOQUIAL,Falla en bujias o bobinas de encendido (misfire),3,0,1,1,0.3333,RAG_PROC_088,,0.1028,0,0,FAIL_AMBOS
STRESS_12,COLOQUIAL,Bomba de gasolina quemada o con baja presion,NO_HIT,0,0,0,0.0,RAG_PROC_216,"PROCEDIMIENTO: COMPROBACIÓN DE CAÍDA DE TENSIÓN EN TERMINALES 30/50, CONTACTOS DE SOLENOIDE Y LONGITUD DE CARBONES EN MOTOR DE ARRANQUE",0.6345,0,0,FAIL_AMBOS
STRESS_13,COLOQUIAL,Falla en termostato o motoventilador de radiador,1,1,1,1,1.0,RAG_PROC_068,PROCEDIMIENTO: DIAGNÓSTICO DE TERMOSTATO Y PURGA ASISTIDA DEL SISTEMA DE REFRIGERACIÓN (DTC P0128 / RECALENTAMIENTO EN SUBIDA),0.7309,1,1,MATCH_AMBOS
STRESS_14,COLOQUIAL,Llantas desbalanceadas o desalineadas,1,1,1,1,1.0,RAG_PROC_201,PROCEDIMIENTO: BALANCEO DINÁMICO DE RUEDAS EN EQUILIBRADORA Y ALINEACIÓN LÁSER DE DIRECCIÓN (VIBRACIÓN A VELOCIDAD DE CRUCERO / JALONEO LATERAL),0.2894,1,1,MATCH_AMBOS
STRESS_15,COLOQUIAL,Desgaste de pastillas y zapatas de freno,1,1,1,1,1.0,RAG_PROC_231,PROCEDIMIENTO: INSPECCIÓN DE ESPESOR Y SUSTITUCIÓN DE PASTILLAS Y ZAPATAS DE FRENO (CHILLIDO / C0035),0.4379,1,1,MATCH_AMBOS
STRESS_16,COLOQUIAL,Disco de embrague desgastado o patinando,1,1,1,1,1.0,RAG_PROC_203,PROCEDIMIENTO: DIAGNÓSTICO DE PATINAMIENTO DE DISCO DE EMBRAGUE Y PRUEBA DE CALADO EN 4TA MARCHA,0.8256,1,1,MATCH_AMBOS
